N	3gram	Tiupa_Vved	OGranits
1	не может быть	6	4
2	одно и то	1	3
3	по отношению к	11	3
4	и т.п и	2	3
5	в том что	10	2
6	и не является	1	2
7	то же слово	1	2
8	можно вслед за	1	2
9	не что иное	1	2
10	того или иного	1	2
11	в зависимости от	1	2
12	в данном случае	15	2
13	и то же	1	2
14	в самом деле	2	2
15	что иное как	1	2
16	с одной стороны	9	2
17	с другой стороны	2	2
18	с самого начала	1	2
19	языка как системы	1	2
20	не было бы	1	1
21	на самом деле	4	1
22	в науке о	1	1
23	же самые слова	1	1
24	говорить не приходится	1	1
25	те же самые	1	1
26	и тот же	1	1
27	вопрос в чем	1	1
28	все то что	1	1
29	может быть не	3	1
30	иметь в виду	1	1
31	но в то	1	1
32	подобно тому как	3	1
33	в конечном счете	2	1
34	объект и не	1	1
35	если говорить о	1	1
36	если бы мы	1	1
37	так же как	1	1
38	на то что	2	1
39	для того чтобы	1	1
40	только потому что	1	1
41	здесь мы не	1	1
42	а не как	1	1
43	значения как в	1	1
44	то или иное	1	1
45	один и тот	1	1
46	в отличие от	11	1
47	как и в	2	1
48	в связи с	1	1
49	то же самое	2	1
50	не входит в	2	1
51	к тому что	1	1
52	тем не менее	3	1
53	в их исторической	1	1
54	в этом отношении	7	1
55	то же время	4	1
56	собственно говоря и	1	1
57	более или менее	2	1
58	в то же	5	1
59	само по себе	1	1
60	прежде всего в	1	1
61	можно было бы	2	1
62	мы не можем	1	1
63	состоит в том	2	1
64	и не может	1	1
65	а также и	2	1
