N	3gram	Bakhtin_sl	Marksizm
1	с точки зрения	11	46
2	передачи чужой речи	8	29
3	не может быть	11	25
4	по отношению к	2	15
5	то же время	15	15
6	в то же	15	15
7	в том что	4	14
8	в связи с	2	14
9	в русском языке	1	14
10	и не может	2	12
11	то ни было	1	12
12	бы то ни	1	12
13	для того чтобы	1	11
14	до сих пор	4	11
15	авторской и чужой	1	11
16	в отличие от	12	10
17	с самого начала	1	10
18	в большинстве случаев	11	9
19	но в то	6	9
20	в направлении к	1	8
21	в отношении к	9	8
22	может быть и	2	8
23	чужой речи в	1	7
24	с другой стороны	5	7
25	в свою очередь	3	7
26	как мы уже	4	6
27	прямой и косвенной	1	6
28	на то что	1	6
29	в точном смысле	1	6
30	во всяком случае	7	6
31	с одной стороны	7	6
32	на этой почве	1	5
33	одни и те	1	5
34	и косвенной речи	1	5
35	чужой речи и	1	5
36	к тому что	2	5
37	самом же деле	1	5
38	на самом же	1	5
39	той или иной	13	5
40	и те же	1	5
41	как мы видели	2	5
42	в тесной связи	1	5
43	в этом случае	4	5
44	в этом отношении	2	5
45	в первом случае	2	4
46	в зависимости от	4	4
47	как мы сказали	6	4
48	в данную эпоху	1	4
49	и прежде всего	1	4
50	в неразрывной связи	1	4
51	чужая речь в	2	4
52	но все же	1	4
53	оно ни было	1	4
54	о том что	2	4
55	можно сказать что	1	4
56	в узком смысле	13	4
57	в слове в	1	4
58	лишь там где	1	4
59	том что он	1	4
60	форм передачи чужой	2	4
61	в той или	12	3
62	неразрывной связи с	1	3
63	свое выражение в	3	3
64	не только в	3	3
65	в применении к	1	3
66	науки о языке	1	3
67	тесной связи с	1	3
68	тем не менее	2	3
69	одной стороны и	2	3
70	хотя бы и	5	3
71	в том числе	1	3
72	более или менее	5	3
73	и то же	2	3
74	друг с другом	2	3
75	все более и	1	3
76	в кавычки как	1	3
77	лингвистики и философии	1	3
78	том числе и	1	3
79	между этими двумя	1	3
80	формах передачи чужой	1	3
81	в языковом сознании	1	3
82	точки зрения самого	2	3
83	не могут быть	3	3
84	в значительной степени	6	3
85	чужое слово и	1	3
86	к системе языка	1	3
87	а не в	1	3
88	и в этом	2	3
89	но и в	2	3
90	выходят за пределы	1	3
91	на первый план	1	3
92	и не в	1	3
93	и той же	1	3
94	более и более	1	3
95	одно и то	2	3
96	ни в какой	1	3
97	можно было бы	2	3
98	именно в том	1	3
99	в пределах одного	8	3
100	одной и той	1	3
101	лежит в основе	1	3
102	что он не	1	2
103	значение в процессе	1	2
104	рано или поздно	2	2
105	система языка в	1	2
106	а не к	1	2
107	или иной степени	12	2
108	до известной степени	3	2
109	точки зрения не	1	2
110	имеют громадное значение	1	2
111	в собственном смысле	2	2
112	конечно не только	1	2
113	исторического становления языка	1	2
114	в какой степени	1	2
115	так или иначе	1	2
116	и от него	1	2
117	так и в	5	2
118	обстоит дело с	1	2
119	мы видели что	1	2
120	то же слово	2	2
121	а между тем	2	2
122	может стать объектом	1	2
123	чужого слова и	3	2
124	мы можем сказать	1	2
125	между тем как	1	2
126	в данном случае	3	2
127	в пределах одной	3	2
128	высказывание таким образом	1	2
129	и философии языка	1	2
130	именно для того	1	2
131	нет подхода к	1	2
132	сама по себе	2	2
133	на данном языке	2	2
134	а не только	1	2
135	в его целом	1	2
136	и в том	2	2
137	формы передачи чужой	1	2
138	со всех сторон	1	2
139	слово как мы	2	2
140	сами по себе	1	2
141	того или иного	2	2
142	и чужой речью	1	2
143	нет ничего что	1	2
144	пор совершенно не	1	2
145	оставаясь в пределах	1	2
146	как к своему	1	2
147	и в особенности	5	2
148	точном смысле слова	1	2
149	а иногда и	1	2
150	по крайней мере	1	2
151	в процессе его	1	2
152	как и в	2	2
153	быть сведены к	1	2
154	а следовательно и	2	2
155	в этих формах	2	2
156	и так сказать	1	2
157	в чем же	1	2
158	во всех своих	1	2
159	языка в смысле	3	2
160	таким образом в	4	2
161	находит свое выражение	1	2
162	сих пор совершенно	1	2
163	в противном случае	1	2
164	чужое высказывание как	1	2
165	во всех областях	4	2
166	на чужое слово	1	2
167	заключены в кавычки	1	2
168	в соединении с	1	2
169	в широком смысле	3	2
170	в нем и	1	2
171	только с помощью	1	2
172	в этом как	1	2
173	прежде всего в	1	2
174	но и здесь	3	2
175	с установкой на	4	2
176	и вне его	3	1
177	исторического становления и	1	1
178	исходить из языка	1	1
179	высказывание в то	1	1
180	не абстрактная система	1	1
181	и стилистические явления	1	1
182	человека в романе	1	1
183	к нему не	1	1
184	языка а просто	2	1
185	слова которое нашло	1	1
186	чужой речи не	1	1
187	бы и не	1	1
188	и столь же	1	1
189	все то что	1	1
190	точки зрения и	1	1
191	это не значит	2	1
192	лишь в редчайшие	1	1
193	все эти категории	1	1
194	он еще не	1	1
195	точка зрения на	3	1
196	лишь в направлении	1	1
197	правда и в	1	1
198	этим определяется и	1	1
199	и даже не	1	1
200	отношение может быть	1	1
201	для этого необходимо	1	1
202	проникнуть в его	1	1
203	отношение к языку	1	1
204	разрыв между языком	1	1
205	рядом друг с	1	1
206	в нем не	1	1
207	этих шаблонов и	1	1
208	укладываются в рамки	1	1
209	и установлено на	1	1
210	снова и снова	1	1
211	обстоит дело и	2	1
212	нет почвы для	1	1
213	и в другом	2	1
214	все это и	1	1
215	чужой речи к	1	1
216	то или иное	1	1
217	не переходят в	1	1
218	свою связь с	1	1
219	о которых мы	2	1
220	однако и здесь	1	1
221	между авторской и	1	1
222	понимать и истолковывать	1	1
223	можно прямо сказать	3	1
224	точки зрения так	1	1
225	не столько в	1	1
226	язык в его	1	1
227	гуманитарных наук и	1	1
228	до наших дней	1	1
229	не менее в	1	1
230	с этой точки	1	1
231	языка как вещи	1	1
232	вовсе не в	1	1
233	между словом и	4	1
234	может войти в	1	1
235	своим предметом и	1	1
236	не может противопоставить	1	1
237	речи эти слова	1	1
238	из языка как	1	1
239	самим автором и	1	1
240	от своего собственного	1	1
241	в определенных социальных	1	1
242	на протяжении веков	1	1
243	свою точку зрения	1	1
244	в языке как	2	1
245	только с точки	1	1
246	чужого слова с	1	1
247	что как мы	1	1
248	в различные эпохи	1	1
249	того что уже	1	1
250	с помощью которых	1	1
251	в окружающей социальной	1	1
252	с чужим словом	15	1
253	как бы не	1	1
254	может быть только	3	1
255	говорить об особой	1	1
256	к единству языка	1	1
257	всяком случае за	1	1
258	прямо и непосредственно	4	1
259	слова все это	1	1
260	основные линии его	1	1
261	оно не столько	1	1
262	к своему пределу	1	1
263	конечно далеко не	1	1
264	в одной плоскости	1	1
265	имеет первостепенное значение	1	1
266	и в более	1	1
267	очень далек от	1	1
268	форме косвенной речи	1	1
269	хотя и в	1	1
270	чужой речи из	1	1
271	в свой состав	2	1
272	то перед нами	1	1
273	далеко не столь	1	1
274	для правильного понимания	1	1
275	и потому неизбежно	1	1
276	сам же он	1	1
277	стиль был бы	1	1
278	точки зрения другого	1	1
279	по аналогии с	1	1
280	не могла быть	1	1
281	в нем новые	2	1
282	отношении к нему	1	1
283	тех форм которые	1	1
284	единство языка в	1	1
285	в гуманитарных науках	1	1
286	но как мы	1	1
287	контексте и в	1	1
288	связи с различными	1	1
289	к языку как	1	1
290	мы все время	1	1
291	или даже вовсе	1	1
292	все же и	1	1
293	является в сущности	1	1
294	в его собственном	1	1
295	с различными моментами	3	1
296	языку с точки	1	1
297	с другими высказываниями	1	1
298	а в том	1	1
299	какой степени не	1	1
300	значит конечно что	2	1
301	и как мы	1	1
302	чужой речи этой	1	1
303	этой проблемы в	1	1
304	в смысле системы	3	1
305	точки зрения говорящего	1	1
306	не только не	2	1
307	в особенности у	1	1
308	связанные с этим	1	1
309	и в пределах	1	1
310	говорящих на данном	1	1
311	и не касается	1	1
312	иметь место в	1	1
313	хотя бы только	1	1
314	в предшествующей главе	2	1
315	и как он	1	1
316	ближайшим образом определяется	1	1
317	все эти формы	4	1
318	в нем в	6	1
319	передаче чужого слова	2	1
320	поэтому-то на почве	1	1
321	по себе а	1	1
322	колебания социальной атмосферы	1	1
323	в процессе этого	1	1
324	значение чужого слова	1	1
325	речь косвенная речь	1	1
326	и чужим словом	1	1
327	в процессе идеологического	2	1
328	остановимся на анализе	1	1
329	и законченное выражение	1	1
330	но в этом	2	1
331	этого слова является	1	1
332	косвенная речь но	1	1
333	перед нами не	1	1
334	в процессе их	1	1
335	могли бы быть	1	1
336	языка и может	1	1
337	скрытой чужой речи	2	1
338	косвенной речи эти	1	1
339	эти слова и	2	1
340	в последнем счете	1	1
341	легко и свободно	1	1
342	не была понята	1	1
343	мы все же	1	1
344	упругость и самостоятельность	1	1
345	совершенно не изученных	1	1
346	прежде всего как	1	1
347	в меру своей	1	1
348	не только по	1	1
349	синтаксиса и стилистики	1	1
350	чужое слово слово	1	1
351	никогда не может	2	1
352	каждое слово как	1	1
353	сих пор не	2	1
354	в языковом отношении	2	1
355	а иногда прямо	1	1
356	могут быть и	4	1
357	а как бы	1	1
358	среда в которой	1	1
359	то есть в	1	1
360	но прежде всего	1	1
361	в самом слове	1	1
362	себе самому и	1	1
363	но именно эти	1	1
364	большей или меньшей	5	1
365	к тому или	1	1
366	даже не столько	1	1
367	слово в то	1	1
368	в нем становится	1	1
369	его и в	1	1
370	равно как и	1	1
371	эти категории и	1	1
372	узком смысле и	1	1
373	все категории и	1	1
374	и во всяком	1	1
375	изображения чужой речи	2	1
