N	2gram	Berdyaev_V	Myslijsy
1	потому что	4	182
2	то есть	1	142
3	и в	16	121
4	может быть	1	107
5	в том	3	103
6	то что	9	83
7	для нас	2	75
8	что в	3	73
9	и не	20	73
10	только в	2	72
11	не только	2	67
12	а не	7	67
13	в этом	4	59
14	но и	5	59
15	том что	2	59
16	так как	9	59
17	то же	1	56
18	не в	3	54
19	того что	5	47
20	в сознании	1	46
21	в нем	4	45
22	не есть	6	42
23	как и	4	42
24	вместе с	1	39
25	что и	3	38
26	мы не	2	38
27	как в	1	37
28	так и	4	37
29	что мы	4	36
30	тем что	2	33
31	и что	3	32
32	а в	2	30
33	что не	4	29
34	между тем	2	29
35	но не	2	29
36	вовсе не	1	28
37	для него	2	28
38	могут быть	2	27
39	не было	3	26
40	и т	2	26
41	то и	1	26
42	этого слова	1	25
43	между собою	1	24
44	с тем	2	23
45	как бы	5	23
46	того как	1	23
47	а потому	1	22
48	то это	3	22
49	с другой	1	22
50	не имеет	3	22
51	но в	3	22
52	и потому	7	21
53	в одном	1	20
54	это не	2	20
55	в ней	4	20
56	но это	3	19
57	с ним	2	19
58	что это	1	19
59	и то	2	19
60	есть уже	2	19
61	должно быть	3	19
62	есть не	1	19
63	в самом	1	18
64	для того	1	18
65	не могут	2	18
66	в человеке	1	18
67	тогда как	1	18
68	что я	3	18
69	еще не	8	18
70	крайней мере	1	17
71	по крайней	1	17
72	что оно	1	17
73	уже в	1	17
74	в его	4	17
75	во всяком	2	17
76	и на	1	16
77	к тому	3	16
78	так же	1	16
79	в своем	1	16
80	в которой	1	16
81	в них	3	16
82	если б	1	16
83	быть может	1	15
84	в этих	3	15
85	уже не	2	15
86	и тем	1	15
87	и по	1	15
88	что он	4	15
89	т д	2	15
90	прежде всего	2	15
91	все же	1	14
92	в одно	1	14
93	в котором	4	14
94	во всех	3	14
95	бы ни	1	14
96	в истории	8	14
97	а между	2	13
98	что все	4	13
99	и все	4	13
100	от него	2	12
101	другой стороны	1	12
102	никогда не	3	12
103	хотя и	5	12
104	и вместе	1	12
105	в чем	3	12
106	оно не	3	12
107	человеческого духа	1	12
108	все это	5	12
109	человека и	6	12
110	как мы	1	12
111	что на	1	12
112	все что	4	11
113	и если	1	11
114	что человек	1	11
115	и это	2	11
116	к нему	1	11
117	в состоянии	1	11
118	души и	1	11
119	для человека	2	11
120	того чтобы	2	11
121	если не	3	11
122	и вообще	1	11
123	же что	1	11
124	и с	1	10
125	хотя бы	3	10
126	духа и	2	10
127	находится в	1	10
128	мы видим	1	10
129	и мы	3	10
130	это слово	1	10
131	бы в	1	10
132	и от	1	10
133	и есть	4	10
134	в словах	1	10
135	и для	3	10
136	образ и	1	10
137	и другое	1	10
138	тому что	3	10
139	ко всем	1	9
140	вопрос о	1	9
141	до того	2	9
142	на него	1	9
143	могли бы	1	9
144	не будет	2	9
145	один из	2	9
146	слова для	1	9
147	в целом	1	9
148	таким же	1	9
149	во всем	1	8
150	которые не	2	8
151	говорить о	4	8
152	но все	1	8
153	вслед за	2	8
154	слова с	1	8
155	их в	3	8
156	перестает быть	1	8
157	что они	7	8
158	мы в	1	8
159	от них	1	8
160	что есть	5	8
161	не так	2	8
162	с ними	1	8
163	в которых	1	8
164	и тогда	2	8
165	в глазах	1	8
166	тот же	3	8
167	слова не	1	8
168	все равно	2	8
169	человеческой природы	1	8
170	самого себя	2	7
171	с этой	1	7
172	в разных	1	7
173	но что	1	7
174	связь с	1	7
175	все эти	3	7
176	в жизни	3	7
177	но мы	2	7
178	не существует	1	7
179	одно целое	1	7
180	не всегда	1	7
181	превращается в	3	7
182	к этому	1	7
183	на котором	1	7
184	но как	1	7
185	в своих	1	7
186	когда я	2	7
187	она не	1	7
188	не были	1	7
189	все в	1	7
190	за ним	3	7
191	его с	1	7
192	для себя	1	7
193	себя и	1	7
194	бы и	3	7
195	и теперь	2	7
196	и во	2	7
197	как она	1	7
198	не имеют	1	7
199	его к	2	7
200	в искусстве	1	7
201	не с	2	7
202	же и	1	6
203	в виду	1	6
204	каким образом	1	6
205	давно уже	2	6
206	его на	1	6
207	в своей	3	6
208	есть то	1	6
209	к ним	1	6
210	после того	1	6
211	в ее	1	6
212	у него	1	6
213	в мире	5	6
214	и самое	1	6
215	в последнем	2	6
216	должна быть	3	6
217	к нам	2	6
218	да и	2	6
219	и уже	1	6
220	лишь в	3	6
221	в этой	1	6
222	и до	1	6
223	в образе	4	6
224	у нас	1	6
225	в их	1	6
226	в виде	1	6
227	на нее	1	6
228	его не	2	6
229	жизни и	3	6
230	человеческой жизни	1	5
231	на нас	2	5
232	будет понятно	1	5
233	уже и	1	5
234	когда в	2	5
235	природы в	1	5
236	конечно не	2	5
237	на том	2	5
238	а с	2	5
239	одна из	2	5
240	можно было	2	5
241	природы и	1	5
242	есть еще	1	5
243	в процессе	1	5
244	если в	1	5
245	они не	1	5
246	нет ничего	3	5
247	человека в	1	5
248	а к	2	5
249	как не	3	5
250	не по	1	5
251	отношение к	1	5
252	не к	2	5
253	бы то	1	4
254	свободы и	12	4
255	человеке и	1	4
256	от этого	3	4
257	я представляю	1	4
258	с его	3	4
259	и быть	1	4
260	на этом	1	4
261	то ни	1	4
262	если оно	1	4
263	ничего не	1	4
264	и чем	1	4
265	ведет к	1	4
266	нашего времени	1	4
267	ни в	3	4
268	и они	3	4
269	и так	1	4
270	что бы	1	4
271	более чем	2	4
272	сознании и	1	4
273	у человека	1	4
274	образа в	1	4
275	нам и	1	4
276	что во	3	4
277	я говорю	2	4
278	по этому	3	4
279	и хотя	1	4
280	но с	1	4
281	отказаться от	1	4
282	было для	1	4
283	от слова	1	4
284	или даже	1	4
285	искать в	1	4
286	он говорит	1	4
287	а его	1	4
288	но она	1	4
289	есть и	1	4
290	бытия и	1	4
291	с которыми	1	3
292	мы и	2	3
293	это значит	1	3
294	в результате	1	3
295	и которые	1	3
296	их не	1	3
297	из всего	1	3
298	я вижу	1	3
299	жизни все	2	3
300	мы увидим	1	3
301	сложное и	1	3
302	по которым	2	3
303	видно и	1	3
304	бы это	1	3
305	к ее	1	3
306	а потом	1	3
307	под конец	2	3
308	только до	1	3
309	которое может	1	3
310	что уже	1	3
311	слово только	1	3
312	не была	1	3
313	в разные	1	3
314	ее от	1	3
315	человек и	1	3
316	о которой	1	3
317	в двух	1	3
318	в себя	2	3
319	себе и	1	3
320	тех которые	3	3
321	что нет	1	3
322	представляю себе	1	3
323	как это	1	3
324	в форме	2	3
325	я в	1	3
326	но нет	1	3
327	мы будем	1	3
328	есть одна	1	3
329	и ее	1	3
330	и стало	1	3
331	значения и	2	3
332	для них	2	3
333	их и	1	3
334	она и	1	3
335	которого не	1	3
336	в известном	1	3
337	и божественного	1	3
338	в первый	3	3
339	это только	1	3
340	мы хотим	4	3
341	наука не	1	3
342	не имел	2	3
343	сама она	1	3
344	жизни не	1	3
345	ничем не	1	3
346	себя только	1	3
347	ее в	2	3
348	б и	1	3
349	для всякого	1	3
350	ничего кроме	1	3
351	и всегда	1	3
352	с которым	1	3
353	и я	4	3
354	в новом	1	3
355	что от	2	3
356	это в	1	3
357	слово это	1	3
358	по законам	1	3
359	и человеческого	1	2
360	является в	2	2
361	человеческой души	1	2
362	ничего и	2	2
363	есть знак	1	2
364	что истина	2	2
365	а есть	2	2
366	и сам	2	2
367	уже на	2	2
368	стороны в	1	2
369	существует лишь	1	2
370	духа в	1	2
371	роль в	1	2
372	человека есть	1	2
373	для их	2	2
374	и нет	1	2
375	освобождается от	1	2
376	нужно знать	1	2
377	не хотим	1	2
378	которая в	1	2
379	не могли	2	2
380	раз и	1	2
381	человека не	1	2
382	в противоположность	1	2
383	формы есть	1	2
384	первые слова	1	2
385	людей и	2	2
386	есть свобода	1	2
387	любви к	1	2
388	в прошлом	2	2
389	может ли	1	2
390	теперь и	1	2
391	и внешней	1	2
392	ее и	2	2
393	к человеку	1	2
394	нам право	1	2
395	указать на	1	2
396	с любовью	1	2
397	первый раз	3	2
398	почему в	2	2
399	образ в	1	2
400	в утверждении	1	2
401	и за	2	2
