N	2gram	Medvedev_V	Myslijsy
1	потому что	1	182
2	и в	2	121
3	в том	2	103
4	и не	1	73
5	только в	1	72
6	в этом	1	59
7	том что	2	59
8	так как	1	59
9	то же	1	56
10	что язык	1	27
11	что слово	1	22
12	но это	1	19
13	и то	1	19
14	в самом	1	18
15	по поводу	1	18
16	крайней мере	1	17
17	по крайней	1	17
18	а только	1	16
19	же с	1	16
20	столь же	1	14
21	и его	1	13
22	под влиянием	1	12
23	все это	1	12
24	тем более	1	12
25	речи и	1	11
26	и только	1	11
27	хотя бы	1	10
28	так в	1	10
29	самом деле	1	9
30	далеко не	1	9
31	именно в	1	8
32	одно и	1	8
33	в которых	1	8
34	говоря о	1	8
35	к этому	1	7
36	том же	1	7
37	главным образом	1	6
38	да и	1	6
39	в их	1	6
40	значительной степени	1	5
41	все то	1	5
42	как же	1	5
43	зависят от	1	4
44	в другом	1	4
45	история языка	1	4
46	чего не	1	4
47	чем больше	1	4
48	более чем	1	4
49	дело в	1	4
50	сказать чтобы	1	3
51	ясно что	1	3
52	на одном	1	3
53	даже не	1	3
54	поэтического творчества	1	3
55	одном и	1	3
56	для них	1	3
57	время в	1	3
58	и том	1	3
59	в теории	1	3
60	вещь и	1	2
61	от общего	1	2
62	к чему	1	2
63	я не	1	2
64	в устах	1	2
65	бы уже	1	2
66	или без	1	2
67	ни к	1	2
68	по своим	1	2
69	не будем	1	2
70	что сами	1	2
71	то чего	1	2
72	это далеко	1	1
73	составляет ее	1	1
74	себе лишь	1	1
75	образом из	1	1
76	прозы в	1	1
77	бы потому	1	1
78	оно с	1	1
79	но разве	1	1
80	и самым	1	1
81	гораздо более	1	1
82	один пример	1	1
83	отношений но	1	1
84	связанным с	1	1
85	слово по	1	1
86	от многих	1	1
87	других и	1	1
88	о пределах	1	1
89	сводится к	1	1
90	уже известно	1	1
91	к созданию	1	1
92	стоит на	1	1
93	то я	1	1
94	впрочем не	1	1
95	его языка	1	1
96	совершенно ясно	1	1
97	находится под	1	1
98	без знания	1	1
99	в частности	1	1
100	и т.д	1	1
101	этом и	1	1
