N	4gram	Losev_Prob	Vvedenie
1	не что иное как	5	5
2	о том что такое	1	5
3	и в самом деле	1	3
4	вопрос о том что	1	3
5	с одной стороны и	2	3
6	дело в том что	3	3
7	и тем не менее	8	3
8	но в то же	1	3
9	есть не что иное	5	3
10	заключается в том что	2	2
11	во всяком случае не	1	2
12	одно и то же	1	2
13	так или иначе но	1	2
14	одной и той же	1	2
15	одного и того же	2	2
16	и т д все	1	2
17	в том или ином	1	2
18	тем не менее совершенно	1	1
19	т д все это	1	1
20	прийти к выводу что	1	1
21	чтобы ее можно было	1	1
22	возможно только потому что	1	1
23	для того чтобы этот	1	1
24	в этом смысле и	2	1
25	для того чтобы ее	1	1
26	и т д и	4	1
27	представление о том что	1	1
28	в связи с этим	2	1
29	не сам по себе	1	1
30	можно было бы в	1	1
31	вообще и т д	1	1
32	то более то менее	1	1
33	то же самое и	1	1
34	которая вырастает на почве	1	1
35	говоря уже о том	1	1
36	и до наших дней	1	1
37	как бы ее ни	1	1
38	и то что в	1	1
39	это значит не только	1	1
40	мы имеем в виду	1	1
41	для того чтобы действительно	1	1
42	в этом смысле слова	1	1
43	в той или иной	1	1
44	с тем что в	1	1
45	говорить о том что	1	1
46	уже о том что	1	1
47	в частности в области	1	1
48	если бы оно было	1	1
49	в том что в	1	1
50	именно в этом смысле	1	1
51	не говоря уже о	5	1
52	и в этом отношении	1	1
53	думать так значило бы	1	1
54	еще и потому что	1	1
55	также и то что	2	1
