N	4gram	Vygotskiy_	VerxiiNi
1	в том числе и	2	4
2	и вместе с тем	1	3
3	что и те и	1	2
4	бы то ни было	1	2
5	с этой точки зрения	7	2
6	но вместе с тем	3	2
7	и те и другие	1	2
8	имеющие ничего общего с	1	1
9	с другой стороны сами	1	1
10	этим дело не исчерпывается	1	1
11	состоит в том что	7	1
12	на то что эти	1	1
13	друг с другом не	1	1
14	но этим дело не	1	1
15	не имеющие ничего общего	1	1
16	данном случае мы имеем	1	1
17	в данном случае мы	1	1
18	мы имеем в виду	1	1
19	с психологической точки зрения	1	1
20	все более и более	3	1
21	совершенно так же как	1	1
22	одного и того же	8	1
23	а с другой стороны	2	1
24	в самом деле если	2	1
25	один и тот же	5	1
