N	2gram	Tiupa_Teor	Analitik
1	не только	24	71
2	тогда как	18	67
3	и в	24	66
4	в качестве	33	61
5	литературного произведения	11	58
6	но и	14	57
7	в том	20	52
8	может быть	22	52
9	в этом	12	51
10	в частности	23	51
11	как и	6	50
12	и не	17	48
13	а не	14	42
14	в тексте	19	42
15	художественной реальности	7	41
16	при этом	20	40
17	том что	11	40
18	то есть	22	35
19	так и	14	35
20	художественного впечатления	6	34
21	в мире	26	31
22	представляет собой	13	30
23	своего рода	11	30
24	состоит в	22	30
25	коммуникативного события	10	30
26	отнюдь не	3	29
27	как бы	8	29
28	не может	8	29
29	а в	15	28
30	в его	12	27
31	и его	11	27
32	не в	9	26
33	но не	13	26
34	текста в	3	26
35	всего лишь	8	24
36	в себе	14	24
37	не случайно	5	24
38	художественного целого	4	24
39	иначе говоря	5	23
40	что в	10	22
41	и даже	2	22
42	к тому	4	22
43	в этой	3	22
44	лишь в	10	21
45	о том	2	20
46	и т.п	7	20
47	я в	18	20
48	в самом	7	19
49	то же	12	19
50	в своей	8	19
51	по отношению	10	19
52	с его	6	19
53	но в	12	19
54	в данном	9	18
55	произведения в	1	18
56	в то	9	18
57	отношению к	10	18
58	эстетического объекта	3	17
59	тем самым	6	17
60	с другой	9	17
61	только в	9	17
62	со стороны	6	17
63	такого рода	13	17
64	или иной	7	17
65	в целом	4	17
66	плотность акцентуации	1	16
67	что и	2	16
68	могут быть	5	16
69	то что	6	16
70	в пределах	5	16
71	и на	2	15
72	ритмических рядов	3	15
73	не есть	1	15
74	между тем	5	15
75	уже не	6	15
76	художественного текста	11	15
77	прежде всего	3	15
78	в сущности	1	15
79	в их	4	15
80	в рамках	13	15
81	литературное произведение	1	15
82	в принципе	7	14
83	не менее	6	14
84	того же	4	14
85	себя в	7	14
86	я и	2	14
87	в себя	5	14
88	той или	3	14
89	мы имеем	7	14
90	же время	8	14
91	в отличие	7	14
92	данном случае	5	14
93	факторов художественного	4	14
94	столь же	3	14
95	отличие от	7	14
96	далеко не	4	14
97	эстетического отношения	12	14
98	ритмического ряда	3	13
99	по себе	2	13
100	точки зрения	11	13
101	как правило	5	13
102	внутреннего зрения	11	13
103	объектной организации	10	13
