N	2gram	Tiupa_Hudo	DiskursI
1	в качестве	13	72
2	а не	23	60
3	может быть	12	56
4	не только	22	49
5	и в	34	49
6	как и	16	47
7	тогда как	10	47
8	при этом	21	46
9	и не	15	44
10	в том	24	44
11	представляет собой	1	41
12	то есть	1	41
13	в прозе	1	41
14	том что	31	40
15	в этом	22	38
16	в себе	19	37
17	состоит в	8	37
18	в частности	10	36
19	но и	13	35
20	и т.п	2	32
21	своего рода	19	32
22	но не	7	31
23	отличие от	1	28
24	со стороны	6	28
25	но в	6	28
26	так и	19	28
27	в отличие	1	27
28	не может	10	27
29	по своей	5	26
30	как в	11	25
31	такого рода	4	24
32	литературных жанров	1	23
33	отнюдь не	4	23
34	еще не	10	23
35	в рамках	2	23
36	а также	4	20
37	в своей	15	19
38	все же	5	19
39	в нем	5	19
40	прежде всего	12	19
41	далеко не	1	18
42	в основе	3	18
43	то же	14	17
44	в данном	3	17
45	с другой	4	17
46	в мире	10	17
47	по отношению	15	17
48	отношению к	15	17
49	точки зрения	7	16
50	только в	8	16
51	о том	21	15
52	художественного письма	2	15
53	то что	13	15
54	роль в	2	15
55	в его	17	15
56	не менее	9	14
57	можно сказать	9	14
58	одной стороны	4	14
59	с одной	4	14
60	не в	16	14
61	картины мира	4	14
62	ни к	2	14
63	не является	1	14
64	это не	12	14
65	или иной	2	14
66	как бы	11	13
67	для него	15	13
68	в целом	2	13
69	в своих	4	12
70	при всей	3	12
71	в своем	9	12
72	и на	6	12
73	и все	10	12
74	данном случае	3	12
75	являет собой	2	12
76	как правило	6	11
77	не было	8	11
78	не сводится	1	11
79	столь же	6	11
80	что в	8	11
81	с его	9	11
82	и как	1	11
83	в тексте	8	11
84	не столько	4	10
85	той или	1	10
86	а с	5	10
87	в жанровом	1	10
88	для себя	9	10
89	по сути	2	10
90	а в	11	10
91	же время	11	10
92	также и	1	10
93	высказывания в	1	10
94	и т.д	3	10
95	в них	3	9
96	уже не	12	9
97	пока еще	3	9
98	себя в	11	9
99	внимание на	3	9
100	между тем	14	9
101	[...] в	1	9
102	в силу	2	9
103	в то	12	9
104	героя в	2	9
105	сводится к	7	9
106	художественного целого	8	9
107	картина мира	4	9
108	еще в	4	9
109	тем самым	2	9
110	в этих	7	8
111	и даже	4	8
112	в соответствии	1	8
113	к тому	11	8
114	в котором	5	8
115	в творчестве	4	8
116	в одном	3	8
117	из них	5	8
118	хотя и	3	8
119	в себя	3	8
120	он не	8	8
121	если в	4	8
122	не на	1	8
123	не следует	2	8
124	жизни в	12	8
125	потому что	7	8
126	соответствии с	2	8
127	этом отношении	4	8
