N	3gram	Bakhtin_KF	Istorich
1	до сих пор	1	30
2	в том что	2	25
3	не может быть	11	24
4	вместе с тем	1	23
5	в иной мир	1	23
6	тем не менее	2	23
7	здесь мы имеем	2	17
8	по отношению к	22	14
9	на то что	1	14
10	всех этих случаях	1	11
11	во всех этих	2	11
12	что и в	1	10
13	то же самое	1	8
14	и то что	1	8
15	в зависимости от	1	8
16	в большинстве случаев	1	7
17	дело не в	1	7
18	смысле этого слова	1	7
19	в одном случае	1	7
20	во всяком случае	1	7
21	здесь мы видим	1	7
22	на том что	1	6
23	но это не	1	6
24	это может быть	1	6
25	мы не можем	1	6
26	на задний план	1	5
27	для того чтобы	1	5
28	со всех сторон	1	5
29	в нем и	3	5
30	на самом деле	3	5
31	мы имеем здесь	1	5
32	влечет за собой	1	4
33	же самое что	1	4
34	и может быть	2	4
35	с точки зрения	10	4
36	независимо от того	1	4
37	вопрос о том	2	4
38	он не может	1	4
39	и тем не	1	4
40	между прочим и	1	4
41	это и есть	1	4
42	не превращается в	1	3
43	и тем самым	1	3
44	до того что	1	3
45	к тому что	1	3
46	даже там где	1	3
47	один и тот	3	3
48	дело в том	1	3
49	она может быть	1	3
50	в другом случае	1	3
51	и тот же	3	3
52	в средние века	1	3
53	не в том	1	3
54	само по себе	1	3
55	в соответствии с	2	3
56	то ни было	2	3
57	бы то ни	2	3
58	только тогда когда	1	3
59	сих пор не	1	3
60	но и здесь	3	3
61	в противоречие с	1	3
62	в том смысле	1	3
63	и есть момент	1	3
64	это не значит	1	2
65	по себе а	1	2
66	уже не в	1	2
67	в себя и	1	2
68	не в этом	1	2
69	быть не может	1	2
70	как если бы	1	2
71	и входит в	1	2
72	уже не может	2	2
73	же не может	1	2
74	то что и	1	2
75	в целом не	1	2
76	ясно что это	1	2
77	может быть в	3	2
78	только в том	1	2
79	но все это	1	2
80	и эти деревья	1	2
81	не было ни	1	2
82	небо и землю	1	2
83	вместо того чтобы	1	2
84	если он не	1	2
85	мы ничего не	1	2
86	и в нем	2	2
87	мы имеем не	1	2
88	может быть и	1	2
89	но все эти	3	2
90	это уже не	1	2
91	и должен быть	1	2
92	не значит что	1	2
93	может быть только	7	2
94	а не в	2	2
95	со всем что	1	2
96	а именно в	1	2
97	в свою очередь	1	2
98	равно как и	1	2
99	и не потому	1	2
100	не потому что	1	2
101	между ним и	1	2
102	что в эту	1	2
103	у меня есть	1	2
104	одном случае мы	1	2
105	со стороны его	1	2
106	лежит в основе	1	2
107	всего этого не	1	1
108	не само по	1	1
109	и было бы	1	1
110	смысле и значении	1	1
111	в себя как	1	1
112	здесь дело не	1	1
113	в каждом случае	1	1
114	и действительно есть	1	1
115	тем она становится	1	1
116	в этот момент	1	1
117	и здесь я	1	1
118	в корне неправильно	1	1
119	а не как	1	1
120	мы не найдем	1	1
121	конечно не может	1	1
122	то что уже	1	1
123	а с точки	1	1
124	полагать что эта	1	1
125	одно из проявлений	1	1
126	он не имеет	1	1
127	именно в этой	1	1
128	и должна быть	1	1
129	мы никогда не	1	1
130	здесь не в	1	1
131	о нем но	1	1
132	есть на самом	2	1
133	к отказу от	1	1
134	бы быть и	1	1
135	там где оно	1	1
136	иной мир в	1	1
137	но в этом	1	1
138	в целом и	2	1
