N	3gram	Berdyaev_N	Problema
1	о том что	1	39
2	в том что	1	37
3	во всяком случае	1	25
4	с другой стороны	2	25
5	в этом смысле	2	19
6	как будто бы	1	14
7	до сих пор	1	14
8	это значит что	1	13
9	сами по себе	1	13
10	можно было бы	1	13
11	не может быть	4	12
12	в то время	1	12
13	то время как	1	12
14	с одной стороны	2	11
15	вместе с тем	2	10
16	не только в	1	10
17	может быть только	1	8
18	когда мы говорим	2	7
19	но и в	1	7
20	это и есть	1	7
21	только потому что	1	7
22	то что в	1	6
23	в том смысле	1	6
24	есть прежде всего	1	6
25	так же как	2	5
26	та или иная	1	5
27	в том числе	1	5
28	в зависимости от	1	5
29	что в нем	2	5
30	же как и	1	5
31	ни в чем	1	5
32	том числе и	1	4
33	и вместе с	1	4
34	и потому что	1	4
35	в том чтобы	1	4
36	вопрос о том	2	4
37	не значит что	3	4
38	будет сказать что	1	4
39	равно как и	2	4
40	и не в	1	4
41	подобно тому как	3	4
42	в новое время	1	4
43	это не значит	2	3
44	то что он	1	3
45	в отличие от	1	3
46	и того же	1	3
47	не имеют никакого	1	3
48	имея в виду	1	3
49	вообще не существует	1	3
50	мы говорим что	1	3
51	как и в	1	3
52	прежде всего как	1	3
53	одного и того	1	3
54	хотя и в	1	3
55	в известном смысле	1	3
56	не в силах	1	3
57	и для чего	1	3
58	и все они	1	3
59	мы говорим о	1	2
60	сказать что все	1	2
61	что в этом	1	2
62	потому что не	1	2
63	то нет и	1	2
64	ни одна из	2	2
65	выходит за пределы	1	2
66	себе и в	1	2
67	не было и	1	2
68	в нем не	1	2
69	и весь мир	1	2
70	а не в	1	2
71	и совсем не	1	2
72	и не может	1	2
73	в том и	2	2
74	в том случае	1	2
75	дня и ночи	1	2
76	значение и не	1	2
77	споры о том	1	1
78	и из них	1	1
79	и не был	1	1
80	не ставит никаких	1	1
81	от того чтобы	1	1
82	что она не	1	1
83	помнить что в	1	1
84	в большинстве случаев	1	1
85	между небом и	1	1
86	и xx веков	3	1
87	необходимо перейти к	1	1
88	в эпоху падения	1	1
89	но такого рода	1	1
90	это не есть	1	1
91	вступает в свои	1	1
92	для того и	1	1
93	том и заключается	2	1
94	но я могу	1	1
95	для этого она	1	1
96	в самом себе	1	1
97	в существе своем	1	1
98	нужно помнить что	1	1
99	к вопросу о	1	1
100	в свои права	2	1
101	такой же мере	1	1
102	не имеет никакой	1	1
103	в ней нет	1	1
104	по существу своему	1	1
105	как это было	1	1
106	и до сих	1	1
107	было бы сказать	1	1
108	но это есть	1	1
109	для них не	1	1
110	в средние века	3	1
111	и для того	1	1
112	было то что	1	1
113	что в новом	1	1
114	с другой же	1	1
115	нового времени в	1	1
116	этом смысле о	1	1
117	которые могут быть	1	1
118	и заключается что	2	1
119	том случае если	1	1
120	никогда не могла	1	1
121	в этом ничем	1	1
122	не было такого	3	1
123	жизни а это	1	1
124	есть по существу	1	1
125	в человеческом обществе	1	1
126	другой же стороны	1	1
127	то это есть	1	1
128	не только потому	1	1
129	а не к	1	1
130	и в последние	1	1
131	но все время	1	1
132	не есть принцип	1	1
133	он не может	2	1
134	и во всех	1	1
135	нет у него	1	1
136	не в том	1	1
137	должно быть в	1	1
138	в такой же	1	1
139	но для этого	1	1
140	этом ничем не	1	1
141	есть в значительной	1	1
142	он погружается в	1	1
143	не могут быть	1	1
144	в наше время	3	1
145	ни в какие	1	1
146	о том чтобы	1	1
147	человек нового времени	1	1
148	бог так же	1	1
149	и это есть	1	1
150	и должно быть	2	1
151	римской империи и	1	1
152	должны стремиться к	1	1
153	конечно не в	1	1
154	мы конечно не	1	1
155	природе и в	1	1
156	не будет и	1	1
157	но это уже	1	1
158	xix и xx	4	1
159	не в смысле	2	1
160	и общества в	1	1
161	отказаться от того	1	1
