N	3gram	Tiupa_Vved	Morfolog
1	в этих случаях	2	14
2	в этом случае	1	10
3	не может быть	6	9
4	в связи с	1	9
5	по отношению к	11	7
6	мы увидим ниже	1	6
7	тем не менее	3	6
8	подобно тому как	3	5
9	как мы увидим	1	5
10	с другой стороны	2	5
11	а также и	2	5
12	в том что	10	4
13	на самом деле	4	4
14	к тому что	1	4
15	на то что	2	3
16	здесь прежде всего	1	3
17	о том что	6	3
18	как и в	2	3
19	для того чтобы	1	3
20	в настоящее время	1	3
21	состоит в том	2	3
22	в первом случае	1	3
23	на первый взгляд	3	3
24	о том как	1	2
25	с того что	2	2
26	следует заметить что	2	2
27	более или менее	2	2
28	друг на друга	2	2
29	начинается с того	2	2
30	хотя и не	2	2
31	не что иное	1	2
32	в обоих случаях	1	2
33	можно было бы	2	2
34	в данном случае	15	2
35	которое может быть	1	2
36	не входит в	2	2
37	во всяком случае	3	2
38	что иное как	1	2
39	с одной стороны	9	2
40	в этом отношении	7	2
41	в свою очередь	5	1
42	и тот же	1	1
43	рыбаке и рыбке	1	1
44	к тому или	1	1
45	далее мы видим	1	1
46	и даже не	1	1
47	не столько по	1	1
48	а на самом	1	1
49	до известной степени	1	1
50	то что он	1	1
51	но и здесь	1	1
52	могут прилагаться к	1	1
53	один и тот	1	1
54	здесь как и	1	1
55	что же касается	2	1
56	что я за	1	1
57	можно сказать что	1	1
58	и только третья	1	1
59	будет зависеть от	1	1
60	в этом и	1	1
61	здесь мы имеем	1	1
62	могло бы быть	1	1
63	в то же	5	1
64	и то же	1	1
65	в таком случае	1	1
66	о рыбаке и	1	1
67	в противном случае	2	1
68	не означает что	1	1
69	ни одна из	1	1
70	иметь в виду	1	1
71	одно и то	1	1
72	той или иной	4	1
73	сомневаться в том	1	1
74	вместо того чтобы	1	1
75	ему в голову	2	1
76	если бы мы	1	1
77	его реакции на	1	1
78	в том или	1	1
79	противном случае он	1	1
80	ничего не говорится	1	1
81	но если бы	1	1
82	она может быть	1	1
83	с самого начала	1	1
84	из них не	1	1
85	или нет? если	1	1
86	может быть названа	1	1
87	есть на самом	1	1
88	в е годы	1	1
89	в высшей степени	2	1
90	но в этом	1	1
91	что он может	1	1
92	и была такова	1	1
93	мы имеем две	1	1
94	одна из них	1	1
95	как бы в	2	1
96	в другом случае	1	1
97	но они могут	1	1
98	во втором случае	1	1
99	то же время	4	1
100	но это не	1	1
101	мы не можем	1	1
102	он идет по	1	1
103	он не может	1	1
