N	3gram	Medvedev_U	Myslijsy
1	в том что	2	47
2	не может быть	4	19
3	по крайней мере	2	17
4	сам по себе	1	14
5	само по себе	1	14
6	не в том	1	13
7	а между тем	2	13
8	то же время	3	13
9	в то же	3	13
10	более или менее	1	12
11	с другой стороны	3	12
12	до сих пор	2	12
13	с одной стороны	1	10
14	на то что	1	9
15	не могут быть	2	9
16	в этом случае	1	8
17	с тем что	1	8
18	в этом смысле	2	7
19	можно сказать что	1	7
20	не только в	1	7
21	лишь настолько насколько	1	6
22	то же самое	2	6
23	не было бы	1	6
24	и то что	2	5
25	в данном случае	1	4
26	быть не может	1	4
27	или по крайней	1	4
28	в противном случае	2	4
29	в этом отношении	2	4
30	это было бы	1	4
31	хотя бы и	2	3
32	так или иначе	1	3
33	бы то ни	3	3
34	но это не	1	3
35	на каждом шагу	2	3
36	между тем в	1	3
37	равно как и	1	3
38	на первый взгляд	1	3
39	если не исключительно	1	2
40	у нас в	1	2
41	по себе еще	1	2
42	бы это было	1	2
43	в данное время	1	2
44	то ни было	3	2
45	в буквальном смысле	1	2
46	же самое что	1	2
47	не только к	1	2
48	что все они	1	2
49	не может обойтись	1	2
50	и независимо от	1	2
51	очевидно что и	1	2
52	и не только	1	2
53	при более внимательном	1	1
54	в самом деле	2	1
55	же время не	1	1
56	все это в	1	1
57	группы и в	1	1
58	в той же	1	1
59	этого не было	1	1
60	не все в	1	1
61	в течение многих	1	1
62	в своей совокупности	1	1
63	еще один пример	1	1
64	но даже и	2	1
65	в ней не	1	1
66	что для него	1	1
67	если бы это	1	1
68	случае пришлось бы	1	1
69	самом деле есть	1	1
70	еще одно замечание	1	1
71	она представляется нам	1	1
72	в своем кругу	1	1
73	по себе известное	1	1
74	творчества то и	1	1
75	свойственна не только	1	1
76	том что она	1	1
77	то что при	1	1
78	все же не	1	1
79	и в этой	2	1
80	художественное произведение состоит	1	1
81	чем то что	1	1
82	в художественном произведении	2	1
83	же самое делает	1	1
84	между тем сам	1	1
85	в которой все	1	1
86	произведение состоит из	1	1
87	как нам представляется	1	1
88	большей или меньшей	1	1
89	друг с другом	1	1
90	это то же	1	1
91	не есть слово	1	1
92	конечно не в	1	1
93	только в этом	1	1
94	же художественное произведение	1	1
95	в большей или	1	1
96	он может быть	1	1
97	другой стороны в	1	1
98	и быть не	1	1
99	что мы можем	1	1
100	противном случае пришлось	1	1
101	есть язык в	1	1
102	же в самом	1	1
103	по меньшей мере	1	1
104	никогда не может	1	1
105	научного анализа в	1	1
106	то что все	1	1
