N	3gram	Trubetskoy	Sotsiolo
1	по отношению к	1	2
2	только в этом	1	2
3	в том что	7	2
4	в конце концов	3	2
5	это и есть	1	1
6	в то же	10	1
7	друг от друга	2	1
8	а между тем	5	1
9	в связи с	1	1
10	то же самое	1	1
11	и должно было	1	1
12	это зависит от	1	1
13	по крайней мере	1	1
14	то же время	10	1
15	в противном случае	1	1
16	только то что	1	1
17	сама по себе	2	1
18	во всяком случае	6	1
19	а в том	1	1
20	и в этом	1	1
21	в том и	2	1
22	не может не	3	1
23	на точке зрения	1	1
24	в настоящее время	2	1
25	в лучшем случае	3	1
26	что все это	1	1
