N	3gram	Losev_Prob	PoTuStor
1	с точки зрения	13	6
2	на самом деле	2	4
3	с самого начала	3	4
4	до сих пор	3	3
5	не может быть	2	3
6	в большинстве случаев	1	3
7	в чем не	2	3
8	по крайней мере	8	3
9	может быть это	1	3
10	в этом смысле	4	3
11	во всяком случае	6	3
12	можно сказать что	4	3
13	ни в чем	2	3
14	из тех же	1	2
15	по аналогии с	1	2
16	о том что	14	2
17	в самом деле	1	2
18	друг на друга	1	2
19	и в этом	1	2
20	не сознавая этого	1	1
21	так и в	1	1
22	жизни в этом	1	1
23	все же в	1	1
24	в том что	13	1
25	хотя и с	1	1
26	то же мы	1	1
27	так и с	1	1
28	даже тогда когда	1	1
29	а то и	1	1
30	а может быть	2	1
31	каких бы то	1	1
32	не что иное	3	1
33	что иное как	3	1
34	не чем иным	3	1
35	дело в том	4	1
36	ни в коем	3	1
37	той или иной	4	1
38	вместе с тем	5	1
39	том что мы	1	1
40	ничего общего не	1	1
41	можно было бы	2	1
42	все что угодно	1	1
43	еще в году	1	1
44	а вместе с	1	1
45	и таким образом	1	1
46	и прежде всего	2	1
47	в данном случае	5	1
48	в том смысле	2	1
49	как это было	1	1
50	и можно сказать	1	1
51	может быть даже	1	1
52	чем иным как	3	1
53	всяком случае не	1	1
54	то ни было	2	1
55	были в ходу	1	1
56	в борьбу с	1	1
57	этой точки зрения	2	1
58	на первый взгляд	1	1
59	с этой точки	2	1
60	общем можно сказать	1	1
61	то же самое	2	1
62	коем случае нельзя	1	1
63	во всем мире	2	1
64	жизни таким образом	1	1
65	поэтому и не	1	1
66	науки в этом	1	1
67	в коем случае	3	1
68	для того чтобы	3	1
69	по его мнению	1	1
70	и что он	1	1
71	а с другой	3	1
72	художественного творчества и	1	1
73	в нем и	2	1
74	с одной стороны	5	1
75	то что я	1	1
76	и об его	1	1
77	и ни в	2	1
78	оно едва ли	1	1
79	в этом отношении	4	1
80	связи с этим	1	1
81	что представляет собою	1	1
82	это и есть	2	1
83	во всех областях	1	1
84	бы то ни	4	1
85	но даже и	4	1
86	зависит от того	1	1
87	имеем дело с	1	1
88	в общем можно	1	1
89	в году в	1	1
90	в связи с	11	1
91	может быть только	6	1
