N	4gram	Vygotskiy_	Tvorches
1	в том что в	3	3
2	в том числе и	3	2
3	заключается в том что	16	2
4	не сами по себе	1	2
5	не что иное как	2	1
6	тем самым как бы	1	1
7	в том смысле что	2	1
8	в конце концов к	1	1
9	все более и более	1	1
10	одна и та же	1	1
11	одного и того же	5	1
12	в том что это	1	1
13	а вместе с тем	1	1
14	собой не что иное	1	1
15	это имеет место в	1	1
16	или во всяком случае	1	1
17	сами по себе а	1	1
18	мы уже говорили что	2	1
19	не только потому что	1	1
20	как это имеет место	1	1
21	и мы не можем	1	1
22	в самом деле как	1	1
23	бы то ни было	1	1
24	это все та же	1	1
25	одну и ту же	1	1
26	что с точки зрения	1	1
27	так же как и	6	1
28	не содержит в себе	1	1
29	является в высшей степени	1	1
