N	4gram	Bakhtin_sl	Vladivir
1	дело в том что	1	11
2	в то же время	15	9
3	в том что в	1	5
4	и в то же	6	5
5	в то время как	2	5
6	на самом же деле	1	3
7	как мы уже сказали	3	3
8	в том что он	1	3
9	все дело в том	1	2
10	можно говорить только с	1	2
11	с одной стороны и	2	2
12	одно и то же	2	2
13	бы то ни было	1	2
14	но в то же	6	2
15	до сих пор не	2	2
16	как не может быть	1	1
17	с этой точки зрения	1	1
18	к трем основным категориям	1	1
19	не выходит за пределы	3	1
20	не с точки зрения	1	1
21	в одной плоскости с	1	1
22	а в том что	1	1
23	те или иные моменты	3	1
24	одной и той же	1	1
25	он как мы уже	1	1
26	выдвигать на первый план	1	1
27	и потому не может	1	1
28	но во всяком случае	1	1
29	только с точки зрения	1	1
30	необходимо отметить что и	1	1
31	том что он не	1	1
32	с самого начала в	1	1
33	ни в чем не	1	1
34	что он не только	1	1
35	то же время и	2	1
36	говорить только с помощью	1	1
37	привело к тому что	1	1
38	и тем и другим	2	1
