N	3gram	Nazirov_Tr	FransuaR
1	то же время	5	55
2	в то же	5	55
3	в том что	2	27
4	но в то	2	20
5	о том что	2	17
6	в связи с	1	16
7	и до конца	1	16
8	с начала и	1	14
9	начала и до	1	14
10	не может быть	1	13
11	в той же	1	13
12	в известной мере	1	12
13	в отличие от	2	11
14	как и все	1	11
15	как и в	1	10
16	в данном случае	2	10
17	в конце концов	1	10
18	так и в	3	9
19	все эти образы	1	8
20	после того как	1	8
21	в самом деле	1	7
22	в чем же	1	7
23	в своей книге	1	7
24	но все же	2	6
25	в xix веке	1	6
26	за то что	1	6
27	с самого начала	1	6
28	это как бы	1	5
29	в применении к	1	5
30	в последней главе	1	5
31	по сравнению с	1	5
32	и в частности	2	5
33	во всяком случае	1	5
34	прежде всего необходимо	1	5
35	вместо того чтобы	1	5
36	это и есть	1	5
37	имеет в виду	1	4
38	но несмотря на	1	4
39	xii и xiii	1	4
40	в одном из	1	4
41	и то что	1	4
42	в году в	2	4
43	и не может	1	4
44	и в самом	2	4
45	и как бы	2	3
46	смысле этого слова	1	3
47	не только не	1	3
48	все же не	1	3
49	что все это	1	3
50	эти образы и	1	3
51	и в этом	1	3
52	как своего рода	1	3
53	в году и	1	3
54	может быть в	1	2
55	как и его	1	2
56	можно было слышать	1	2
57	сам по себе	1	2
58	но при этом	1	2
59	так же легко	1	2
60	это очень важно	2	2
61	и вместе с	1	2
62	между этими двумя	2	2
63	подчеркнуть что образ	1	2
64	то что он	1	2
65	роль в романе	1	2
66	не могут быть	1	2
67	но и на	1	2
68	к этой теме	1	2
69	связан и с	1	2
70	это не просто	1	2
71	в какой-то мере	1	2
72	же время он	1	2
73	относится еще к	1	2
74	в этом случае	1	2
75	том что он	1	2
76	в жизнь и	1	1
77	все это мы	1	1
78	на деле же	1	1
79	в точности соответствует	1	1
80	в дальнейшем этот	1	1
81	по-видимому не было	1	1
82	в основном на	1	1
83	что в ней	1	1
84	к своей любовнице	1	1
85	хотя бы и	1	1
86	потому что сам	1	1
87	вместе с ними	1	1
88	он и в	1	1
89	что при таком	1	1
90	и должна быть	1	1
91	в разговоре с	1	1
92	в обоих случаях	1	1
93	своего отца и	1	1
94	с тем и	1	1
95	один из популярнейших	1	1
96	никогда не был	1	1
97	об этом свидетельствует	1	1
98	можно так выразиться	1	1
99	и даже некоторые	1	1
100	это тот самый	1	1
101	один из первых	1	1
102	совершенно в духе	1	1
103	с того что	1	1
104	и в дальнейшем	2	1
105	сохраняет свое значение	1	1
106	а между тем	1	1
107	которые так часто	1	1
108	необходимо подчеркнуть что	1	1
109	от всего что	1	1
110	мы встречаем такие	1	1
111	одном из своих	1	1
112	о нем по	1	1
113	в этом романе	1	1
114	в этом мире	1	1
115	он перестает быть	1	1
116	отметим также что	1	1
117	если б я	1	1
118	второй части романа	1	1
119	что он не	1	1
120	мировой литературы и	1	1
121	бы и не	1	1
122	он заявляет что	1	1
123	и не быть	1	1
124	потому-то он и	1	1
125	что я не	1	1
126	обстоит дело с	1	1
127	тем не менее	1	1
128	средство для достижения	1	1
129	на вопрос о	1	1
130	по природе своей	1	1
131	рассказывает о своих	1	1
132	это пародия на	1	1
133	по самой середине	1	1
134	это может быть	1	1
135	бросается в глаза	2	1
136	если можно так	1	1
137	это было в	1	1
138	не только о	1	1
139	в высшей степени	1	1
140	в дальнейшем он	1	1
141	по своей силе	1	1
142	не в силах	2	1
143	ко всему что	1	1
144	но если он	1	1
145	никакой роли в	1	1
146	xx века в	1	1
147	мы узнаем в	1	1
148	а на другой	1	1
149	свою жизнь и	1	1
150	в этой борьбе	1	1
151	и здесь есть	1	1
152	в период создания	1	1
153	одно из самых	1	1
154	и всегда будет	1	1
155	особое значение для	1	1
156	по нашему мнению	1	1
157	был так сказать	1	1
158	романа прежде всего	1	1
159	о чем он	2	1
160	в xx веке	1	1
161	и при этом	1	1
162	и в истории	1	1
163	возвращается к этой	1	1
