N	4gram	Potebnia_M	RusskieA
1	не что иное как	2	4
2	подобно тому как в	1	3
3	но тем не менее	6	2
4	выше мы видели что	1	2
5	но и потому что	1	2
6	во всяком случае не	1	2
7	и т д и	1	2
8	привело к тому что	1	2
9	слов для обозначения одного	1	1
10	более или менее ясно	1	1
11	в том что этим	1	1
12	и во многих других	1	1
13	для обозначения одного и	1	1
14	и т д в	1	1
15	может быть не только	1	1
16	обозначения одного и того	1	1
17	человека там же с	1	1
18	с тем и другим	1	1
19	то же значение что	1	1
20	в то время как	1	1
21	одного и того же	6	1
22	всего этого видно что	1	1
23	не только в том	1	1
24	одном и том же	3	1
25	не имеет ничего общего	1	1
26	не только потому что	1	1
27	в одном и том	3	1
28	дело в том что	3	1
29	и связанные с этим	1	1
30	имеет ничего общего с	1	1
31	в то время когда	2	1
32	из всего этого видно	1	1
33	только после того как	1	1
34	только там где есть	1	1
