N	4gram	Bakhtin_Fr	PoTuStor
1	и пр и пр	1	2
2	на первый план выдвигается	1	1
3	для него существует только	1	1
4	во всех его моментах	1	1
5	все это приводит к	1	1
6	конечно с точки зрения	1	1
7	или во всяком случае	1	1
8	одна и та же	1	1
9	не чем иным как	1	1
10	до сих пор еще	4	1
11	дело в том что	2	1
12	и т.п наконец в	1	1
13	на ранних ступенях развития	1	1
14	мы имеем в виду	1	1
15	но в общем можно	1	1
16	во всяком случае не	1	1
17	мы можем сказать что	1	1
18	не может быть ничего	1	1
19	остановимся прежде всего на	1	1
20	но несмотря на это	1	1
