N	2gram	Propp_Isto	SlovoVZh
1	не может	8	16
2	может быть	22	14
3	точки зрения	3	14
4	как бы	5	13
5	и его	10	13
6	таким образом	15	12
7	и в	43	12
8	отношению к	2	11
9	по отношению	2	11
10	и не	16	10
11	так как	13	9
12	если бы	7	9
13	прежде всего	3	8
14	для нас	6	7
15	сказать что	5	7
16	все время	2	6
17	в ней	3	6
18	с помощью	1	6
19	в том	13	6
20	только в	8	6
21	в нем	11	6
22	при этом	4	6
23	и др	4	5
24	можно сказать	3	5
25	что мы	5	5
26	героя и	1	5
27	хотя бы	3	5
28	должна быть	2	5
29	то же	11	5
30	а не	13	5
31	в виду	2	5
32	то что	20	5
33	в жизни	3	5
34	как и	9	5
35	как в	6	5
36	отнюдь не	1	5
37	том что	12	5
38	и следовательно	1	5
39	но в	15	5
40	никогда не	9	5
41	в самом	1	4
42	и к	4	4
43	и на	7	4
44	не только	28	4
45	и является	1	4
46	на самом	2	4
47	как если	1	4
48	от того	3	4
49	его в	7	4
50	с другой	10	4
51	не в	9	4
52	отношение к	4	4
53	что не	3	4
54	так и	6	4
55	уже не	11	4
56	жизни и	2	4
57	в этом	25	4
58	все же	13	4
59	зависимости от	1	4
60	к нему	12	4
61	как к	2	3
62	и с	10	3
63	до сих	7	3
64	и более	3	3
65	в котором	5	3
66	с героем	1	3
67	и по	6	3
68	и пр	19	3
69	мы не	3	3
70	или не	3	3
71	между тем	2	3
72	с ним	1	3
73	того что	8	3
74	быть и	3	3
75	и уже	2	3
76	когда он	2	3
77	тем не	6	3
78	в некоторых	9	3
79	все это	4	3
80	он должен	3	3
81	отражает в	1	3
82	ни в	2	3
83	в пределах	5	3
84	сколько бы	1	3
85	конечно не	3	3
86	по себе	3	3
87	так же	16	3
88	в них	6	3
89	в каком	1	3
90	этой точки	1	3
91	самом деле	1	3
92	только на	2	3
93	но для	2	3
94	в себе	2	3
95	ясно что	2	3
96	все эти	8	3
97	о том	4	3
98	в своей	4	3
99	и герой	3	3
100	здесь не	6	3
101	не менее	6	3
102	из этого	1	3
103	художественного творчества	1	3
104	в такой	1	3
105	да и	2	3
106	но и	24	3
107	и для	3	3
108	и ее	3	3
109	и наконец	1	3
110	сих пор	7	3
111	формы и	1	3
112	не к	1	3
113	еще не	15	3
114	в особенности	3	2
115	что в	29	2
116	этих двух	2	2
117	все они	1	2
118	нет ничего	3	2
119	перестает быть	1	2
120	но это	5	2
121	и потому	2	2
122	действия и	1	2
123	вместе со	1	2
124	и другие	6	2
125	и то	4	2
126	социальной жизни	1	2
127	мы можем	10	2
128	героя или	2	2
129	в данном	7	2
130	в то	2	2
131	находит в	1	2
132	которые мы	1	2
133	сливается с	1	2
134	на один	2	2
135	данном случае	6	2
136	в момент	1	2
137	со всех	1	2
138	в основном	1	2
139	зависит от	1	2
140	с одной	2	2
141	совпадает с	1	2
142	уже в	1	2
143	там где	8	2
144	в его	7	2
145	с этой	3	2
146	она не	4	2
147	это не	10	2
148	одной стороны	2	2
149	относится к	3	2
150	дело с	2	2
151	с точки	1	2
152	мы имеем	24	2
153	и дает	1	2
154	была бы	1	2
155	на него	4	2
156	тем как	1	2
157	кроме того	1	2
158	в себя	3	2
159	от всех	1	2
160	но тем	2	2
161	как это	5	2
162	те же	2	2
163	но все	5	2
164	если же	2	2
165	и та	1	2
166	из него	3	2
167	и что	6	2
168	что и	17	2
169	в форме	1	2
170	же самое	1	2
171	другой стороны	10	2
172	этой стороны	2	2
173	и те	1	2
174	как не	2	2
175	в этих	18	2
176	можно найти	8	2
177	тому же	4	2
178	связь с	12	2
179	а к	1	2
180	как же	1	2
181	форма в	1	2
182	но этот	3	2
183	на это	4	2
184	имеем в	6	2
185	к ним	1	2
186	и здесь	8	2
187	но конечно	2	2
188	как на	1	2
189	и все	4	2
190	но не	10	2
191	общего с	1	2
192	форму и	1	2
193	его как	1	2
194	не есть	3	2
195	могут быть	9	2
196	героев и	1	2
197	с другими	1	2
198	стороны и	3	2
199	в своем	2	2
200	в корне	1	2
201	вместе с	12	2
202	между ними	1	2
203	в зависимости	1	2
204	к его	1	2
205	может стать	1	2
206	такой же	3	2
207	и так	3	2
208	с его	1	2
209	себя и	1	2
210	на все	2	2
211	его к	5	2
212	к этому	10	2
213	бы не	1	2
214	между собой	2	2
215	он не	11	2
216	независимо от	3	2
217	не отражает	2	2
218	на материале	1	2
219	в чем	4	2
220	и совершенно	1	2
221	но мы	1	2
222	как только	2	2
223	содержанию и	1	2
224	ничего не	12	2
225	начинает развиваться	1	1
226	можно наблюдать	1	1
227	хорошо и	1	1
228	в русской	5	1
229	к одному	1	1
230	жизнь и	1	1
231	себе в	2	1
232	же деле	1	1
233	во всяком	2	1
234	от него	3	1
235	это и	4	1
236	и тех	1	1
237	что они	14	1
238	его и	6	1
239	является в	2	1
240	не назван	1	1
241	но можно	1	1
242	то он	1	1
243	во всех	1	1
244	или он	2	1
245	сторона дела	1	1
246	человеческого тела	2	1
247	только к	1	1
248	и он	2	1
249	явно не	1	1
250	мы могли	1	1
251	это делает	2	1
252	виду не	1	1
253	с самого	1	1
254	дано в	1	1
255	образом мы	2	1
256	пр здесь	1	1
257	он или	1	1
258	и легче	1	1
259	на эти	1	1
260	на этом	5	1
261	является и	3	1
262	она должна	1	1
263	которой он	3	1
264	не имеют	2	1
265	так но	2	1
266	и было	2	1
267	и героев	1	1
268	дана в	1	1
269	часто этот	1	1
270	нельзя было	2	1
271	но тот	1	1
272	мы уже	9	1
273	к одной	1	1
274	мы увидим	6	1
275	же этот	1	1
276	следует ли	1	1
277	план перед	1	1
278	комнаты и	1	1
279	и вот	3	1
280	все остальные	1	1
281	от нее	1	1
282	отношение как	1	1
283	она в	1	1
284	героя в	6	1
285	особого рода	3	1
286	в свою	5	1
287	входит в	1	1
288	только как	1	1
289	случае мы	4	1
290	не должен	1	1
291	он как	1	1
292	и их	4	1
293	часто в	3	1
294	еще более	3	1
295	не должно	1	1
296	ту же	2	1
297	на основе	1	1
298	в другом	11	1
299	а из	1	1
300	тому как	3	1
301	несмотря на	1	1
302	но эти	1	1
303	это только	2	1
304	что собственно	1	1
305	герой и	2	1
306	и должна	1	1
307	кто-нибудь стал	1	1
308	обстоит дело	1	1
