N	3gram	Tiupa_Vved	PoTuStor
1	на самом деле	4	4
2	с самого начала	1	4
3	не может быть	6	3
4	по крайней мере	1	3
5	в этом смысле	1	3
6	по сравнению с	1	3
7	во всяком случае	3	3
8	можно сказать что	1	3
9	все то что	1	2
10	в конечном счете	2	2
11	так же как	1	2
12	но отнюдь не	1	2
13	по аналогии с	2	2
14	во всех его	1	2
15	о том что	6	2
16	в самом деле	2	2
17	друг на друга	2	2
18	и в этом	1	2
19	одних и тех	1	1
20	в том что	10	1
21	то что можно	1	1
22	а то и	2	1
23	мы не можем	1	1
24	не что иное	1	1
25	и та же	1	1
26	что иное как	1	1
27	в этом и	1	1
28	дело в том	1	1
29	той или иной	4	1
30	прежде всего к	1	1
31	подобно тому как	3	1
32	можно ли признать	1	1
33	а на самом	1	1
34	можно было бы	2	1
35	прежде всего на	2	1
36	каждого из этих	1	1
37	и прежде всего	1	1
38	в данном случае	15	1
39	обратим внимание на	2	1
40	в том смысле	1	1
41	и можно сказать	1	1
42	герой нашего времени	1	1
43	ничего не говорит	1	1
44	и на наших	1	1
45	разных местах и	1	1
46	же как и	1	1
47	и того же	1	1
48	и даже чисто	1	1
49	и т.п и	2	1
50	до поры до	1	1
51	в высшей степени	2	1
52	одна и та	1	1
53	на первый взгляд	3	1
54	то же самое	2	1
55	она может быть	1	1
56	а потому не	1	1
57	для того чтобы	1	1
58	всех без исключения	1	1
59	а с другой	3	1
60	с одной стороны	9	1
61	на этом пути	1	1
62	именно то что	1	1
63	следует заметить что	2	1
64	поры до времени	1	1
65	в этом отношении	7	1
66	и тех же	1	1
67	это и есть	1	1
68	на наших глазах	1	1
69	при некоторых условиях	1	1
70	имеем дело с	4	1
71	в году в	1	1
72	если бы он	1	1
73	одного и того	1	1
74	же самое и	1	1
75	в связи с	1	1
76	может быть только	1	1
