N	4gram	Bakhtin_Fr	DiskursI
1	в то же время	13	8
2	с одной стороны и	2	5
3	дело в том что	2	5
4	одного и того же	1	4
5	в том числе и	3	3
6	в том случае если	1	2
7	между жизнью и смертью	3	2
8	и не может быть	1	2
9	одной и той же	2	2
10	и в то же	2	2
11	бы то ни было	1	2
12	одним и тем же	1	2
13	в тех или иных	1	1
14	некоторые из них в	1	1
15	не что иное как	1	1
16	в отличие от большинства	1	1
17	большей или меньшей степени	2	1
18	а также и в	1	1
19	именно и состоит что	1	1
20	в той или иной	2	1
21	в большей или меньшей	2	1
22	жизнью и смертью в	2	1
23	то есть то что	1	1
24	нет и не может	1	1
25	играть ведущую роль в	1	1
26	в том именно и	1	1
27	или во всяком случае	1	1
28	с большей или меньшей	1	1
29	начала и до конца	7	1
30	одной стороны и к	1	1
31	свидетельствует о том что	1	1
32	том именно и состоит	1	1
33	говорит об этом так	1	1
34	в отличие от современной	1	1
35	обратим особое внимание на	1	1
36	то же время они	1	1
37	все дело в том	1	1
38	подобно тому как в	1	1
39	есть не что иное	1	1
