N	4gram	Potebnia_M	Komedia
1	в то же время	3	16
2	в то время как	1	9
3	бы то ни было	1	7
4	не говоря уже о	1	6
5	в том что он	1	4
6	один и тот же	1	3
7	с этой точки зрения	1	2
8	с одной стороны и	2	2
9	и в свою очередь	3	2
10	и в том что	1	1
11	той мере в какой	1	1
12	лицом к лицу с	1	1
13	не что иное как	2	1
14	в той мере в	1	1
15	только после того как	1	1
16	слова мы увидим что	1	1
17	в то время когда	2	1
18	что в некоторых случаях	1	1
19	как и во всех	1	1
20	тем не менее и	1	1
21	тем не менее в	2	1
22	в том что именно	1	1
23	только в том что	5	1
24	при этом помнить что	1	1
25	сама по себе не	1	1
26	не имеет ничего общего	1	1
27	и не нуждается в	1	1
28	одного и того же	6	1
29	что само по себе	1	1
30	по себе не может	1	1
31	и с этой точки	1	1
32	в том случае если	1	1
33	имеет ничего общего с	1	1
34	с другой стороны он	1	1
35	но и в том	1	1
