N	2gram	Bakhtin_Pr	KFilosof
1	может быть	38	45
2	в его	44	42
3	в нем	38	32
4	не может	31	29
5	и не	66	28
6	и в	59	28
7	в бытии	1	26
8	по отношению	17	26
9	в котором	6	24
10	не есть	2	22
11	для меня	2	22
12	отношению к	17	22
13	в себе	9	21
14	только в	15	18
15	и его	21	18
16	в своем	12	17
17	в ее	4	17
18	а не	30	17
19	в этом	40	15
20	для него	23	13
21	как момент	1	13
22	не в	10	13
23	точки зрения	36	13
24	к нему	13	12
25	мир в	4	12
26	ни в	5	12
27	и единственного	1	12
28	но не	13	12
29	и это	5	12
30	в своей	17	11
31	все эти	12	11
32	во всех	8	11
33	все это	12	10
34	это не	13	10
35	в едином	6	10
36	с точки	21	10
37	его целом	8	10
38	и есть	6	10
39	бытия и	1	10
40	от себя	2	10
41	и для	5	10
42	в целом	8	10
43	в их	5	9
44	и все	4	9
45	единого и	1	9
46	но и	22	9
47	как бы	40	9
48	момент его	3	9
49	в единстве	7	8
50	не было	5	8
51	если бы	12	8
52	быть только	3	8
53	в мире	10	8
54	со стороны	6	8
55	было бы	10	8
56	лишь в	4	8
57	в себя	3	8
58	жизни и	21	8
59	себя в	5	8
60	во всем	1	7
61	и здесь	5	7
62	что и	10	7
63	должен быть	1	7
64	вовсе не	13	7
65	уже не	14	7
66	совершенно не	2	7
67	то что	21	7
68	конечно не	7	7
69	но лишь	1	7
70	для себя	5	7
71	и только	2	7
72	ее и	2	6
73	мир как	1	6
74	должно быть	4	6
75	не значит	4	6
76	но все	8	6
77	в моем	1	6
78	но эта	4	6
79	менее всего	4	6
80	я не	7	6
81	не имеет	2	6
82	в смысле	4	6
83	ко мне	1	6
84	смысл и	2	6
85	в том	17	6
86	и их	7	6
87	и действительно	1	6
88	отношение к	4	6
89	жизнь как	1	6
90	место в	2	6
91	он не	11	6
92	но это	7	6
93	мира в	6	6
94	своем смысле	1	5
95	от его	1	5
96	со всем	2	5
97	то же	15	5
98	ко всему	1	5
99	мы имеем	2	5
100	не только	26	5
101	мира но	2	5
102	с ним	13	5
103	но как	4	5
104	его в	6	5
105	не знает	5	5
106	в основе	6	5
107	но в	7	5
108	именно в	8	5
109	бы быть	3	5
110	но ведь	4	5
111	как и	21	5
112	все же	9	5
113	жизни в	3	5
114	себя и	4	5
115	еще не	11	5
116	мир где	1	5
117	что я	2	5
118	время и	2	5
119	принципиально не	2	5
120	хотя бы	5	5
121	и содержание	1	5
122	в одном	14	5
123	ни одно	1	5
124	от своей	1	5
125	а в	9	5
126	единое и	1	5
127	я и	2	5
128	его как	6	5
129	жизни как	1	5
130	в контексте	2	5
131	там где	12	5
132	бытия в	3	5
133	никогда не	19	5
134	что в	14	4
135	нему в	1	4
136	познания и	1	4
137	должна быть	4	4
138	и весь	1	4
139	при этом	5	4
140	ни было	4	4
141	что это	1	4
142	нем как	2	4
143	о нем	16	4
144	не как	15	4
145	для нас	3	4
146	прежде всего	17	4
147	в своих	5	4
148	места в	1	4
149	как его	2	4
150	мне в	1	4
151	только момент	1	4
152	нет в	1	4
153	с ними	3	4
154	мира и	8	4
155	том что	15	4
156	в чем	2	4
157	в каком	2	4
158	могло бы	1	4
159	меня но	1	4
160	это мир	1	4
161	входит в	11	4
162	только как	1	4
163	нисколько не	2	4
164	во всей	2	4
165	могла бы	1	4
166	не по	3	4
167	между тем	5	4
168	здесь мы	3	4
169	ценности и	1	4
170	времени и	1	4
171	тем самым	3	4
172	чем не	1	4
173	и т.д	2	4
174	к ним	3	4
175	быть в	2	4
176	всех своих	1	4
177	из него	1	4
178	меня не	1	4
179	от него	3	3
180	та же	1	3
181	и на	15	3
182	здесь нет	3	3
183	на язык	1	3
184	этого мира	6	3
185	и пр	3	3
186	мы не	3	3
187	был бы	6	3
188	ним и	4	3
189	тогда когда	2	3
190	действительной жизни	1	3
191	того что	4	3
192	где он	1	3
193	и этим	2	3
194	ее целом	1	3
195	сознания и	9	3
196	на самом	5	3
197	ясно что	1	3
198	в виду	2	3
199	и делает	1	3
200	положения в	1	3
201	самом деле	9	3
202	ибо все	1	3
203	единой и	1	3
204	тем что	5	3
205	но для	2	3
206	людей и	2	3
207	не дает	4	3
208	рядом с	16	3
209	не менее	3	3
210	бы не	3	3
211	здесь не	2	3
212	его жизни	2	3
213	войти в	2	3
214	лишь как	6	3
215	поскольку он	1	3
216	себе и	3	3
217	в момент	4	3
218	своей значимости	1	3
219	единство мира	3	3
220	и другого	1	3
221	но конечно	3	3
222	той или	3	3
223	в каждом	11	3
224	это и	10	3
225	того или	1	3
226	бы и	6	3
227	ясно и	1	3
228	что не	6	3
229	отсюда и	2	3
230	не могу	1	3
231	но здесь	2	3
232	в свою	1	3
233	мира не	2	3
234	и ни	1	3
235	лежат в	2	3
236	во мне	2	3
237	в другом	1	3
238	для того	3	3
239	в ней	8	3
240	быть и	1	3
241	вступает в	5	3
242	и та	1	3
243	других людей	1	3
244	этом смысле	12	3
245	мне как	1	3
246	от того	4	3
247	человека и	2	3
248	на своем	2	3
249	не я	1	3
250	а лишь	3	3
251	нем и	2	3
252	из его	4	3
253	нет и	4	3
254	только с	2	3
255	могут быть	5	3
256	до конца	11	3
257	нигде не	6	3
258	действительно и	1	3
259	котором мы	2	3
260	о том	5	3
261	тем как	4	3
262	и единство	2	3
263	в то	15	3
264	а следовательно	1	3
265	события в	1	3
266	или иного	1	3
267	независимо от	1	3
268	всех этих	3	3
