N	2gram	Tiupa_Teor	BTomashe
1	у нас	2	3
2	все это	2	2
3	литературных произведений	5	2
4	можно было	1	2
5	и не	17	2
6	вопрос о	1	1
7	говорить о	4	1
8	и о	5	1
9	было и	1	1
10	литературы как	3	1
11	не только	24	1
12	а о	1	1
13	в композиции	1	1
14	таким образом	3	1
15	не было	1	1
16	прежде всего	3	1
17	книги в	1	1
18	и в	24	1
19	так и	14	1
20	на которой	1	1
21	можно в	1	1
22	и меньше	1	1
23	в своей	8	1
24	и потому	3	1
25	также что	1	1
26	за пределы	2	1
27	говорить об	1	1
28	не уничтожается	1	1
29	по крайней	1	1
30	с другой	9	1
31	об этом	2	1
32	художественного произведения	5	1
33	как будто	2	1
34	совершенно не	1	1
35	другой стороны	6	1
36	крайней мере	1	1
37	было бы	1	1
38	стороны изучение	1	1
39	не следует	4	1
40	точно и	1	1
41	и ее	4	1
42	чем на	1	1
43	одной из	2	1
44	в значительной	2	1
45	свести к	1	1
46	в пределах	5	1
47	в данном	9	1
48	теоретической и	1	1
49	теории литературы	2	1
50	в области	7	1
51	и исторической	1	1
52	далеко не	4	1
53	тем более	2	1
54	в научном	1	1
55	не вполне	2	1
56	теорию литературы	1	1
57	и более	1	1
58	имеющихся в	1	1
59	что все	1	1
60	не все	3	1
61	нельзя не	1	1
62	художественном произведении	1	1
63	никак не	1	1
64	узко и	1	1
65	значительной степени	2	1
66	а не	14	1
67	о художественном	1	1
68	отнюдь не	3	1
69	до конца	1	1
70	переходя к	1	1
71	ведет по	2	1
72	и на	2	1
73	между ними	6	1
74	еще не	6	1
75	автора по	1	1
76	все же	1	1
77	что в	10	1
