N	3gram	Savitsky_P	SlovoVZh
1	не может быть	1	7
2	в том что	4	4
3	и не может	1	3
4	одной стороны и	2	2
5	в этих двух	1	2
6	в отношении к	5	2
7	с одной стороны	3	2
8	с другой стороны	1	2
9	с точки зрения	3	2
10	в настоящее время	1	2
11	в своем значении	2	1
12	сами по себе	3	1
13	совершенно ясно что	1	1
14	в творчестве достоевского	1	1
15	нельзя отождествлять с	1	1
16	и в частности	1	1
17	литературы и не	1	1
18	во всяком случае	1	1
19	но в то	1	1
20	так же как	1	1
21	и в формах	1	1
22	то же время	7	1
23	бы оно ни	1	1
24	поскольку они являются	1	1
25	более или менее	1	1
26	но и в	2	1
27	в то же	7	1
28	том что в	1	1
29	и в этом	1	1
30	в частности в	1	1
31	в этом смысле	1	1
32	или хотя бы	1	1
