N	4gram	Bakhtin_sl	Russkaja
1	в то же время	15	10
2	и в другом случае	2	2
3	в том и в	2	2
4	или в лучшем случае	1	2
5	и в том и	2	2
6	том и в другом	2	2
7	по самому своему существу	1	1
8	во всех областях жизни	2	1
9	то же время в	1	1
10	бы друг с другом	1	1
11	бы то ни было	1	1
12	только с точки зрения	1	1
13	дело в том что	1	1
14	в каждый данный момент	4	1
15	и в этом случае	2	1
16	и с точки зрения	1	1
17	и прежде всего в	1	1
18	а в том что	1	1
19	но в то же	6	1
20	во всех этих случаях	1	1
21	в том числе и	1	1
22	о которых мы говорили	2	1
23	во всяком случае не	1	1
24	сама по себе еще	1	1
