N	2gram	Berdyaev_N	VeschiIm
1	не есть	3	79
2	и не	11	57
3	не только	5	48
4	то что	4	48
5	не может	16	46
6	и в	16	45
7	и есть	10	40
8	может быть	7	39
9	а не	17	37
10	значит что	4	32
11	это значит	1	30
12	потому что	4	25
13	было бы	1	24
14	только в	1	23
15	по себе	1	23
16	что она	2	23
17	в себе	2	23
18	сказать что	3	22
19	в смысле	2	22
20	и что	2	22
21	что такое	3	20
22	но и	3	19
23	в этом	7	18
24	есть только	1	18
25	так как	1	17
26	что мы	1	17
27	прежде всего	4	17
28	и это	2	17
29	оно есть	1	16
30	как и	7	15
31	уже не	2	15
32	в том	8	15
33	в ней	5	15
34	но это	6	14
35	не в	6	14
36	в самом	1	13
37	не будет	7	13
38	том что	2	13
39	есть и	1	13
40	и для	4	13
41	это и	2	13
42	что в	9	12
43	и с	2	12
44	и даже	2	12
45	о том	4	12
46	еще не	3	12
47	но если	1	12
48	не значит	3	12
49	и их	1	11
50	не менее	4	11
51	себя в	2	11
52	и пр	3	11
53	ни в	6	11
54	что не	1	11
55	в то	2	11
56	и только	1	11
57	в чем	1	10
58	с ее	5	10
59	с ним	1	9
60	хотя бы	2	9
61	говорить о	1	9
62	в своем	1	9
63	должно быть	4	9
64	это не	4	9
65	у нас	1	9
66	ли это	2	9
67	она не	3	9
68	но не	2	9
69	и его	1	9
70	должна быть	3	8
71	это есть	7	8
72	с тем	3	8
73	что он	1	8
74	себя и	1	8
75	но в	2	8
76	мы не	2	8
77	в ее	3	8
78	все это	5	8
79	с другими	1	8
80	и потому	4	8
81	не с	1	8
82	с другой	3	8
83	и явления	1	8
84	можно сказать	1	8
85	в сущности	1	7
86	оно не	1	7
87	все эти	2	7
88	тем что	1	7
89	или не	1	7
90	вообще не	1	7
91	я не	2	7
92	от того	1	7
93	а в	2	7
94	из них	1	7
95	в той	1	6
96	для себя	1	6
97	мы говорим	2	6
98	их в	1	6
99	в своей	3	6
100	в каком	1	6
101	и до	1	6
102	как я	1	6
103	одна из	2	6
104	вопрос о	3	6
105	тут мы	1	6
106	быть только	1	6
107	и бытия	1	6
108	в нем	5	6
109	должны быть	1	6
110	можно было	2	6
111	когда мы	2	6
112	бытия и	1	6
113	жизни и	8	6
114	ведь и	2	6
115	и все	4	6
116	никогда не	6	6
117	она сама	1	5
118	все что	1	5
119	как это	2	5
120	мысли и	2	5
121	подобно тому	3	5
122	в жизни	5	5
123	ничем не	1	5
124	вместе с	2	5
125	я хочу	1	5
126	в свою	1	5
127	быть не	1	5
128	и когда	1	5
129	нет и	2	5
130	того же	1	5
131	во всех	3	5
132	и мы	4	5
133	в его	1	5
134	хотя и	2	5
135	а это	1	5
136	если есть	1	5
137	от всех	1	5
138	в которой	1	5
139	всегда есть	1	5
140	на себя	1	5
141	то это	1	5
142	должен быть	5	5
143	тому как	3	5
144	мы должны	1	5
145	есть всегда	1	5
146	на это	1	5
147	для этого	2	5
148	в каком-то	1	5
149	от всякого	2	4
150	и от	2	4
151	существования и	1	4
152	переходит в	1	4
153	равно как	2	4
154	есть в	2	4
155	то время	1	4
156	метода и	1	4
157	с этим	2	4
158	во всяком	1	4
159	не существует	3	4
160	в основе	3	4
161	и более	1	4
162	в котором	1	4
163	того чтобы	2	4
164	не быть	1	4
165	есть прежде	1	4
166	я называю	2	4
167	когда она	1	4
168	так же	2	4
169	и еще	1	4
170	сама себя	1	4
171	что все	2	4
172	сам себя	1	4
173	к себе	1	4
174	это я	1	4
175	так и	2	4
176	есть уже	1	4
177	в конце	1	4
178	смысле и	1	4
179	во имя	15	4
180	время как	2	4
181	и оно	1	4
182	и у	1	4
183	не было	4	4
184	она должна	1	4
185	он не	8	4
186	в силу	1	4
187	по своей	1	4
188	в этой	1	4
189	к ней	1	4
190	на ее	1	3
191	я могу	1	3
192	другой стороны	2	3
193	быть может	4	3
194	нет никакого	1	3
195	сами по	1	3
196	но все	1	3
197	как в	3	3
198	жизни в	3	3
199	не имеет	4	3
200	он есть	1	3
201	к тому	3	3
202	от этого	1	3
203	и нет	1	3
204	но оно	1	3
205	перестает быть	4	3
206	ни к	2	3
207	одной стороны	2	3
208	вот почему	2	3
209	говорит что	1	3
210	превращается в	1	3
211	в истории	3	3
212	будет уже	2	3
213	и а	1	3
214	и во	1	3
215	нельзя сказать	1	3
216	вопроса о	1	3
217	к нему	1	3
218	свидетельствует о	1	3
219	с одной	2	3
220	у него	2	3
221	есть еще	1	3
222	но он	1	3
223	по существу	2	3
224	чтобы быть	1	3
225	и она	1	3
226	же как	2	3
227	тут нет	1	3
228	ему не	1	3
229	к одному	1	3
230	но можно	1	3
231	мы уже	1	3
232	говорим что	1	3
233	но она	2	3
234	к ее	3	3
235	человека и	3	3
236	для того	1	3
237	все еще	1	3
238	оно может	1	3
239	не к	2	3
240	во всем	1	2
241	и к	5	2
242	от нее	1	2
243	от рационализма	1	2
244	я уже	2	2
245	и этот	1	2
246	и мира	1	2
247	и на	2	2
248	же и	1	2
