N	4gram	Trubetskoy	Analitik
1	в то же время	10	14
2	одного и того же	1	6
3	и не может быть	1	4
4	дело в том что	1	3
5	бы то ни было	1	3
6	то же время в	1	2
7	заключается в том что	1	2
8	но в то же	1	2
9	вряд ли может быть	1	1
10	его можно было бы	1	1
11	относится не только к	1	1
12	и в этом случае	1	1
13	в том случае если	3	1
14	сказанное относится не только	1	1
15	во всяком случае не	1	1
16	в свою очередь является	1	1
17	по себе еще не	1	1
18	для того чтобы их	1	1
19	а в том что	1	1
20	той или иной культурной	1	1
21	может и должно быть	1	1
22	ни к чему не	1	1
23	и вместе с тем	2	1
24	сама по себе еще	1	1
25	при таком взгляде на	1	1
26	в том числе и	1	1
27	состоит в том чтобы	1	1
28	лишь в том случае	2	1
29	несмотря на то что	1	1
30	аспекта одного и того	1	1
31	друг с другом в	1	1
32	как и следовало ожидать	1	1
33	во всех этих случаях	1	1
