N	4gram	Losev_Prob	VerxiiNi
1	в том числе и	2	4
2	во всяком случае не	1	3
3	и на то что	1	1
4	ближайшем рассмотрении оказывается что	1	1
5	свидетельствует о том что	3	1
6	но в конце концов	1	1
7	тем не менее совершенно	1	1
8	по крайней мере в	2	1
9	но тем не менее	1	1
10	указывает на то что	3	1
11	или по крайней мере	4	1
12	с нашей точки зрения	1	1
13	и в настоящее время	1	1
14	не имеющего ничего общего	1	1
15	имеющего ничего общего с	1	1
16	но в то же	1	1
17	мы имеем в виду	1	1
18	и в то же	1	1
19	одного и того же	2	1
20	с тем что в	1	1
21	только то что он	1	1
22	и в этом отношении	1	1
23	при ближайшем рассмотрении оказывается	1	1
24	еще и потому что	1	1
25	а с другой стороны	1	1
26	в самом деле если	1	1
27	в том или ином	1	1
28	один и тот же	1	1
