N	2gram	Tiupa_Hudo	Mirosoze
1	и в	23	97
2	у достоевского	1	94
3	может быть	19	64
4	не только	20	63
5	в этом	12	55
6	но и	14	54
7	он не	4	53
8	а не	13	53
9	в нем	6	49
10	не может	9	49
11	у него	2	47
12	и не	16	39
13	никогда не	2	38
14	потому что	3	37
15	не было	1	36
16	не в	9	34
17	и есть	1	33
18	для него	5	31
19	не есть	1	30
20	но он	3	30
21	как и	3	29
22	прежде всего	5	29
23	в мире	24	27
24	но в	10	27
25	человека и	2	26
26	в своей	7	25
27	и это	2	25
28	у нас	1	24
29	ведет к	2	23
30	в своем	4	23
31	что в	7	23
32	что он	5	22
33	в самом	7	21
34	в себе	13	20
35	отношение к	7	20
36	как бы	11	19
37	до конца	1	19
38	ивана карамазова	1	18
39	в его	11	18
40	того что	5	17
41	и потому	2	17
42	том что	9	16
43	если нет	1	16
44	в том	20	16
45	на земле	1	16
46	то что	5	16
47	было бы	1	16
48	достоевского в	1	16
49	и его	12	16
50	быть может	1	15
51	в котором	1	15
52	не знает	4	15
53	в этой	2	15
54	в конце	1	14
55	человек в	1	14
56	так как	1	14
57	и на	3	13
58	друг друга	1	13
59	в русском	1	13
60	привести к	1	12
61	в них	2	12
62	к нему	3	12
63	но не	13	12
64	это не	4	12
65	все это	2	12
66	и к	3	11
67	уже не	6	11
68	в которой	3	11
69	в русской	3	11
70	обращен к	1	11
71	только в	7	11
72	как в	2	11
73	и для	3	11
74	жизни и	1	11
75	то же	12	10
76	так же	2	10
77	чем у	1	10
78	всю жизнь	1	10
79	один из	2	10
80	не могут	1	10
81	не имеет	1	10
82	это и	2	10
83	в самой	2	10
84	человека к	3	10
85	есть не	1	10
86	все что	1	9
87	к преступлению	1	9
88	к тому	4	9
89	должно быть	1	9
90	что и	2	9
91	xix века	2	9
92	я не	2	9
93	не будет	3	9
94	он уже	1	9
95	то есть	26	9
96	с ним	2	9
97	вместе с	1	9
98	в свою	3	9
99	свободу и	1	9
100	бы и	1	9
101	а в	13	9
102	лишь в	7	9
103	от него	1	8
104	в этих	4	8
105	тем что	1	8
106	о том	2	8
107	себя в	8	8
108	что не	1	8
109	за пределы	2	8
110	жизнь в	1	8
111	не так	1	8
112	в отношении	4	8
113	нет в	1	8
114	того чтобы	5	8
115	отношении к	3	8
116	человек должен	1	8
117	с его	6	8
118	они не	1	8
119	мира и	2	8
120	только и	2	8
121	для того	5	8
122	если он	1	7
123	не существует	1	7
124	в нашем	2	7
125	что все	1	7
126	точки зрения	11	7
127	те же	1	7
128	что она	2	7
129	на этом	2	7
130	в жизни	3	7
131	отношения к	4	7
132	жизни в	2	7
133	себя и	3	7
134	более чем	1	7
135	мог бы	3	7
