N	4gram	Propp_Isto	Mirosoze
1	и вместе с тем	1	5
2	в то время как	3	4
3	не что иное как	1	4
4	так же как и	4	3
5	есть не что иное	1	3
6	в том смысле что	1	1
7	не может быть названа	1	1
8	одни и те же	1	1
9	очень интересно что в	1	1
10	не сам по себе	1	1
11	в иной мир но	1	1
12	в том смысле в	1	1
13	указывает на то что	1	1
14	в то же время	1	1
15	народов всего мира и	1	1
16	указывают на то что	1	1
17	в тех случаях когда	1	1
18	так как он в	1	1
19	он не может быть	1	1
20	том смысле в каком	1	1
21	это приводит нас к	3	1
22	до сих пор не	1	1
