N	2gram	Tiupa_Narr	Problemy
1	и в	19	106
2	и не	20	90
3	как бы	4	70
4	может быть	25	66
5	в его	9	56
6	в этом	17	52
7	в нем	4	51
8	не может	10	49
9	как и	7	44
10	что он	6	44
11	точки зрения	10	40
12	но и	23	40
13	для него	2	39
14	и его	5	39
15	а не	12	38
16	о себе	1	37
17	то же	4	36
18	не только	32	36
19	в пределах	2	35
20	то что	11	33
21	но в	6	33
22	прежде всего	4	32
23	он не	3	29
24	в то	3	29
25	и все	2	28
26	не в	14	27
27	к другому	2	27
28	к себе	5	26
29	же время	4	26
30	в самом	1	25
31	и с	4	25
32	к нему	5	25
33	с точки	2	25
34	в сущности	3	25
35	себе самому	1	25
36	не как	2	24
37	вовсе не	1	24
38	героя и	4	24
39	самом деле	2	24
40	и на	3	23
41	по себе	5	22
42	таким образом	1	22
43	как мы	3	21
44	все же	7	20
45	никогда не	3	20
46	только в	4	20
47	потому что	1	20
48	что в	3	19
49	с его	6	19
50	отношению к	6	19
51	слова в	1	19
52	уже не	5	18
53	по отношению	7	18
54	в себе	8	18
55	еще не	7	18
56	о нем	4	18
57	на самом	1	18
58	но не	6	18
59	все эти	2	18
60	и к	1	17
61	себе самом	2	17
62	с ним	1	17
63	а в	11	17
64	в том	18	17
65	это не	2	17
66	так и	9	17
67	так же	2	16
68	если бы	1	16
69	этом смысле	1	16
70	в другом	1	16
71	у него	4	15
72	третьего типа	1	15
73	и для	2	15
74	и наконец	1	15
75	и сам	1	14
76	в своем	2	14
77	как раз	2	14
78	в конце	1	14
79	а как	1	14
80	он и	1	14
81	лишь в	1	14
82	но все	4	13
83	на него	3	13
84	точка зрения	6	13
85	с другими	1	13
86	его в	2	13
87	в мире	9	13
88	достоевского и	1	13
89	героя в	8	13
90	себя и	2	13
91	перед нами	4	13
92	в целом	1	13
93	при этом	9	12
94	даже в	2	12
95	и как	5	12
96	и даже	3	12
97	чужому слову	1	12
98	к тому	7	12
99	в котором	1	12
100	к чужому	1	12
101	что и	1	12
102	не знает	1	12
103	так сказать	1	12
104	было бы	4	12
105	между тем	3	12
106	одного сознания	2	12
107	как в	7	12
108	том что	14	12
109	но это	1	12
110	ничего не	2	12
111	в плане	1	12
112	тем что	3	11
113	их в	1	11
114	входит в	1	11
115	с другой	8	11
116	ни одного	1	11
117	он сам	2	11
118	мы уже	1	11
119	в форме	5	11
120	не могут	1	11
121	этого слова	2	11
122	она не	2	11
123	рассказа в	1	11
124	как будто	3	11
125	более того	1	11
126	в произведении	3	10
127	что не	4	10
128	сих пор	1	10
129	в него	1	10
130	до сих	1	10
131	для себя	1	10
132	в слове	1	10
133	приводит к	2	10
134	в самой	1	10
135	к одному	1	10
136	далеко не	5	10
137	как не	1	10
138	отношение к	2	10
139	в той	6	9
140	зрения на	2	9
141	другой стороны	4	9
142	в них	1	9
143	хотя бы	4	9
144	друг с	1	9
145	что у	2	9
146	хотя и	3	9
147	но он	1	9
148	точек зрения	2	9
149	могут быть	3	9
150	в единство	1	9
151	ни в	3	9
152	да и	4	9
153	или в	2	9
154	и потому	2	9
155	человека в	2	9
156	в результате	2	8
157	и до	2	8
158	о том	6	8
159	мы увидим	1	8
160	все время	1	8
161	из них	3	8
162	и он	3	8
163	несмотря на	2	8
164	ни было	3	8
165	но как	2	8
166	одним из	2	8
167	здесь не	4	8
168	и у	1	8
169	и от	1	8
170	должна быть	2	8
171	что это	3	8
172	не на	2	8
173	с ними	1	8
174	наконец в	2	8
175	из его	1	8
176	как к	2	8
177	уже в	3	8
178	того что	2	8
179	это и	3	8
180	же не	4	8
181	с другом	1	8
182	бы он	1	8
183	от него	1	7
184	мысли и	1	7
185	в виду	1	7
186	на свой	2	7
187	на мир	1	7
188	к самому	2	7
189	отличается от	4	7
190	и со	1	7
191	в себя	6	7
192	сказать что	4	7
193	что все	1	7
194	что они	3	7
195	не было	2	7
196	не о	3	7
197	героя с	2	7
198	между ними	2	7
199	во всех	1	7
200	то ни	3	7
201	если же	1	7
202	и др	2	7
203	с которым	1	7
204	и ее	2	7
205	бы то	3	7
206	например в	2	7
207	в процессе	1	7
208	не входит	1	7
209	его и	1	7
210	точку зрения	4	7
211	тот же	1	7
212	но на	1	7
213	в их	1	7
214	все равно	1	7
215	мира и	2	7
216	к своему	1	7
217	и другого	1	7
218	что было	1	6
219	сознаний в	1	6
220	не менее	3	6
221	на фоне	1	6
222	не становится	1	6
223	одна из	3	6
224	не мог	4	6
225	героя не	1	6
226	эта особенность	1	6
227	в драме	1	6
228	в разрезе	1	6
229	как же	1	6
230	в художественном	1	6
231	человек и	1	6
232	на этом	1	6
233	внутренней речи	1	6
234	а с	3	6
235	человека как	1	6
236	но зато	1	6
237	все те	4	6
238	можно было	2	6
239	бы уже	1	6
240	в этой	5	6
241	себя в	5	6
242	рассказ в	2	6
243	и здесь	1	6
244	отношения к	2	6
245	ни был	1	6
246	в которых	1	6
247	в основе	5	6
248	другого в	1	6
249	в отличие	5	6
250	и во	1	6
251	он может	1	6
252	и пр	1	6
253	о герое	1	6
254	стремится к	1	6
255	по существу	2	6
256	на его	1	6
257	на них	1	6
258	отличие от	5	6
259	в начале	1	6
260	идет о	2	6
261	жизни и	3	6
262	и только	2	6
