N	2gram	Nazirov_Vr	Marksizm
1	точки зрения	2	69
2	может быть	4	64
3	и в	8	63
4	и не	5	55
5	как бы	4	53
6	не может	2	47
7	с точки	2	46
8	и его	3	41
9	в этом	8	39
10	таким образом	2	38
11	в процессе	1	33
12	не только	9	29
13	то же	5	28
14	в нем	6	28
15	но и	7	27
16	связи с	3	25
17	в самом	1	24
18	как и	6	24
19	прежде всего	1	24
20	так и	1	23
21	и т.п	2	23
22	в том	3	22
23	то что	7	22
24	при этом	4	20
25	для него	2	20
26	том что	3	19
27	в его	3	19
28	в ее	1	18
29	но в	6	18
30	все же	6	17
31	и как	3	16
32	в то	5	16
33	с помощью	1	15
34	во всех	1	15
35	в связи	3	15
36	отнюдь не	2	15
37	что он	4	15
38	же время	5	15
39	– не	1	15
40	– это	6	14
41	в своей	2	13
42	так же	4	13
43	что в	7	13
44	было бы	1	13
45	ничего не	1	13
46	того же	1	12
47	выражение в	1	12
48	между тем	5	12
49	он не	3	12
50	высшей степени	1	12
51	а в	2	12
52	в высшей	1	12
53	к нему	1	11
54	и что	8	11
55	и от	1	11
56	до сих	1	11
57	и все	7	11
58	как в	1	11
59	еще не	2	11
60	друг друга	1	11
61	в ней	4	11
62	сих пор	1	11
63	именно в	1	10
64	во всяком	1	10
65	с другой	1	10
66	к этому	3	10
67	никогда не	2	10
68	в своем	3	10
69	его в	3	10
70	в таком	1	10
71	одна из	2	10
72	в основном	1	10
73	с его	3	10
74	более того	1	10
75	быть и	1	9
76	одного и	1	9
77	в себе	2	9
78	рядом с	2	9
79	и это	2	9
80	что это	1	9
81	не имеет	1	9
82	отношении к	1	9
83	это не	4	9
84	в истории	4	9
85	другой стороны	1	8
86	и даже	6	8
87	и с	6	8
88	мы знаем	2	8
89	у него	5	8
90	не было	5	8
91	ясно что	1	8
92	не будет	1	8
93	в форме	1	8
94	столь же	2	8
95	в каком	1	8
96	в свою	2	8
97	с этим	1	8
98	в их	1	8
99	и их	1	8
100	и т.д	1	8
101	и ее	2	8
102	на то	3	8
103	в этих	1	7
