N	4gram	Bakhtin_Pr	VLabPisa
1	в то же время	8	5
2	и в то же	3	3
3	в том числе и	13	2
4	большей или меньшей степени	5	2
5	и не может быть	5	2
6	в большей или меньшей	5	2
7	в этом и заключается	1	2
8	никогда не может быть	1	1
9	но между ними нет	1	1
10	не чем иным как	1	1
11	одно и то же	1	1
12	значит ли это что	1	1
13	с большей или меньшей	1	1
14	одну и ту же	1	1
15	между ними нет и	1	1
16	то это вовсе не	1	1
17	в той или иной	1	1
18	но в то же	3	1
19	большей или меньшей отчетливостью	1	1
20	говорит в письме к	1	1
21	нет и не может	3	1
22	мы имеем дело с	1	1
23	в этом отношении очень	1	1
24	не может обойтись без	1	1
