N	3gram	Voloshinov	UchenyiS
1	в конечном счете	1	4
2	не может быть	2	4
3	с другой стороны	1	3
4	в то же	9	3
5	то же время	7	3
6	в том что	1	2
7	в самом деле	2	2
8	до сих пор	1	2
9	хотя бы и	1	2
10	тех или иных	3	2
11	в конце концов	3	2
12	то же самое	4	2
13	в этом отношении	2	2
14	но даже и	1	2
15	по крайней мере	1	2
16	ничего не значит	1	1
17	говорить не о	1	1
18	является только одним	1	1
19	и т.д в	1	1
20	не может обойтись	1	1
21	они находятся в	1	1
22	то о чем	1	1
23	на первый взгляд	2	1
24	тем что он	1	1
25	но в то	2	1
26	между тем в	1	1
27	художественное творчество и	2	1
28	его и в	1	1
29	можно сказать что	2	1
30	равно как и	2	1
31	точном смысле этого	2	1
32	не было бы	2	1
33	в той же	3	1
34	и не только	2	1
35	не только в	3	1
36	более или менее	1	1
37	и в то	2	1
38	само по себе	1	1
39	мы имеем в	1	1
40	в точном смысле	2	1
41	в этом случае	3	1
42	она должна была	1	1
43	слово как таковое	1	1
44	в наиболее резких	1	1
