N	2gram	Propp_Morf	Freidism
1	таким образом	26	34
2	и не	16	34
3	точки зрения	7	31
4	не может	19	30
5	и пр	45	29
6	в этом	18	28
7	может быть	61	28
8	и в	17	28
9	прежде всего	14	26
10	в его	1	25
11	и его	3	22
12	с помощью	1	20
13	мы можем	5	20
14	как бы	6	19
15	как мы	8	18
16	то что	10	17
17	вовсе не	6	16
18	с точки	6	15
19	все эти	5	15
20	так как	20	15
21	в своей	1	14
22	так и	10	14
23	самом деле	4	14
24	и все	1	13
25	как и	4	13
26	по отношению	7	13
27	но в	4	13
28	во всех	6	13
29	то же	10	12
30	ни в	3	12
31	что он	5	12
32	том что	7	12
33	точку зрения	1	12
34	для него	2	12
35	все это	2	12
36	и наконец	1	12
37	только в	3	11
38	сказать что	4	11
39	отношению к	7	11
40	его в	4	11
41	все что	1	10
42	один из	7	10
43	не только	8	10
44	и с	1	10
45	но и	9	10
46	что же	2	10
47	тот же	1	10
48	в том	10	10
49	мы уже	4	10
50	он не	5	10
51	не в	3	10
52	и на	1	9
53	те же	1	9
54	уже не	4	9
55	во всяком	2	9
56	совершенно не	1	9
57	мы не	8	9
58	с его	3	9
59	к этому	4	9
60	к нему	3	9
61	в чем	2	9
62	а не	11	9
63	мы должны	3	9
64	и др	12	9
65	могут быть	21	9
66	при этом	1	8
67	все же	9	8
68	еще не	4	8
69	с этим	14	8
70	было бы	5	8
71	и вот	1	8
72	а в	8	8
73	с другими	2	8
74	на этом	4	8
75	всяком случае	2	8
76	что в	10	7
77	и к	4	7
78	не могут	7	7
79	роль в	2	7
80	хотя бы	5	7
81	в каком	2	7
82	если мы	6	7
83	что все	1	7
84	и для	4	7
85	из них	4	7
86	того что	3	7
87	не является	4	7
88	но не	8	7
89	об этом	5	7
90	и у	3	7
91	с самого	1	7
92	быть и	2	7
93	в этой	3	7
94	отношение к	1	7
95	в себе	1	7
96	в то	4	7
97	и ее	5	7
98	учение о	5	6
99	одно из	1	6
100	если он	2	6
101	не менее	7	6
102	но мы	3	6
103	к тому	5	6
104	можно сказать	2	6
105	в основе	2	6
106	в свою	1	6
107	для того	3	6
108	же время	1	6
109	из этих	2	6
110	высшей степени	1	6
111	мы имеем	19	6
112	как раз	1	6
113	что такое	3	6
114	во время	6	6
115	на самом	4	6
116	чем же	1	6
117	в таком	1	6
118	большинстве случаев	3	6
119	она не	2	6
120	совсем не	3	6
121	и что	3	6
122	в пределах	3	6
123	в высшей	1	6
124	и только	3	6
125	всех этих	1	6
126	не можем	1	6
127	что это	3	5
128	со всеми	1	5
129	в своих	2	5
130	ее в	3	5
131	конечно и	1	5
132	главе мы	1	5
133	с ними	1	5
134	со стороны	5	5
135	в следующей	1	5
136	на первый	3	5
137	тех же	4	5
138	того чтобы	4	5
139	увидим что	2	5
140	говорить о	4	5
141	на основании	1	5
142	и до	1	5
143	и те	1	5
144	самого начала	1	5
145	что она	2	5
146	он сам	1	5
147	это не	6	5
148	в ее	1	5
149	что и	10	5
150	в которой	3	5
151	тому что	5	5
152	между ними	1	5
153	в этих	17	5
154	и по	3	5
155	во второй	2	5
156	не знает	2	5
157	как это	7	5
158	далеко не	5	5
159	от того	4	5
160	в большинстве	3	5
161	ничего не	5	5
162	все основные	1	4
163	а потому	2	4
164	в последнем	3	4
165	как с	1	4
166	смысле слова	4	4
167	уже знаем	1	4
168	борьбы с	1	4
169	в виду	1	4
170	если бы	3	4
171	именно и	1	4
172	именно в	1	4
173	в собственном	3	4
174	связанные с	1	4
175	как в	5	4
176	себя и	2	4
177	этот вопрос	4	4
178	ничего общего	1	4
179	это и	3	4
180	данном случае	2	4
181	в данном	2	4
182	в котором	1	4
183	в первый	1	4
184	мы увидим	10	4
185	потому что	7	4
186	только как	1	4
187	не всегда	10	4
188	в этот	1	4
189	только на	1	4
190	так же	4	4
191	свою очередь	1	4
192	на него	4	4
193	одна из	5	4
194	но это	6	4
195	дает нам	1	4
196	этой области	1	4
197	и за	2	4
198	этом отношении	2	4
199	тем не	7	4
200	таком случае	1	4
201	у него	2	4
202	мы находим	1	4
203	не существует	3	4
204	в голову	1	4
205	но ведь	1	4
206	по своему	2	4
207	между собой	5	4
208	нисколько не	1	4
209	войти в	1	4
210	и вообще	1	4
211	о себе	1	4
212	в таких	3	4
213	в основных	1	4
214	не дает	1	4
215	то ни	3	4
216	и может	1	4
217	должны быть	2	4
218	в другом	2	4
219	к ней	3	4
220	главным образом	5	4
221	в систему	1	4
222	в области	1	4
