N	2gram	Tiupa_Narr	NovoeSre
1	а не	27	17
2	не может	16	16
3	и в	22	16
4	нового времени	2	12
5	и не	34	11
6	и есть	1	10
7	что в	6	9
8	истории и	1	9
9	в том	20	8
10	как не	1	8
11	жизни и	7	8
12	он не	8	8
13	в этом	23	7
14	может быть	24	7
15	в новой	1	7
16	не будет	2	7
17	как и	15	7
18	новая история	1	6
19	ни в	1	6
20	не знает	2	6
21	не в	12	6
22	лишь в	3	6
23	с его	6	6
24	но это	2	6
25	никогда не	8	6
26	и к	7	5
27	не только	50	5
28	в ней	5	5
29	истории в	8	5
30	все это	1	5
31	xix века	1	5
32	в жизни	9	5
33	в нем	9	5
34	с ее	3	5
35	должен быть	1	5
36	и потому	2	4
37	и мы	1	4
38	по своему	3	4
39	быть может	1	4
40	должно быть	1	4
41	потому что	7	4
42	это не	6	4
43	прежде всего	7	4
44	то что	14	4
45	не было	3	4
46	и все	7	4
47	не менее	6	4
48	не имеет	3	4
49	и для	4	4
50	о том	5	4
51	во всех	2	3
52	истории не	3	3
53	возвращение к	1	3
54	вопрос о	1	3
55	не означает	1	3
56	должна быть	2	3
57	она не	2	3
58	тому как	4	3
59	в ее	4	3
60	за пределы	1	3
61	стремится к	1	3
62	подобно тому	4	3
63	не существует	3	3
64	в новое	1	3
65	с другой	6	3
66	в основе	1	3
67	к ним	2	3
68	сказать что	5	3
69	наряду с	2	3
70	с тем	1	3
71	к жизни	3	3
72	в своей	8	3
73	в мире	8	3
74	как в	9	3
75	жизни в	7	3
76	история в	1	3
77	но и	39	3
78	это было	3	3
79	к ее	3	3
80	начало нового	1	3
81	жизни не	1	3
82	к тому	13	3
83	еще не	6	3
84	с этим	1	2
85	к подлинному	1	2
86	все они	1	2
87	более не	3	2
88	и от	3	2
89	это и	2	2
90	в центре	4	2
91	я уже	2	2
92	и что	1	2
93	не могли	1	2
94	на протяжении	12	2
95	что она	3	2
96	личность в	1	2
97	ли это	1	2
98	и было	1	2
99	зависит от	3	2
100	с одной	5	2
101	хотя бы	4	2
102	такого рода	17	2
103	мы не	5	2
104	живого бога	1	2
105	того чтобы	7	2
106	хотя и	8	2
107	переход к	1	2
108	истории а	2	2
109	так и	12	2
110	нашего времени	1	2
111	как это	7	2
112	которому не	1	2
113	но она	1	2
114	одной стороны	5	2
115	не могла	2	2
116	можно было	2	2
117	каждого человека	1	2
118	ни одна	1	2
119	другой стороны	2	2
120	времени и	9	2
121	этом смысле	1	2
122	у него	13	2
123	место в	3	2
124	а в	19	2
125	в будущем	1	2
126	все время	2	2
127	и даже	4	2
128	и с	3	2
129	на уровне	1	2
130	жизни как	2	2
131	для этого	1	2
132	которую она	1	2
133	могут быть	1	2
134	в себе	14	2
135	и на	5	2
136	быть в	2	2
137	уже не	11	2
138	мира а	1	2
139	я не	5	2
140	что все	1	2
141	время как	1	2
142	времени в	3	2
143	все эти	3	2
144	есть в	1	2
145	же как	2	2
146	вместе с	3	2
147	который в	2	2
148	одна из	5	2
149	мира и	2	2
150	роль в	4	2
151	как будто	4	2
152	но не	7	2
153	в то	9	2
154	в новом	1	2
155	том что	15	2
156	в мировой	1	2
157	не будут	1	2
158	ведь и	1	2
159	бытия в	2	2
160	мир и	2	2
161	так же	2	2
162	можно назвать	2	2
163	но для	5	2
164	в одну	1	2
165	себя в	4	2
166	но в	10	2
167	и т.п	11	2
168	мысли и	1	2
169	обращение к	1	2
170	не к	4	2
171	войны и	4	2
172	в той	4	1
173	она сама	2	1
174	своего рода	17	1
175	мир не	1	1
176	войне и	2	1
177	в самом	8	1
178	ближе к	1	1
179	во всем	1	1
180	к одному	1	1
181	они являются	1	1
182	еще при	1	1
183	и того	5	1
184	но тут	1	1
185	до этого	1	1
186	обращена к	1	1
187	может иметь	1	1
