N	4gram	Losev_Dial	Stilisti
1	в то же время	3	7
2	одно и то же	2	5
3	одной и той же	4	4
4	не что иное как	6	2
5	ни к чему не	1	2
6	но в то же	1	2
7	и в то же	2	2
8	в связи с этим	1	2
9	есть не что иное	3	2
10	не забудем что мы	1	1
11	ту или иную степень	1	1
12	иметь в виду что	1	1
13	но то что мы	1	1
14	мы как раз и	1	1
15	от тех или иных	1	1
16	будем говорить не о	1	1
17	не может сказать ни	1	1
18	мы будем говорить не	1	1
19	одна и та же	3	1
20	если мы будем говорить	1	1
21	у нас есть такие	1	1
22	и ни от чего	2	1
23	как только мы начинаем	1	1
24	одних и тех же	2	1
