N	2gram	Medvedev_V	FransuaR
1	и в	2	367
2	в этом	1	112
3	и не	1	101
4	и его	1	99
5	в том	2	71
6	то же	1	66
7	все это	1	62
8	только в	1	48
9	так как	1	46
10	том что	2	45
11	в самом	1	38
12	в конце	2	32
13	потому что	1	30
14	но это	1	25
15	в частности	1	24
16	в их	1	23
17	именно в	1	21
18	в значительной	1	20
19	самом деле	1	20
20	к этому	1	19
21	далеко не	1	19
22	в другом	1	16
23	дело в	1	16
24	по существу	1	14
25	так в	1	13
26	в книге	3	13
27	главным образом	1	12
28	другом месте	1	12
29	все то	1	12
30	и т.д	1	11
31	все время	1	11
32	время в	1	11
33	да и	1	10
34	конце концов	2	10
35	значительной степени	1	10
36	в которых	1	9
37	ведь это	1	9
38	том же	1	9
39	и то	1	9
40	под влиянием	1	8
41	речи и	1	8
42	на одном	1	8
43	по поводу	1	8
44	и почти	1	8
45	не будем	1	7
46	хотя бы	1	6
47	для них	1	6
48	что слово	1	5
49	тем более	1	5
50	книге в	2	5
51	их как	1	5
52	и только	1	5
53	я не	1	4
54	одно и	1	4
55	имеется в	1	4
56	говоря о	1	4
57	говорили в	1	3
58	по своим	1	3
59	ясно что	1	3
60	в устах	1	3
61	теснейшим образом	1	3
62	ни к	1	3
63	этому и	1	3
64	образом связаны	1	3
65	без учета	1	2
66	чем больше	1	2
67	все дело	1	2
68	что образы	1	2
69	вещь и	1	2
70	гораздо более	1	2
71	связанным с	1	2
72	а только	1	2
73	одном и	1	2
74	и самым	1	2
75	связаны и	1	2
76	же с	1	2
77	как же	1	2
78	то чего	1	2
79	хотел сказать	1	1
80	не одно	1	1
81	совершенно ясно	1	1
82	и положения	1	1
83	от многих	1	1
84	i г	1	1
85	сводится к	1	1
86	к созданию	1	1
87	то я	1	1
88	более чем	1	1
89	способно вызвать	1	1
90	от других	1	1
91	дело именно	1	1
92	и том	1	1
93	стоит на	1	1
94	техники и	1	1
95	стр на	1	1
96	о теории	1	1
97	зависят от	1	1
98	году о	1	1
99	оно с	1	1
100	они на	1	1
101	к чему	1	1
102	новой комбинации	1	1
103	с большой	1	1
104	столь же	1	1
105	сводится в	1	1
106	один пример	1	1
107	старых и	1	1
108	без знания	1	1
109	в сугубо	1	1
110	этом и	1	1
