N	3gram	Vinokur_Ku	Dialekti
1	и т д	21	75
2	с точки зрения	16	46
3	по крайней мере	11	26
4	в том что	23	25
5	ни в каком	2	18
6	не может быть	5	18
7	не что иное	2	18
8	что иное как	2	18
9	тем не менее	9	16
10	сам по себе	1	16
11	само по себе	6	16
12	то же время	4	15
13	в то же	4	14
14	т д и	3	14
15	только тогда когда	2	13
16	д и т	3	12
17	и то же	1	12
18	с другой стороны	12	12
19	о том что	6	12
20	одно и то	1	12
21	есть не что	1	11
22	на то что	3	11
23	в самом деле	14	10
24	т е в	3	10
25	имеется в виду	1	9
26	иметь в виду	1	9
27	по себе не	1	9
28	что он есть	1	9
29	и не только	1	9
30	вовсе не есть	1	9
31	то или иное	2	9
32	не значит что	1	8
33	только то что	1	8
34	а не просто	1	8
35	та или иная	1	8
36	в этом смысле	8	8
37	можно сказать что	2	7
38	говоря уже о	1	7
39	вовсе не в	1	7
40	не в том	5	7
41	так или иначе	3	7
42	сами по себе	2	7
43	т е не	1	7
44	но что такое	1	7
45	точно так же	4	7
46	в связи с	4	7
47	той или иной	1	7
48	то это значит	1	7
49	не потому что	4	7
50	того что он	1	7
51	не говоря уже	2	7
52	и в частности	1	7
53	только потому что	11	6
54	для того чтобы	21	6
55	крайней мере в	1	6
56	более или менее	3	6
57	в зависимости от	7	6
58	что это есть	1	6
59	и в то	1	6
60	не нуждается в	1	6
61	не имеет никакого	1	6
62	в каком смысле	1	6
63	в нем есть	1	6
64	во всяком случае	8	6
65	с одной стороны	2	6
66	может быть и	1	6
67	на самом деле	3	5
68	по сравнению с	1	5
69	того или другого	1	5
70	потому что она	2	5
71	ничего общего с	2	5
72	в конце концов	3	5
73	потому что он	1	5
74	по себе и	1	5
75	и тем не	4	5
76	к тому что	2	5
77	т е о	2	5
78	от того что	1	5
79	в том смысле	2	5
80	до сих пор	5	5
81	одной и той	1	5
82	и той же	1	5
83	это было бы	1	5
84	это не значит	1	4
85	том смысле что	1	4
86	и т п	39	4
87	с этой точки	3	4
88	так же как	3	4
89	но даже и	2	4
90	этой точки зрения	4	4
91	может быть только	2	4
92	т д все	1	4
93	в данном случае	1	4
94	и что такое	1	4
95	к тому же	1	4
96	как раз и	1	4
97	с тех пор	1	4
98	но это не	1	4
99	я думаю что	1	4
100	может и не	1	4
101	и может быть	1	4
102	не есть нечто	1	4
103	как только мы	1	4
104	не может и	1	4
105	есть в сущности	1	4
106	и даже в	1	4
107	самого по себе	1	4
108	можно было бы	11	4
109	да и то	1	4
110	не могут быть	1	4
111	в этом отношении	8	4
112	тех или иных	1	3
113	прежде всего от	1	3
114	несмотря на то	1	3
115	но уже и	1	3
116	когда мы говорим	1	3
117	ничего не значат	1	3
118	в силу этого	1	3
119	на точку зрения	1	3
120	то же что	1	3
121	я мог бы	1	3
122	т д не	2	3
123	это вовсе не	1	3
124	и говорить о	1	3
125	но все же	3	3
126	все это не	3	3
127	бы то ни	1	3
128	д все это	1	3
129	уже о том	1	3
130	на себя функции	1	3
131	того или иного	5	3
132	если так то	1	3
133	и то не	1	3
134	и что же?	1	3
135	это не мешает	1	3
136	ни в какой	1	3
137	в данный момент	2	3
138	как и в	1	3
139	что это только	2	3
140	о том как	3	3
141	в себе и	1	3
142	но что это	1	3
143	хотя и не	1	3
144	не только в	4	3
145	речь идет о	3	3
146	есть таким образом	1	3
147	т е как	5	3
148	принять во внимание	1	3
149	так что в	1	3
150	и с этой	2	3
