N	4gram	Bakhtin_fo	Narrotol
1	в то же время	10	8
2	во времени и пространстве	1	5
3	дело в том что	2	3
4	дело не только в	1	2
5	и в то же	6	2
6	одного и того же	6	2
7	одно и то же	4	2
8	как раз в том	1	2
9	в той или иной	2	2
10	и не могло быть	1	1
11	уплотняется становится художественно-зримым пространство	1	1
12	в осмысленном и конкретном	1	1
13	с этой точки зрения	1	1
14	влияние не только на	1	1
15	не было и не	1	1
16	но для того чтобы	2	1
17	друг на друга но	1	1
18	до сих пор еще	1	1
19	не для того чтобы	3	1
20	слияние пространственных и временных	1	1
21	с одной стороны и	2	1
22	место слияние пространственных и	1	1
23	самому и к другому	1	1
24	временных примет в осмысленном	1	1
25	и т п все	1	1
26	движение времени сюжета истории	1	1
27	в качестве одной из	1	1
28	одна и та же	2	1
29	и конкретном целом время	1	1
30	ни в чем не	3	1
31	того мира в котором	1	1
32	осмысленном и конкретном целом	1	1
33	в то время как	2	1
34	интенсифицируется втягивается в движение	1	1
35	той или иной степени	1	1
36	имеет место слияние пространственных	1	1
37	в движение времени сюжета	1	1
38	становится художественно-зримым пространство же	1	1
39	в том числе и	4	1
40	конкретном целом время здесь	1	1
41	целом время здесь сгущается	1	1
42	к себе самому и	2	1
43	художественно-зримым пространство же интенсифицируется	1	1
44	было и не могло	1	1
45	не только в литературе	1	1
46	в связи с этим	4	1
47	пространство же интенсифицируется втягивается	1	1
48	втягивается в движение времени	1	1
49	примет в осмысленном и	1	1
50	но и в других	2	1
51	сгущается уплотняется становится художественно-зримым	1	1
52	пространственных и временных примет	1	1
53	и временных примет в	1	1
54	время здесь сгущается уплотняется	1	1
55	здесь сгущается уплотняется становится	1	1
56	же интенсифицируется втягивается в	1	1
57	не оставляет места для	1	1
58	себе самому и к	1	1
