N	3gram	Propp_Russ	Istorich
1	и т д	12	142
2	в этих случаях	1	47
3	мы видим что	1	30
4	в этом случае	9	29
5	с одной стороны	1	28
6	так же как	5	27
7	в том что	27	25
8	не может быть	1	24
9	вместе с тем	10	23
10	но все же	2	23
11	тем не менее	3	23
12	точно так же	1	22
13	о том что	6	22
14	не только в	1	19
15	здесь мы имеем	2	17
16	в связи с	4	17
17	мы видели что	1	16
18	мы уже знаем	2	15
19	в данном случае	7	15
20	после того как	3	15
21	по отношению к	1	14
22	на то что	2	14
23	в некоторых случаях	1	14
24	в то время	3	13
25	что в сказке	1	13
26	мы увидим ниже	2	13
27	мы увидим что	1	13
28	то время как	1	13
29	но и в	1	12
30	как мы видели	1	12
31	мы не будем	4	12
32	в тех случаях	2	11
33	не что иное	3	11
34	мы здесь имеем	1	11
35	во всех этих	1	11
36	т е в	6	11
37	что иное как	3	11
38	как и в	1	10
39	можно было бы	2	10
40	к заключению что	1	10
41	тех случаях когда	2	10
42	что и в	1	10
43	друг с другом	1	9
44	д к зеленин	8	9
45	но так как	1	9
46	как мы увидим	5	9
47	более или менее	1	9
48	же как и	3	9
49	с того что	1	8
50	приводит нас к	3	8
51	на этот вопрос	1	8
52	но вместе с	3	8
53	подобно тому как	3	8
54	еще не все	1	8
55	в большинстве случаев	2	7
56	наряду с этим	1	7
57	можем предположить что	1	7
58	то что в	1	7
59	мы можем предположить	1	7
60	с тем что	1	7
61	во всяком случае	1	7
62	так например в	1	7
63	потому что он	2	7
64	на первый взгляд	1	7
65	отсюда видно что	1	7
66	можно предположить что	2	7
67	и в других	7	6
68	но это не	3	6
69	так как в	2	6
70	так как он	1	6
71	все же не	2	6
72	не будем здесь	2	6
73	мы должны будем	2	6
74	эти случаи показывают	1	6
75	но тем не	2	6
76	мы не можем	5	6
77	с этим в	1	5
78	том что в	7	5
79	для того чтобы	6	5
80	для наших целей	2	5
81	в отличие от	4	5
82	так как это	2	5
83	в том чтобы	2	5
84	может быть поставлен	1	5
85	это не совсем	2	5
86	в других случаях	2	5
87	т д и	1	5
88	о чем речь	1	5
89	в другом месте	1	5
90	это приводит нас	1	5
91	мы и здесь	1	5
92	на самом деле	1	5
93	мы имеем здесь	1	5
94	когда мы рассмотрим	2	4
95	перед нами как	1	4
96	но есть и	1	4
97	свете приведенных материалов	1	4
98	не только на	3	4
99	в этой связи	1	4
100	к себе в	1	4
101	здесь еще не	1	4
102	с точки зрения	3	4
103	в заупокойном культе	1	4
104	и в обрядах	1	4
105	независимо от того	1	4
106	т е с	1	4
107	состоит в том	16	4
108	не означает что	1	4
109	в лесу или	3	4
110	том что они	1	4
111	вопрос о том	1	4
112	сюда же относится	1	4
113	далеко не единственный	1	4
114	речь будет ниже	2	4
115	иметь в виду	2	4
116	это показывает что	4	4
117	так же в	1	4
118	о том чтобы	1	4
119	в лесу в	2	4
120	не совсем так	1	4
121	в это время	3	4
122	можно сказать что	1	4
123	а иногда и	4	4
124	в свете приведенных	1	4
125	возможно что здесь	1	4
126	ничего не говорится	1	4
127	это и есть	1	4
128	к этому же	3	4
129	он должен был	1	3
130	не все еще	1	3
131	как будто бы	1	3
132	в некоторых местах	5	3
133	никак не может	1	3
134	и многие другие	2	3
135	один из них	3	3
136	в точности соответствует	1	3
137	все эти случаи	1	3
138	что в этом	2	3
139	по этому поводу	3	3
140	к тому что	4	3
141	дело так что	1	3
142	можно найти в	1	3
143	в одном из	1	3
144	в воду и	2	3
145	не может считаться	1	3
146	не только по	2	3
147	о чем говорилось	1	3
148	что мы имеем	1	3
149	т д с	1	3
150	стоит в связи	2	3
151	можно установить что	1	3
152	приведем несколько примеров	1	3
153	а так как	1	3
154	и он же	1	3
155	дело не только	1	3
156	но и на	2	3
157	как уже указано	1	3
158	если предположить что	2	3
159	это означает что	1	3
160	только тогда когда	3	3
161	что здесь имеется	1	3
162	таким образом в	1	3
163	для нас не	2	3
164	каждый из этих	2	3
165	есть и другие	2	3
166	необходимо указать что	1	3
167	что в некоторых	1	3
168	чем речь будет	1	3
169	по его мнению	1	3
170	не все ясно	1	3
171	и не только	1	3
172	а в связи	1	2
173	а может быть	1	2
174	это не значит	2	2
175	может быть назван	1	2
176	все же она	1	2
177	но и по	1	2
178	и т п	1	2
179	может рассматриваться как	1	2
180	приводят нас к	2	2
181	которые приводят к	1	2
182	в русском фольклоре	1	2
183	как уже указывалось	5	2
184	обращает на себя	1	2
185	как и другие	4	2
186	из всех этих	1	2
187	быть не может	1	2
188	более высокой ступени	1	2
189	в таком случае	1	2
190	эту точку зрения	1	2
191	сказать что в	1	2
192	ничего общего с	1	2
193	даже если бы	1	2
194	об этом обряде	1	2
195	и таким образом	1	2
196	во многих случаях	4	2
197	можно показать что	1	2
198	из приведенных материалов	1	2
199	можно сделать из	2	2
200	это все же	1	2
201	самом же деле	2	2
202	на самом же	2	2
203	из того что	1	2
204	сказывается и в	1	2
205	в дом где	1	2
206	и потому что	2	2
207	если верно что	1	2
208	покажет нам что	1	2
209	нам право на	2	2
210	то что и	1	2
211	увидим ниже что	1	2
212	в приведенных материалах	2	2
213	что не только	1	2
214	все это показывает	4	2
215	что они были	1	2
216	в этом и	1	2
217	об этом мы	1	2
218	как раз наоборот	1	2
219	т д т	1	2
220	и один из	1	2
221	не было ни	1	2
222	в эту ночь	3	2
223	должно было способствовать	1	2
224	состоял в том	1	2
225	еще не означает	1	2
226	в виду что	2	2
227	одна из особенностей	1	2
228	у него нет	1	2
229	а он в	1	2
230	т е что	1	2
231	в связь с	1	2
232	выводы можно сделать	2	2
233	не только как	1	2
234	и связанные с	2	2
235	может быть и	3	2
236	д к зеленина	1	2
237	у других народов	1	2
238	для этой цели	2	2
239	т е на	2	2
240	в своих целях	1	2
241	во многих местах	3	2
242	в обрядах и	1	2
243	это для нас	1	2
244	не значит что	2	2
245	смерти но и	1	2
246	ее к себе	1	2
247	совершенно очевидно что	2	2
248	эта связь не	1	2
249	мы должны признать	1	2
250	в других местах	9	2
251	лесу или в	2	2
252	чтобы лучше понять	2	2
253	как мы видим	1	2
254	между собой и	1	2
255	легко заметить что	1	2
256	что такие представления	2	2
