N	3gram	Voloshinov	Dialekti
1	с точки зрения	5	46
2	в том что	2	25
3	не может быть	4	18
4	не что иное	2	18
5	что иное как	2	18
6	тем не менее	1	16
7	само по себе	1	16
8	то же время	1	15
9	в то же	1	14
10	и то же	2	12
11	с другой стороны	2	12
12	одно и то	3	12
13	есть не что	2	11
14	на то что	1	11
15	в самом деле	2	10
16	иметь в виду	1	9
17	подобно тому как	1	9
18	то или иное	1	9
19	только то что	1	8
20	та или иная	1	8
21	в связи с	1	7
22	только потому что	1	6
23	для того чтобы	1	6
24	более или менее	1	6
25	в зависимости от	2	6
26	выйти за пределы	1	6
27	с одной стороны	2	6
28	может быть и	1	6
29	на самом деле	1	5
30	ничего общего с	2	5
31	к тому что	1	5
32	в виду что	1	5
33	есть прежде всего	3	5
34	по себе а	1	4
35	с этой точки	1	4
36	так же как	1	4
37	этой точки зрения	1	4
38	в данном случае	2	4
39	то же самое	1	4
40	равно как и	1	4
41	можно было бы	1	4
42	в этом отношении	1	4
43	тех или иных	1	3
44	и как бы	1	3
45	ничего общего не	1	3
46	это конечно не	1	3
47	если бы мы	1	3
48	так как все	1	3
49	и не может	1	3
50	того или иного	2	3
51	в чем же	1	3
52	ту или иную	1	3
53	как и в	1	3
54	не было бы	1	3
55	но в то	1	3
56	с самого начала	2	3
57	что же такое	1	3
58	том что в	1	2
59	в собственном смысле	1	2
60	и не мог	1	2
61	не только его	2	2
62	далеко не всегда	1	2
63	и вместе с	1	2
64	можно говорить о	1	2
65	что в основе	1	2
66	в последнее время	1	2
67	но так как	2	2
68	но что же	1	2
69	все же есть	1	2
70	представим себе что	2	2
71	мы не можем	1	2
72	есть одно и	1	2
73	не должно быть	1	2
74	это и не	1	2
75	хотя бы в	1	2
76	и если наконец	1	2
77	в течение всего	1	2
78	потому что они	1	2
79	теперь мы можем	1	2
80	в этот момент	1	1
81	тех пор пока	3	1
82	остается только развести	1	1
83	вполне понятно что	3	1
84	что в ней	1	1
85	должно было бы	1	1
86	он и не	1	1
87	все равно не	1	1
88	тот же самый	1	1
89	собственно говоря и	1	1
90	эту точку зрения	1	1
91	возможно только в	1	1
92	только развести руками	1	1
93	в поэзии же	1	1
94	может и должно	1	1
95	не чем иным	2	1
96	но может быть	1	1
97	математическую формулу можно	1	1
98	только одно из	1	1
99	в отличие от	1	1
100	и никогда не	1	1
101	есть хотя бы	1	1
102	объект никогда не	1	1
103	не только на	1	1
104	чем иным как	2	1
105	нужно сказать что	1	1
106	не входит в	1	1
107	не только одно	1	1
108	развести руками если	1	1
109	в конечном счете	1	1
110	и в каждой	1	1
111	будет существовать если	1	1
112	несмотря на все	1	1
113	не имеет и	1	1
114	указать на то	1	1
115	в этот вопрос	1	1
116	не мог бы	1	1
117	те или иные	1	1
118	вопрос возможна ли	1	1
119	между собою и	1	1
120	вечная и неизменная	1	1
121	как то что	1	1
122	от этого и	1	1
123	дуализм с одной	1	1
124	речь может идти	1	1
125	а не как	1	1
126	она ни была	1	1
127	ни о какой	1	1
128	в чем его	1	1
129	мы собственно говоря	1	1
130	движение может иметь	1	1
131	связаны между собою	1	1
132	в какую-то пустоту	1	1
133	в течение всей	1	1
134	до тех пор	4	1
135	и призыв к	1	1
136	общего не имеет	1	1
137	не обязательна но	1	1
138	может привести только	1	1
139	включает в себя	1	1
140	лишь с точки	1	1
141	поставить вопрос возможна	1	1
142	собственно говоря даже	1	1
143	то не только	1	1
144	течение всего своего	1	1
145	но это конечно	1	1
146	но тем не	1	1
147	в нем только	1	1
148	и есть не	1	1
149	и вопроса о	1	1
150	точки зрения и	1	1
151	выключить из него	1	1
152	что в этом	1	1
153	прежде всего в	1	1
154	и следовательно в	1	1
155	и в области	1	1
156	привести только к	1	1
