N	2gram	Ircho_Kome	BTomashe
1	у нас	1	3
2	все это	7	2
3	в ней	7	2
4	можно было	3	2
5	больше чем	4	2
6	и не	28	2
7	видеть в	2	2
8	следовало бы	1	1
9	вопрос о	2	1
10	в трактовке	1	1
11	говорить о	6	1
12	и о	3	1
13	о них	1	1
14	забывать что	1	1
15	было и	1	1
16	как первый	1	1
17	не только	13	1
18	а о	2	1
19	всего в	1	1
20	таким образом	16	1
21	не было	6	1
22	меньшей мере	1	1
23	в эпоху	2	1
24	прежде всего	7	1
25	и в	37	1
26	так и	4	1
27	на которой	1	1
28	из своей	1	1
29	в своей	6	1
30	во всяком	3	1
31	и потому	2	1
32	и во	3	1
33	также что	1	1
34	за пределы	3	1
35	же не	3	1
36	по крайней	1	1
37	с другой	5	1
38	об этом	12	1
39	как будто	3	1
40	точке зрения	1	1
41	совершенно не	2	1
42	не о	3	1
43	другой стороны	2	1
44	крайней мере	1	1
45	всяком случае	3	1
46	кроме того	1	1
47	было бы	7	1
48	не следует	2	1
49	не признать	1	1
50	и ее	3	1
51	чем на	1	1
52	одной из	4	1
53	из ее	1	1
54	по меньшей	1	1
55	в пределах	3	1
56	более что	1	1
57	то нельзя	1	1
58	должна быть	2	1
59	в области	3	1
60	далеко не	3	1
61	тем более	9	1
62	короче говоря	1	1
63	и более	1	1
64	что все	1	1
65	нельзя не	1	1
66	никак не	2	1
67	его не	3	1
68	будто бы	1	1
69	а не	5	1
70	отнюдь не	5	1
71	до конца	4	1
72	представляется нам	2	1
73	бы больше	1	1
74	и на	6	1
75	выходит за	1	1
76	между ними	4	1
77	еще не	10	1
78	к ней	9	1
79	все же	9	1
80	что в	11	1
81	меньше чем	2	1
