N	3gram	Losev_Prob	TeoriaLi
1	в том что	13	10
2	по отношению к	2	10
3	в то же	2	8
4	то же время	1	8
5	того или иного	2	6
6	с другой стороны	7	6
7	более или менее	1	6
8	состоит в том	1	6
9	не может быть	2	5
10	для того чтобы	3	5
11	так или иначе	3	5
12	в данном случае	5	5
13	в свою очередь	2	3
14	той или иной	4	3
15	с точки зрения	13	3
16	в этом смысле	4	3
17	в виду не	1	3
18	в том числе	2	3
19	тем не менее	8	3
20	можно сказать что	4	3
21	тех или иных	2	3
22	виду не только	1	3
23	в связи с	11	3
24	с одной стороны	5	3
25	войне и мире	1	2
26	так и его	1	2
27	в русской литературе	3	2
28	этой точки зрения	2	2
29	с этой точки	2	2
30	в самом деле	1	2
31	в коем случае	3	2
32	в таком случае	2	2
33	ни в коем	3	2
34	в войне и	1	2
35	но в то	2	2
36	том числе и	1	2
37	а с другой	3	2
38	том что он	3	2
39	не только не	1	2
40	мы имеем дело	1	2
41	то ни было	2	2
42	сама по себе	2	2
43	к тому что	1	2
44	бы то ни	4	2
45	в известном смысле	1	2
46	ту или иную	1	2
47	коем случае не	1	2
48	жизни то есть	1	1
49	он состоит в	1	1
50	чтобы оно стало	1	1
51	может быть это	1	1
52	в той или	2	1
53	мере в какой	1	1
54	в области художественного	1	1
55	с тем же	1	1
56	не что иное	3	1
57	в одном и	1	1
58	то есть в	5	1
59	и потому что	2	1
60	и том же	1	1
61	а не ее	1	1
62	и тем же	1	1
63	и прежде всего	2	1
64	по себе а	2	1
65	при всем своем	2	1
66	никак не может	2	1
67	для искусства в	2	1
68	в прошлом и	1	1
69	только о том	2	1
70	на задний план	1	1
71	на каждом из	1	1
72	в большинстве случаев	1	1
73	говорится и о	1	1
74	себе отчет в	1	1
75	по крайней мере	8	1
76	мастер и маргарита	1	1
77	заключается в том	1	1
78	из тех или	1	1
79	в сравнении с	4	1
80	о том что	14	1
81	то или иное	1	1
82	одной из своих	1	1
83	в том в	1	1
84	или иной мере	2	1
85	точки зрения в	1	1
86	то есть как	2	1
87	в художественном смысле	1	1
88	в себе самом	1	1
89	это и есть	2	1
90	перед тем как	1	1
91	он стоит и	1	1
92	таким же образом	1	1
93	связи с этим	1	1
94	в настоящее время	7	1
95	в другом стихотворении	1	1
96	что он должен	2	1
97	здесь мы имеем	1	1
98	и как бы	2	1
99	только при условии	1	1
100	жизни человека и	1	1
101	в одной из	1	1
102	во времени и	1	1
103	по поводу этой	1	1
104	дело в том	4	1
105	не просто о	1	1
106	именно потому что	1	1
107	второй половины xviii	1	1
108	указывает на его	1	1
109	и в частности	4	1
110	другой стороны не	1	1
111	одним и тем	1	1
112	именно в этом	1	1
113	в самой себе	1	1
114	в то время	4	1
115	в первую очередь	1	1
116	содержит в себе	1	1
117	или иных первичных	1	1
118	как раз в	1	1
119	даже если она	1	1
120	точно так же	4	1
121	это уже не	2	1
122	еще большей степени	1	1
123	уже не просто	1	1
124	в том или	3	1
125	не было и	1	1
126	но в силу	1	1
127	к тому же	5	1
128	она далеко не	1	1
129	в нем по	1	1
130	том что в	1	1
131	каждой из них	1	1
132	в новое время	3	1
133	на первый взгляд	1	1
134	ни к какой	1	1
135	то же самое	2	1
136	не входит в	1	1
137	что представляет собой	1	1
138	рассматриваться в качестве	1	1
139	что иное как	3	1
140	и который пытается	1	1
141	едва ли не	1	1
142	нового времени в	1	1
143	одном и том	1	1
144	является одним из	1	1
145	имея в виду	1	1
146	в еще большей	1	1
147	ведь это не	1	1
148	можно даже сказать	1	1
149	имеем дело с	1	1
150	еще и потому	2	1
151	что несмотря на	1	1
152	не в роли	1	1
153	из этих сторон	1	1
154	в чистом виде	1	1
