N	3gram	Voloshinov	Formalny
1	с точки зрения	15	40
2	не может быть	14	29
3	на самом деле	4	21
4	то же время	6	20
5	в то же	6	20
6	и т д	1	19
7	во всяком случае	8	16
8	в настоящее время	1	13
9	по отношению к	11	12
10	в самом деле	10	11
11	так и в	3	11
12	в этом отношении	4	11
13	в его целом	2	10
14	бы то ни	3	10
15	в зависимости от	4	10
16	в большинстве случаев	5	9
17	и не может	3	9
18	для того чтобы	3	8
19	до сих пор	3	8
20	как мы видели	8	8
21	с одной стороны	2	8
22	в применении к	2	7
23	того или иного	1	7
24	то ни было	2	7
25	в высшей степени	6	7
26	и пр и	2	7
27	пр и пр	2	7
28	в свою очередь	4	7
29	как мы знаем	1	7
30	в первый период	4	7
31	а вовсе не	3	7
32	в том что	9	6
33	и в то	1	6
34	сам по себе	4	6
35	в данном случае	4	6
36	мы полагаем что	2	6
37	не только не	1	6
38	раз и навсегда	1	6
39	смысле этого слова	1	6
40	может быть и	6	6
41	в направлении к	1	5
42	к тому чтобы	3	5
43	в этом смысле	2	5
44	одни и те	1	5
45	в отличие от	2	5
46	к тому что	2	5
47	может войти в	1	5
48	все без исключения	1	5
49	до известной степени	1	5
50	и те же	1	5
51	как бы ни	1	5
52	во втором периоде	1	5
53	мы не можем	3	5
54	тем не менее	4	4
55	и пр все	1	4
56	в одной плоскости	1	4
57	в конце концов	2	4
58	в последнем счете	4	4
59	в этом пункте	1	4
60	точки зрения его	1	4
61	не могут быть	4	4
62	как раз и	2	4
63	вовсе не является	1	4
64	но все же	1	4
65	то ни стало	1	4
66	в ее целом	4	4
67	язык и его	1	4
68	но и в	1	4
69	может быть понято	1	4
70	в первом периоде	2	4
71	как и все	1	4
72	с самого начала	5	4
73	и не могут	1	4
74	и до конца	4	4
75	настоящее время в	1	4
76	в нем и	1	4
77	нет и не	3	4
78	по аналогии с	1	4
79	сводится к тому	1	4
80	и тот же	3	3
81	мы уже знаем	3	3
82	то или иное	2	3
83	при этом условии	1	3
84	и пр но	1	3
85	как и всякое	1	3
86	во что бы	1	3
87	всяком случае в	1	3
88	друг с другом	1	3
89	то же что	1	3
90	всякое конкретное высказывание	1	3
91	быть и речи	3	3
92	можно говорить о	1	3
93	уже знаем что	1	3
94	то же самое	2	3
95	самом же деле	2	3
96	только то что	3	3
97	на самом же	2	3
98	на первый план	4	3
99	но вовсе не	3	3
100	равно как и	2	3
101	и в дальнейшем	1	3
102	один и тот	3	3
103	мы увидим что	4	3
104	во всех своих	3	3
105	что бы то	1	3
106	первый период развития	2	3
107	но в то	3	3
108	что же касается	3	3
109	во всех областях	2	3
110	ни о каком	2	3
111	нам кажется что	1	3
112	начала и до	1	3
113	именно того что	1	2
114	нам в корне	1	2
115	все то что	3	2
116	и в данном	1	2
117	с другими идеологическими	1	2
118	отнюдь не является	3	2
119	и наконец в	1	2
120	более того можно	1	2
121	ни о какой	2	2
122	для данного высказывания	1	2
123	была бы совершенно	1	2
124	и его формы	2	2
125	форма и содержание	1	2
126	в собственном смысле	3	2
127	и со стороны	1	2
128	одной из своих	1	2
129	не выходит за	1	2
130	хотя бы и	2	2
131	в предыдущей главе	2	2
132	в жизни и	1	2
133	вовсе не в	2	2
134	всех без исключения	1	2
135	что в данном	1	2
136	такой же степени	1	2
137	она не может	1	2
138	но даже и	1	2
139	представляется нам в	1	2
140	отца с сыном	1	2
141	но при этом	1	2
142	так и с	1	2
143	в такой же	1	2
144	иметь в виду	1	2
145	между тем как	1	2
146	но для этого	1	2
147	в двух направлениях	1	2
148	с помощью каких	1	2
149	и прежде всего	7	2
150	в пределах одной	1	2
151	пределах индивидуального организма	1	2
152	роковую роль в	1	2
153	что между ними	1	2
154	внешнего и внутреннего	1	2
155	самом деле ведь	1	2
156	роль в истории	1	2
157	нужно сказать что	1	2
158	было бы наивно	2	2
159	что это не	1	2
160	в таком случае	4	2
161	в эпоху разложения	1	2
162	из того что	1	2
163	и входит в	1	2
164	даже и не	1	2
165	не нуждается ни	1	2
166	мы видели что	3	2
167	от всех других	1	2
168	и все же	1	2
169	свою очередь является	1	2
170	к нему и	1	2
171	превращения его в	1	2
