N	2gram	Berdyaev_V	UchenyiS
1	и в	16	14
2	не только	2	10
3	а не	7	10
4	и не	20	8
5	прежде всего	2	8
6	то что	9	7
7	вот почему	2	7
8	в этом	4	7
9	может быть	1	6
10	в искусстве	1	6
11	перестает быть	1	5
12	хотя бы	3	5
13	то же	1	5
14	все это	5	5
15	с другой	1	4
16	в этой	1	4
17	конечно не	2	4
18	но и	5	4
19	в их	1	4
20	бы то	1	3
21	и то	2	3
22	это не	2	3
23	как и	4	3
24	то ни	1	3
25	для него	2	3
26	в своей	3	3
27	все же	1	3
28	у нас	1	3
29	другой стороны	1	3
30	но в	3	3
31	в самом	1	2
32	если не	3	2
33	могли бы	1	2
34	его и	2	2
35	могут быть	2	2
36	является в	2	2
37	не в	3	2
38	бы и	3	2
39	и с	1	2
40	их и	1	2
41	крайней мере	1	2
42	но не	2	2
43	мы и	2	2
44	тем что	2	2
45	более чем	2	2
46	в его	4	2
47	в конце	3	2
48	должна быть	3	2
49	мы не	2	2
50	ничего не	1	2
51	между тем	2	2
52	не есть	6	2
53	что он	4	2
54	конце концов	1	2
55	о чем	1	2
56	а его	1	2
57	не могут	2	2
58	что мы	4	2
59	в том	3	2
60	том что	2	2
61	но это	3	2
62	и для	3	2
63	что и	3	2
64	не случайно	1	2
65	а между	2	2
66	с его	3	2
67	превращается в	3	2
68	по крайней	1	2
69	только в	2	2
70	что все	4	2
71	что было	2	1
72	все в	1	1
73	что в	3	1
74	с которыми	1	1
75	не было	3	1
76	и глубина	1	1
77	всего что	1	1
78	и потому	7	1
79	конечно это	1	1
80	отказаться от	1	1
81	в которой	1	1
82	и быть	1	1
83	от смысла	1	1
84	нет и	2	1
85	вообще в	1	1
86	религии и	1	1
87	никогда и	1	1
88	и все	4	1
89	поднимается до	1	1
90	и эта	1	1
91	в процессе	1	1
92	него не	1	1
93	то есть	1	1
94	свое место	1	1
95	нем но	1	1
96	взятого в	1	1
97	когда нужно	1	1
98	того как	1	1
99	но прежде	1	1
100	то и	1	1
101	так много	2	1
102	она не	1	1
103	смысле и	1	1
104	в своем	1	1
105	с тем	2	1
106	для себя	1	1
107	стороны в	1	1
108	его на	1	1
109	во мне	4	1
110	от слова	1	1
111	их в	3	1
112	не для	1	1
113	в ней	4	1
114	или даже	1	1
115	но что	1	1
116	всего только	1	1
117	не поднимается	1	1
118	и так	1	1
119	же ведь	1	1
120	это значит	1	1
121	почему в	2	1
122	бы ни	1	1
123	как возможно	1	1
124	в которых	1	1
125	к этому	1	1
126	так и	4	1
127	это в	1	1
128	ее в	2	1
129	о которой	1	1
130	в нем	4	1
131	поскольку он	1	1
132	все что	4	1
133	если нет	1	1
134	и что	3	1
135	в известном	1	1
136	отказ от	1	1
137	и это	2	1
138	он был	1	1
139	они в	3	1
140	должно быть	3	1
141	в виду	1	1
142	тот же	3	1
143	уже не	2	1
144	того что	5	1
145	у него	1	1
146	в словах	1	1
147	бы это	1	1
148	в котором	4	1
149	не существует	1	1
150	бы в	1	1
151	ее к	1	1
152	в виде	1	1
153	никогда не	3	1
154	человека и	6	1
