N	2gram	Ircho_Kome	Sotsiolo
1	все это	7	7
2	в том	24	5
3	в этом	18	5
4	не только	13	3
5	как же	2	3
6	не в	7	3
7	и в	37	3
8	и только	1	3
9	более чем	6	3
10	в его	12	3
11	для нас	7	3
12	ввести в	2	2
13	их между	1	2
14	что в	11	2
15	то что	5	2
16	таким образом	16	2
17	том что	22	2
18	или даже	1	2
19	дело не	2	2
20	как бы	7	2
21	в результате	2	2
22	было бы	7	2
23	как будто	3	2
24	в смысле	2	2
25	очевидно что	1	2
26	в частности	4	2
27	и мы	5	2
28	но и	18	2
29	конце концов	3	2
30	может быть	14	2
31	по существу	4	2
32	главным образом	2	2
33	и что	8	2
34	за пределы	3	2
35	по отношению	6	2
36	в конце	14	2
37	как только	2	2
38	отношению к	4	2
39	должна быть	2	2
40	далеко не	3	2
41	тем более	9	2
42	только в	3	2
43	только как	2	2
44	то же	14	2
45	еще не	10	2
46	как то	1	1
47	не успела	1	1
48	а в	12	1
49	что он	15	1
50	какие же	1	1
51	образом в	2	1
52	в конечном	2	1
53	столь же	5	1
54	не желая	1	1
55	теперь он	1	1
56	даже в	3	1
57	на что	2	1
58	быть не	1	1
59	в целом	4	1
60	в силу	2	1
61	на этот	6	1
62	что эти	1	1
63	все эти	1	1
64	не один	1	1
65	настаивает на	2	1
66	не было	6	1
67	представить себе	2	1
68	сказать и	1	1
69	остается в	3	1
70	а вот	1	1
71	связи с	5	1
72	точке зрения	1	1
73	кто не	1	1
74	нет а	1	1
75	не мешает	3	1
76	в своей	6	1
77	во всяком	3	1
78	в мире	2	1
79	и потому	2	1
80	дает нам	1	1
81	все же	9	1
82	или не	1	1
83	от друга	1	1
84	по крайней	1	1
85	с другой	5	1
86	и справедливым	1	1
87	мы понимаем	3	1
88	мы должны	1	1
89	а тем	1	1
90	и стало	1	1
91	это как	1	1
92	это же	1	1
93	с ним	10	1
94	противном случае	1	1
95	право на	1	1
96	между тем	6	1
97	собой не	1	1
98	и более	1	1
99	но как	1	1
100	в этой	7	1
101	вопросов в	1	1
102	из себя	3	1
103	и его	10	1
104	только когда	1	1
105	ли не	6	1
106	нашей работы	1	1
107	никак не	2	1
108	только для	2	1
109	в области	3	1
110	и по	3	1
111	их на	1	1
112	первый план	1	1
113	с помощью	4	1
114	же самое	3	1
115	этом не	1	1
116	один из	6	1
117	так и	4	1
118	в противном	1	1
119	в то	14	1
120	бы они	1	1
121	слишком много	1	1
122	может не	1	1
123	можно принять	1	1
124	ни одно	3	1
125	в котором	6	1
126	те же	1	1
127	поэта и	1	1
128	между собой	5	1
129	должно было	3	1
130	отнюдь не	5	1
131	и не	28	1
132	литературы на	1	1
133	со своими	1	1
134	выходит за	1	1
135	всяком случае	3	1
136	трудно представить	1	1
137	же по	1	1
138	от окружающих	1	1
139	он ни	1	1
140	том как	5	1
141	настоящее время	1	1
142	и о	3	1
143	но не	9	1
144	может служить	2	1
145	они не	2	1
146	лучшем случае	1	1
147	в него	1	1
148	правда он	3	1
149	в цельном	1	1
150	она должна	2	1
151	этой области	1	1
152	для этого	3	1
153	прежде всего	7	1
154	тем что	12	1
155	что она	10	1
156	тем же	3	1
157	в каждом	3	1
158	он по	1	1
159	существу своему	1	1
160	друг от	1	1
161	в чем	7	1
162	не из	1	1
163	на основании	3	1
164	а с	2	1
165	мы еще	1	1
166	же не	3	1
167	но только	1	1
168	не дает	5	1
169	в лучшем	2	1
170	в сущности	3	1
171	конечном счете	3	1
172	он говорит	3	1
173	его в	9	1
174	же теперь	2	1
175	не от	1	1
176	представляется нам	2	1
177	крайней мере	1	1
178	из современных	1	1
179	я и	2	1
180	вовсе не	6	1
181	даже не	5	1
182	с одной	5	1
183	больше того	2	1
184	и наконец	1	1
185	художественный организм	1	1
186	конечно не	4	1
187	о том	21	1
188	мы не	6	1
189	тому что	5	1
190	том и	1	1
191	эти вопросы	1	1
192	в этих	2	1
193	сама по	1	1
194	у него	10	1
195	по себе	1	1
196	как художественный	1	1
197	на первый	1	1
198	перед нами	1	1
199	бы он	3	1
200	в любой	1	1
201	это дает	1	1
202	вот в	1	1
203	все то	1	1
204	хотя бы	5	1
205	же время	12	1
206	наконец в	1	1
207	что на	1	1
208	это не	3	1
209	чуть ли	2	1
210	одной стороны	4	1
211	в связи	4	1
212	бы в	5	1
213	работы в	1	1
214	стало быть	2	1
215	в настоящее	1	1
216	никогда не	5	1
217	и есть	3	1
218	перейдет в	1	1
219	не может	9	1
220	между ними	4	1
221	и как	3	1
222	что все	1	1
223	место в	1	1
224	не без	2	1
225	как и	10	1
226	ничего не	6	1
227	в них	6	1
