1	при этом	22	43
2	не только	41	32
3	но и	31	31
4	а не	7	31
5	в этом	33	27
6	может быть	28	25
7	и не	14	24
8	что такое	2	23
9	и в	79	23
10	состоит в	32	23
11	в данном	8	22
12	в том	64	21
13	как и	28	21
14	своего рода	4	20
15	в частности	2	19
16	представляет собой	10	18
17	в качестве	6	18
18	тогда как	5	16
19	том что	59	16
20	а в	20	15
21	данном случае	9	15
22	со стороны	1	15
23	в себе	2	15
24	так и	10	14
25	не может	13	14
26	но в	9	14
27	отнюдь не	5	14
28	то есть	3	13
29	перед нами	2	13
30	а также	10	12
31	не в	7	12
32	отношению к	3	11
33	в тексте	1	11
34	прежде всего	5	11
35	в котором	4	11
36	отличие от	4	11
37	в отличие	4	11
38	по отношению	3	11
39	если бы	3	10
40	в своей	3	10
41	хотя и	3	10
42	с другой	5	10
43	все же	10	10
44	и его	3	9
45	с одной	3	9
46	но не	9	9
47	однако в	1	9
48	в его	5	9
49	только в	7	9
50	к тому	6	9
51	то что	17	9
52	одной стороны	2	9
53	в нем	6	9
54	в нашем	2	9
55	в своем	7	9
56	и все	9	8
57	у него	2	8
58	жизни и	1	8
59	как в	13	8
60	еще не	13	8
61	то же	9	8
62	как бы	31	8
63	и для	5	8
64	мы имеем	12	8
65	в жизни	2	7
66	это не	20	7
67	того что	8	7
68	этом отношении	2	7
69	потому что	17	7
70	о том	23	7
71	в современной	1	7
72	уже не	13	7
73	не является	2	7
74	никогда не	3	6
75	что и	10	6
76	что в	57	6
77	пока еще	2	6
78	как правило	5	6
79	также и	1	6
80	истории в	1	6
81	мы не	16	6
82	самом деле	2	6
83	сводится к	3	6
84	как будто	7	6
85	имеет место	3	6
86	можно сказать	2	6
87	он не	2	6
88	в основе	4	6
89	таким образом	17	6
90	тому же	3	6
91	в самом	1	6
92	следует признать	2	6
93	в области	3	5
94	до конца	7	5
95	говорить о	2	5
96	свою очередь	3	5
97	между двумя	2	5
98	в сознании	1	5
99	о котором	1	5
100	в той	1	5
101	на себя	8	5
102	и на	28	5
103	далеко не	11	5
104	об этом	17	5
105	одна из	24	5
106	не было	5	5
107	в результате	1	5
108	в ней	4	5
109	на самом	5	5
110	в одном	6	5
111	и более	6	5
112	в то	5	5
113	который в	2	5
114	что касается	3	5
115	жизни в	3	5
116	в состав	2	5
117	по поводу	5	5
118	отношение к	2	5
119	так в	6	5
120	как мы	20	5
121	для него	2	5
122	могут быть	4	5
123	в своих	4	5
124	не столько	4	5
125	как раз	1	5
126	одним из	2	5
127	в этих	8	5
128	в свою	5	5
129	из этих	7	5
130	свидетельствует о	1	5
131	о чем	9	4
132	а с	7	4
133	о которой	2	4
134	во втором	1	4
135	стороны и	1	4
136	не к	3	4
137	для детей	1	4
138	по своей	1	4
139	в них	14	4
140	о любви	1	4
141	не менее	14	4
142	что у	4	4
143	в центре	1	4
144	не вполне	1	4
145	всей своей	1	4
146	в целом	5	4
147	и он	2	4
148	может служить	1	4
149	о них	2	4
150	внимание на	1	4
151	быть не	2	4
152	было бы	7	4
153	не по	1	4
154	в какой	3	4
155	в случае	1	4
156	что на	11	4
157	и о	6	4
158	могло бы	2	4
159	а на	11	4
160	том как	3	4
161	исходя из	2	4
162	по аналогии	1	4
163	к ним	5	4
164	едва ли	1	4
165	которое в	4	4
166	принадлежат к	2	4
167	но это	11	4
168	у нас	14	4
169	не с	5	4
170	для нас	14	4
171	и тем	2	3
172	не говорится	2	3
173	во время	38	3
174	тем не	14	3
175	особенно в	2	3
176	между тем	10	3
177	и даже	2	3
178	и от	4	3
179	или в	10	3
180	должна быть	1	3
181	не следует	1	3
182	а только	1	3
183	и стало	1	3
184	с ним	5	3
185	в первом	1	3
186	представляют собой	18	3
187	или не	3	3
188	однако и	1	3
189	еще в	7	3
190	судя по	2	3
191	в конце	2	3
192	должен быть	2	3
193	и притом	2	3
194	для них	5	3
195	всяком случае	4	3
196	в начале	2	3
197	не на	4	3
198	и того	1	3
199	должны были	6	3
200	точка зрения	2	3
201	как у	2	3
202	во всяком	4	3
203	с того	1	3
204	это только	1	3
205	и по	13	3
206	тут же	3	3
207	и вновь	1	3
208	по своему	4	3
209	связано с	4	3
210	мы видели	14	3
211	на первый	3	3
212	ничего не	7	3
213	а к	4	3
214	слова в	3	3
215	ближе к	1	3
216	они не	2	3
217	подобного рода	2	3
218	еще один	1	3
219	их в	8	3
220	же в	8	3
221	все это	18	3
222	вслед за	1	3
223	на него	3	3
224	могла бы	1	3
225	в е	2	3
226	другой стороны	2	3
227	за пределами	2	3
228	не до	1	3
229	принадлежит к	1	3
230	к различным	2	3
231	начиная с	7	3
232	будто бы	15	3
233	не имеет	11	3
234	к этому	13	3
235	зависит от	1	3
236	в пределах	2	3
237	тем более	2	3
238	в виду	3	3
239	один из	15	3
240	в этот	26	3
241	на то	3	3
242	в особенности	5	3
243	но они	6	3
244	а именно	3	3
245	первый взгляд	1	3
246	все что	3	3
247	к ее	1	3
248	у них	4	3
249	по своим	1	3
250	подобно тому	8	3
251	из жизни	1	3
252	если в	4	3
253	тому как	8	3
254	от них	4	2
255	и через	3	2
256	этом и	2	2
257	между собой	12	2
258	восходит к	3	2
259	противном случае	1	2
260	не имели	3	2
