N	3gram	Vygotskiy_	Poddanst
1	то же время	2	7
2	в то же	2	7
3	в отношении к	3	5
4	в том что	21	4
5	не только в	1	4
6	сами по себе	4	3
7	с точки зрения	12	3
8	с одной стороны	6	3
9	в полной мере	1	2
10	но и в	1	2
11	заключается в том	13	2
12	в ней не	1	2
13	заключает в себе	3	2
14	в значительной мере	1	2
15	в том числе	1	2
16	одной стороны и	1	2
17	мы все же	1	1
18	и т д	10	1
19	разных точек зрения	1	1
20	не было бы	3	1
21	эти ценности в	1	1
22	совершенно ясно что	16	1
23	теория исторического материализма	1	1
24	именно потому что	2	1
25	с тем же	1	1
26	и в частности	2	1
27	в различных формах	1	1
28	в этих двух	1	1
29	вместе с тем	3	1
30	идет именно о	1	1
31	не в области	1	1
32	этого процесса нужно	1	1
33	в применении к	2	1
34	том числе и	1	1
35	само по себе	8	1
36	если бы мы	1	1
37	мы знаем что	3	1
38	в россии и	1	1
39	не может быть	14	1
40	та или иная	1	1
41	во многих случаях	1	1
42	как одна из	2	1
43	имеет два основных	1	1
44	мы видим в	1	1
45	том что в	1	1
46	в ней и	1	1
47	в отличие от	4	1
48	она должна была	1	1
49	в этом смысле	3	1
50	по сравнению с	3	1
51	есть прежде всего	1	1
52	тех пор пока	2	1
53	с тем чтобы	2	1
54	и то что	3	1
55	и есть в	1	1
56	что в этом	3	1
57	есть как бы	1	1
58	если мы не	2	1
59	в собственном смысле	3	1
60	сколько бы ни	1	1
61	творчества и в	1	1
62	между тем в	1	1
63	мы не только	1	1
64	во всяком случае	7	1
65	что с точки	1	1
66	для того чтобы	11	1
67	и вслед за	1	1
68	что то же	1	1
69	с другой стороны	7	1
70	в известном смысле	1	1
71	и не может	2	1
72	не в том	7	1
73	в том виде	2	1
74	в настоящее время	2	1
75	более или менее	3	1
76	мы не сумеем	1	1
77	так же как	8	1
78	до тех пор	2	1
79	науки и техники	1	1
80	и в этом	1	1
81	или что то	1	1
