N	2gram	Berdyaev_M	VelikijI
1	великого инквизитора	9	36
2	во имя	26	32
3	великий инквизитор	2	31
4	и не	26	20
5	и в	61	16
6	свободы и	13	12
7	так как	10	9
8	то что	10	9
9	в истории	2	8
10	в пустыне	2	8
11	от бога	1	8
12	к богу	5	8
13	еще не	1	8
14	и потому	17	7
15	что они	4	7
16	а не	36	7
17	на земле	7	7
18	хлеба земного	6	6
19	свободной любви	4	6
20	хлеба небесного	2	6
21	хлебом земным	1	6
22	к людям	1	6
23	человека и	19	6
24	не есть	21	6
25	меч кесаря	1	6
26	что есть	7	5
27	хотя и	2	5
28	того что	13	5
29	все это	6	5
30	ты не	1	5
31	в боге	7	5
32	как бы	10	5
33	бога и	13	5
34	на себя	1	5
35	великом инквизиторе	7	5
36	в мире	12	5
37	но и	34	5
38	к небытию	2	4
39	все что	5	4
40	в котором	9	4
41	в этом	34	4
42	что мы	1	4
43	потому что	25	4
44	в его	10	4
45	вавилонской башни	2	4
46	в ней	23	4
47	добра и	8	4
48	так и	5	4
49	это еще	1	4
50	говорить о	1	4
51	с богом	1	4
52	против бога	4	4
53	они будут	1	4
54	и есть	21	4
55	смысла жизни	2	4
56	мира сего	3	4
57	земного и	4	4
58	и все	13	4
59	что не	3	4
60	счастье людей	1	4
61	в образе	4	4
62	мировой жизни	1	4
63	великих и	1	4
64	что все	5	4
65	как и	14	4
66	что он	16	4
67	сделать людей	1	4
68	свободы совести	4	4
69	нет у	6	4
70	и я	5	4
71	к личности	1	4
72	в нем	26	4
73	о великом	6	4
74	во всех	3	3
75	что в	12	3
76	нет ничего	9	3
77	бы и	8	3
78	и против	3	3
79	и мы	2	3
80	людей во	2	3
81	то это	1	3
82	и сильных	1	3
83	в конце	11	3
84	должно быть	5	3
85	этого мира	3	3
86	тех которые	2	3
87	в первый	1	3
88	если не	1	3
89	хотя бы	8	3
90	к христу	2	3
91	в том	9	3
92	имя свободы	2	3
93	миллионов счастливых	1	3
94	любовь к	10	3
95	тому что	2	3
96	личности и	3	3
97	гадательного и	1	3
98	счастья людей	2	3
99	не в	16	3
100	его во	2	3
101	и что	4	3
102	что и	6	3
103	свободы от	1	3
104	ни в	3	3
105	они в	1	3
106	всемирной истории	2	3
107	превращается в	1	3
108	в этих	6	3
109	ты отверг	1	3
