N	3gram	Vinokur_Vv	RusskieA
1	в том что	15	49
2	состоит в том	2	29
3	и т д	39	21
4	тем не менее	9	14
5	в xix в	1	13
6	в этом случае	6	12
7	вместе с тем	3	11
8	о том что	13	10
9	том что в	1	9
10	в том чтобы	5	9
11	для того чтобы	22	8
12	в данном случае	4	8
13	подобно тому как	2	8
14	т е в	4	7
15	в настоящее время	1	7
16	не может быть	10	6
17	во многих случаях	1	6
18	по этому поводу	3	6
19	как мы видели	3	6
20	так же как	1	6
21	после того как	2	6
22	в связи с	2	5
23	к тому что	1	5
24	не что иное	5	4
25	как мы уже	2	4
26	в отличие от	4	4
27	что в этом	2	4
28	только тогда когда	1	4
29	в этих случаях	2	4
30	что иное как	5	4
31	можно было бы	4	4
32	во всяком случае	5	4
33	тех пор пока	1	3
34	но вместе с	2	3
35	по отношению к	4	3
36	т е на	1	3
37	более или менее	1	3
38	до сих пор	7	3
39	и в том	4	3
40	в свою очередь	2	3
41	и потому что	2	3
42	с точки зрения	4	3
43	в разных формах	1	3
44	к выводу что	6	3
45	до тех пор	1	3
46	с тем что	3	3
47	может быть и	2	3
48	половине xix в	2	2
49	может быть назван	1	2
50	мы уже знаем	2	2
51	и т п	5	2
52	дело не в	1	2
53	не значит что	1	2
54	может быть только	1	2
55	потому что он	2	2
56	в области изучения	1	2
57	но и как	1	2
58	об этом сообщает	1	2
59	но все же	4	2
60	с другой стороны	5	2
61	к этому времени	2	2
62	не только по	1	2
63	т д и	1	2
64	направление в изучении	2	2
65	ту или иную	1	2
66	а именно в	1	2
67	можно сказать что	3	2
68	есть и другие	1	2
69	одна из наиболее	1	2
70	вопрос о том	5	2
71	на самом деле	1	2
72	это еще не	2	2
73	не только в	4	2
74	и в этом	4	2
75	всяком случае не	2	2
76	так как в	1	2
77	с одной стороны	4	2
78	в этом отношении	4	2
79	не только как	4	2
80	отличие от других	1	1
81	целом ряде других	1	1
82	в одном и	1	1
83	в том же	1	1
84	как будто бы	2	1
85	в точности соответствует	1	1
86	т д а	2	1
87	с этим в	1	1
88	никак не может	1	1
89	дело не только	1	1
90	также в том	1	1
91	древней греции и	1	1
92	так как эти	1	1
93	не в этом	1	1
94	xix в и	1	1
95	наряду с этим	1	1
96	до наших дней	2	1
97	а это в	1	1
98	во всех отношениях	1	1
99	представляют собой не	1	1
100	которое в этих	1	1
101	как видно из	1	1
102	потому что она	1	1
103	потому что в	1	1
104	только потому что	1	1
105	все то что	1	1
106	в таком случае	1	1
107	одного и того	2	1
108	сомнений в том	2	1
109	сам по себе	2	1
110	все же в	1	1
111	приходит к выводу	1	1
112	то о чем	1	1
113	и объяснить его	1	1
114	а между тем	2	1
115	нужно было бы	1	1
116	того что в	1	1
117	и у древних	1	1
118	может быть не	1	1
119	сказывается и в	1	1
120	как мы видим	1	1
121	точно так же	2	1
122	то увидим что	1	1
123	наблюдения и выводы	1	1
124	можно говорить о	3	1
125	ставит себе целью	1	1
126	на этот вопрос	5	1
127	xix в в	2	1
128	уже не имеет	1	1
129	и того же	2	1
130	т е с	1	1
131	не может не	1	1
132	этот вопрос был	1	1
133	смысле в каком	1	1
134	то же самое	3	1
135	сама по себе	3	1
136	это в свою	1	1
137	в другом месте	2	1
138	в применении к	6	1
139	одном и том	1	1
140	при более широком	1	1
141	смотрят на нее	1	1
142	имея в виду	1	1
143	в значительной степени	1	1
144	не следует представлять	1	1
145	собой не что	1	1
146	во второй половине	2	1
147	т е не	2	1
148	и могут быть	1	1
149	и том же	1	1
150	тем что в	1	1
151	одним из самых	1	1
152	но и в	1	1
153	как мы знаем	1	1
154	только после того	2	1
155	с русской историей	1	1
156	первой половине xix	1	1
157	и в дальнейшем	1	1
158	деле как мы	1	1
159	в одно целое	1	1
160	не до конца	2	1
161	т д в	2	1
162	что не только	1	1
163	не потому что	1	1
164	в целом ряде	2	1
165	то что в	1	1
166	как один из	1	1
167	быть и не	1	1
168	при этом говорит	1	1
169	сказать что в	1	1
170	только в том	2	1
171	себе целью раскрыть	1	1
172	и что следовательно	2	1
173	пор пока не	1	1
174	как раз наоборот	1	1
175	в первой половине	1	1
176	по содержанию своему	1	1
177	может быть вполне	1	1
178	из того что	1	1
179	показывает что в	1	1
180	хотя бы на	1	1
181	дело в том	3	1
182	это как будто	1	1
183	смысле этого слова	2	1
184	следует представлять себе	1	1
185	по меньшей мере	2	1
186	самом деле как	2	1
187	второй половине xix	1	1
188	по содержанию и	1	1
189	по его словам	1	1
190	как одна из	1	1
191	в них в	1	1
192	у разных народов	1	1
193	что в нем	2	1
194	в собственном смысле	3	1
195	в русском языке	1	1
196	а так как	2	1
197	в таких случаях	1	1
198	в ряде случаев	1	1
199	что чем больше	1	1
200	потому что они	1	1
201	это прежде всего	1	1
202	но от этого	1	1
203	греков и римлян	3	1
