N	2gram	Propp_Isto	UchenyiS
1	и в	40	14
2	не только	28	10
3	а не	18	10
4	и не	19	8
5	прежде всего	15	8
6	то что	17	7
7	вот почему	2	7
8	в этом	13	7
9	не может	19	7
10	может быть	37	6
11	хотя бы	5	5
12	то же	21	5
13	и только	4	5
14	все это	6	5
15	в конечном	2	4
16	с другой	8	4
17	в этой	9	4
18	конечно не	2	4
19	что такое	3	4
20	но и	21	4
21	в их	6	4
22	к сожалению	3	3
23	бы то	2	3
24	было бы	11	3
25	и то	3	3
26	для этого	3	3
27	это не	8	3
28	как и	5	3
29	то ни	2	3
30	для него	2	3
31	в своей	2	3
32	все же	17	3
33	ни было	2	3
34	в области	2	3
35	в частности	3	3
36	в то	4	3
37	не как	3	3
38	у нас	1	3
39	пришлось бы	1	3
40	другой стороны	7	3
41	но в	13	3
42	все они	1	2
43	таким образом	13	2
44	же не	3	2
45	ее нельзя	2	2
46	должна была	1	2
47	в противном	1	2
48	могли бы	3	2
49	его и	6	2
50	если бы	8	2
51	самом деле	2	2
52	могут быть	5	2
53	является в	1	2
54	не в	11	2
55	это было	2	2
56	для всех	2	2
57	и с	5	2
58	до сих	11	2
59	их и	1	2
60	же самое	3	2
61	думается что	1	2
62	одним из	2	2
63	еще ничего	1	2
64	но не	7	2
65	по существу	7	2
66	тем что	7	2
67	в себе	6	2
68	в его	10	2
69	в конце	1	2
70	должна быть	5	2
71	мы не	12	2
72	мы получаем	1	2
73	сколько угодно	1	2
74	именно как	1	2
75	ничего не	6	2
76	всех этих	4	2
77	материала и	2	2
78	между тем	2	2
79	что она	10	2
80	не есть	2	2
81	художественного произведения	1	2
82	что он	32	2
83	на эту	3	2
84	при таком	2	2
85	этом отношении	1	2
86	противном случае	1	2
87	о чем	1	2
88	как раз	2	2
89	в некоторых	4	2
90	тех или	1	2
91	не могут	3	2
92	а как	2	2
93	что мы	9	2
94	сводится к	1	2
95	в том	12	2
96	том что	11	2
97	надо было	1	2
98	или иных	1	2
99	нас в	2	2
100	но это	8	2
101	этом смысле	1	2
102	но даже	1	2
103	и для	5	2
104	в системе	2	2
105	что и	9	2
106	в сторону	1	2
107	не столько	1	2
108	меньшей степени	1	2
109	смысле этого	2	2
110	и у	1	2
111	превращается в	4	2
112	на первый	2	2
113	сих пор	12	2
114	только в	16	2
115	по себе	4	2
116	не все	5	2
117	и исторические	1	1
118	верно и	1	1
119	еще один	3	1
120	этот путь	1	1
121	на большую	1	1
122	первый взгляд	2	1
123	в той	1	1
124	было и	1	1
125	и материал	1	1
126	так то	2	1
127	все в	2	1
128	само же	1	1
129	что в	19	1
130	с которыми	1	1
131	не было	3	1
132	остается в	1	1
133	вне его	1	1
134	так или	1	1
135	и даже	4	1
136	связанных с	2	1
137	этого и	1	1
138	она все	2	1
139	более или	5	1
140	говорит он	1	1
141	всего что	1	1
142	и потому	3	1
143	метод и	1	1
144	нам известно	1	1
145	но он	5	1
146	отказаться от	2	1
147	этом случае	3	1
148	исторических фактов	1	1
149	в которой	2	1
150	имеем в	4	1
151	этого не	6	1
152	наталкиваемся на	2	1
153	или меньшей	2	1
154	мы можем	7	1
155	иначе в	1	1
156	ли для	1	1
157	что же	4	1
158	же автор	1	1
159	или иначе	1	1
160	таковы в	1	1
161	что под	1	1
162	как таковая	2	1
163	а для	2	1
164	почему все	1	1
165	только этот	1	1
166	равно как	1	1
167	себе еще	1	1
168	сложного и	1	1
169	быть не	2	1
170	со своими	1	1
171	часто встречается	1	1
172	он в	5	1
173	и все	1	1
174	слова а	1	1
175	что этот	5	1
176	в точном	1	1
177	существу то	1	1
178	все элементы	1	1
179	состоит из	1	1
180	же как	7	1
181	как таковое	1	1
182	сказать что	7	1
183	как нам	2	1
184	к следующему	1	1
185	и эта	1	1
186	в исторической	7	1
187	претендует на	1	1
188	в процессе	1	1
189	он будет	1	1
190	встречается у	1	1
191	его как	2	1
192	него не	1	1
193	и всей	1	1
194	нем но	1	1
195	от которой	1	1
196	и др	11	1
197	не делает	2	1
198	ее как	1	1
199	очень часто	7	1
200	на материал	2	1
201	того как	6	1
202	почти не	4	1
203	в таком	1	1
204	то и	2	1
205	для изучения	6	1
206	так много	1	1
207	она не	6	1
208	чем то	1	1
209	в течение	1	1
210	до конца	1	1
211	она в	1	1
212	в своем	5	1
213	какие-то особые	1	1
214	тогда когда	2	1
215	с тем	13	1
216	в значительной	1	1
217	входит в	1	1
218	стороны в	1	1
219	только как	1	1
220	его на	1	1
221	только при	1	1
222	пройти мимо	3	1
223	еще одно	1	1
224	одной стороны	7	1
225	относится к	2	1
226	или по	1	1
227	мы имеем	25	1
228	он прежде	1	1
229	этой же	1	1
230	в отдельности	1	1
231	тому чтобы	1	1
232	нужно начинать	1	1
233	что по	1	1
234	их в	7	1
235	он может	2	1
236	в ней	10	1
237	но по	3	1
238	меньшей мере	2	1
239	или даже	3	1
240	вокруг вопроса	1	1
241	что такой	1	1
242	где же	1	1
243	из первых	1	1
244	но что	2	1
245	на одно	1	1
246	даже не	2	1
247	и так	3	1
248	это для	2	1
249	отдельности и	1	1
250	же остается	1	1
251	и прежде	1	1
252	много но	2	1
253	это значит	1	1
254	живого человека	1	1
255	путь и	1	1
256	только исторической	1	1
257	место и	1	1
258	систематическое изучение	1	1
259	а это	1	1
260	в этот	1	1
261	связанные с	3	1
262	этого сложного	1	1
263	не вполне	3	1
264	на то	6	1
265	детали частности	1	1
266	он и	3	1
267	природе и	1	1
268	делает и	1	1
269	почему в	1	1
270	строго говоря	1	1
271	но если	4	1
272	они до	1	1
273	в большей	1	1
274	не значит	1	1
275	сам по	1	1
276	только для	3	1
277	в которых	2	1
278	к этому	2	1
279	большей или	2	1
280	так и	13	1
281	о нем	5	1
282	из которых	3	1
283	это впечатление	1	1
284	друг с	4	1
285	ее в	7	1
286	отнюдь не	2	1
287	о которой	1	1
288	все частности	1	1
289	и вся	1	1
290	часто бывает	2	1
291	бывает что	3	1
292	в качестве	8	1
293	о котором	1	1
294	учителя и	2	1
295	в нем	8	1
296	в пользу	2	1
297	это верно	1	1
298	он не	10	1
299	это доказывается	1	1
300	независимо от	1	1
301	что нельзя	2	1
302	на его	2	1
303	есть ли	1	1
304	и что	14	1
305	одно из	2	1
306	что для	1	1
307	пример у	1	1
308	отказ от	2	1
309	и это	2	1
310	свойственна не	1	1
311	с одной	8	1
312	с другом	3	1
313	связаны и	1	1
314	он был	3	1
315	как живой	3	1
316	получают свое	1	1
317	на своем	2	1
318	они в	1	1
319	имеет свою	2	1
320	вводится в	1	1
321	должно быть	2	1
322	что при	3	1
323	об этом	11	1
324	не обладает	3	1
325	сторону от	1	1
326	задачи и	1	1
327	то о	1	1
328	самое что	3	1
329	в виду	2	1
330	само по	2	1
331	к которой	2	1
332	или менее	5	1
333	в пределах	4	1
334	так возникает	1	1
335	тот же	3	1
336	уже не	3	1
337	кого бы	1	1
338	и вне	1	1
339	у других	1	1
340	о том	12	1
341	не то	4	1
342	слагается из	2	1
343	по его	3	1
344	далеко не	1	1
345	оно все	1	1
346	того что	6	1
347	что еще	1	1
348	у него	5	1
349	друг другу	1	1
350	появляется уже	1	1
351	в котором	5	1
352	не существует	2	1
353	доказывает что	2	1
354	бы в	2	1
355	в виде	2	1
356	той же	1	1
357	приводит к	3	1
358	никогда не	25	1
