N	2gram	Vinokur_St	VLabPisa
1	таким образом	16	32
2	в этом	37	29
3	не только	36	26
4	и в	61	26
5	и т	36	25
6	может быть	16	23
7	и не	23	20
8	хотя бы	8	20
9	т е	21	18
10	не может	10	17
11	в процессе	3	17
12	в письме	5	16
13	т д	25	16
14	в его	19	15
15	в том	56	15
16	этом отношении	13	14
17	все это	13	13
18	прежде всего	11	13
19	в качестве	7	12
20	вот что	3	12
21	письме к	7	12
22	в частности	6	12
23	как это	6	12
24	что в	41	11
25	представляет собою	3	11
26	с другой	11	11
27	из них	11	11
28	то же	7	10
29	не могут	2	10
30	о том	30	10
31	но и	28	10
32	реальной действительности	1	10
33	по этому	5	10
34	и др	1	10
35	для него	10	9
36	об этом	9	9
37	т п	11	9
38	к этому	4	9
39	могут быть	5	8
40	другой стороны	9	8
41	только в	11	8
42	по словам	7	8
43	на основании	2	8
44	все эти	7	8
45	вместе с	5	8
46	том что	49	8
47	ни один	2	8
48	было бы	21	8
49	не следует	1	8
50	в своем	8	8
51	это не	8	7
52	говорит о	5	7
53	в году	3	7
54	не было	7	7
55	по отношению	3	7
56	очевидно что	1	7
57	тому что	8	7
58	как и	11	7
59	их в	2	7
60	действительности и	1	7
61	во всех	8	7
62	а не	19	7
63	этому поводу	4	7
64	то что	27	7
65	произведения в	2	7
66	отношению к	3	7
67	же в	1	7
68	в нем	9	7
69	из этих	7	7
70	творческих сил	1	6
71	один из	1	6
72	у него	3	6
73	более или	2	6
74	все же	12	6
75	работе над	1	6
76	это и	5	6
77	бы и	4	6
78	не в	15	6
79	между тем	7	6
80	так и	15	6
81	художественного произведения	1	6
82	в себе	3	6
83	или менее	2	6
84	в зависимости	2	6
85	том же	3	6
86	и его	11	6
87	в то	10	6
88	даже в	5	5
89	в результате	5	5
90	в их	3	5
91	в них	2	5
92	связи с	3	5
93	следует понимать	1	5
94	одним из	2	5
95	как говорит	3	5
96	зависимости от	2	5
97	работы над	5	5
98	к тому	9	5
99	перед нами	1	5
100	не является	5	5
101	на основе	1	5
102	вот почему	1	5
103	действующих лиц	1	5
104	и при	1	5
105	в одном	7	5
106	в пределах	1	5
107	же время	5	5
108	как бы	8	5
109	в целом	5	5
110	сказать что	9	5
111	в плане	1	5
112	и есть	1	5
113	процессе работы	1	5
114	никогда не	7	5
115	в самом	14	4
116	ее в	2	4
117	вот как	1	4
118	в ее	6	4
119	как раз	10	4
120	можно сказать	2	4
121	что для	4	4
122	в этой	13	4
123	вполне естественно	1	4
124	что все	3	4
125	что он	23	4
126	в виду	6	4
127	по существу	3	4
128	в романе	4	4
129	приведенных выше	1	4
130	с тем	3	4
131	с ними	1	4
132	в своей	12	4
133	является не	4	4
134	одном из	4	4
135	роль в	1	4
136	должен быть	3	4
137	с его	3	4
138	чем же	1	4
139	это только	1	4
140	когда он	1	4
141	общая схема	1	4
142	их и	2	4
143	в сознании	2	4
144	из его	3	4
145	не удивительно	1	4
146	одна из	1	4
147	можно утверждать	1	4
148	по поводу	13	4
149	пишет в	2	4
150	во время	5	4
151	в статье	9	4
152	и к	5	3
153	что они	9	3
154	пушкин в	4	3
155	данного произведения	1	3
156	что оно	4	3
157	и он	2	3
158	что у	8	3
159	этой области	5	3
160	мы имеем	2	3
161	естественно что	2	3
162	того что	14	3
163	никак не	1	3
164	но как	1	3
165	видеть в	1	3
166	него в	1	3
167	утверждает что	1	3
168	что и	8	3
169	у нас	12	3
170	его в	4	3
171	в форме	2	3
172	если бы	11	3
173	или в	1	3
174	говорит в	3	3
175	дают возможность	1	3
176	именно в	8	3
177	в конце	5	3
178	например в	8	3
179	видно из	1	3
180	между ними	1	3
181	и как	2	3
182	в слове	5	3
183	же и	4	3
184	в которых	5	3
185	например что	1	3
186	том как	4	3
187	вовсе не	24	3
188	бы в	2	3
