N	2gram	Trubetskoy	UchenyiS
1	и в	24	14
2	не только	10	10
3	а не	1	10
4	и не	9	8
5	прежде всего	3	8
6	то что	18	7
7	в этом	13	7
8	не может	18	7
9	может быть	17	6
10	перестает быть	1	5
11	хотя бы	4	5
12	то же	4	5
13	и только	2	5
14	все это	13	5
15	художественное произведение	1	5
16	с другой	6	4
17	в этой	7	4
18	конечно не	3	4
19	что такое	1	4
20	но и	11	4
21	в их	4	4
22	к сожалению	1	3
23	бы то	3	3
24	было бы	3	3
25	и то	4	3
26	только к	1	3
27	и т.д	4	3
28	этой области	4	3
29	для этого	7	3
30	очевидно что	3	3
31	это не	3	3
32	как и	10	3
33	то ни	4	3
34	для него	2	3
35	в своей	1	3
36	все же	15	3
37	ни было	3	3
38	в области	4	3
39	в частности	2	3
40	в то	6	3
41	у нас	3	3
42	пришлось бы	2	3
43	другой стороны	5	3
44	не следует	2	3
45	но в	5	3
46	же время	2	3
47	все они	6	2
48	таким образом	34	2
49	в самом	8	2
50	же не	3	2
51	не приходится	1	2
52	должна была	1	2
53	если бы	8	2
54	самом деле	12	2
55	могут быть	1	2
56	не в	9	2
57	это было	1	2
58	для всех	1	2
59	и с	5	2
60	до сих	15	2
61	же самое	1	2
62	одним из	4	2
63	крайней мере	1	2
64	но не	3	2
65	по существу	7	2
66	мы и	2	2
67	тем что	1	2
68	в себе	5	2
69	в его	5	2
70	в конце	4	2
71	т.е в	1	2
72	даже и	1	2
73	должна быть	6	2
74	мы не	1	2
75	мы получаем	1	2
76	именно как	1	2
77	ничего не	1	2
78	всех этих	4	2
79	между тем	12	2
80	что она	2	2
81	не есть	4	2
82	что он	7	2
83	на каждом	2	2
84	в широком	1	2
85	конце концов	4	2
86	на эту	1	2
87	при таком	2	2
88	каждом шагу	1	2
89	а его	1	2
90	не могут	4	2
91	а как	1	2
92	что мы	4	2
93	сводится к	2	2
94	в том	31	2
95	том что	20	2
96	надо было	1	2
97	но даже	3	2
98	и для	6	2
99	что материал	1	2
100	что и	7	2
101	в сторону	3	2
102	не случайно	1	2
103	а между	8	2
104	конечно нет	1	2
105	смысле этого	1	2
106	с его	1	2
107	и у	4	2
108	на первый	2	2
109	сих пор	15	2
110	по крайней	1	2
111	только в	6	2
112	что все	5	2
113	вопроса о	1	2
114	еще один	1	1
115	этот путь	1	1
116	первый взгляд	1	1
117	признать что	4	1
118	все в	2	1
119	что в	9	1
120	с которыми	2	1
121	иначе говоря	4	1
122	не было	2	1
123	остается в	1	1
124	так или	5	1
125	и даже	1	1
126	элементы из	2	1
127	именно такой	1	1
128	более или	8	1
129	но тут	1	1
130	т.д в	1	1
131	всего что	1	1
132	и потому	3	1
133	и этого	1	1
134	но он	1	1
135	отказаться от	1	1
136	этом случае	4	1
137	такой характер	1	1
138	или просто	1	1
139	в которой	5	1
140	этого не	1	1
141	какой именно	1	1
142	мы можем	6	1
143	что же	2	1
144	или иначе	5	1
145	в данном	3	1
146	все его	2	1
147	существует в	1	1
148	что под	2	1
149	больше чем	1	1
150	а для	2	1
151	нет и	1	1
152	как на	6	1
153	себе еще	1	1
154	с момента	2	1
155	быть не	1	1
156	со своими	2	1
157	данного произведения	1	1
158	он в	1	1
159	и все	9	1
160	что этот	1	1
161	из самых	1	1
162	состоит из	4	1
163	же как	3	1
164	группы и	1	1
165	впечатление которое	1	1
166	сказать что	1	1
167	и эта	1	1
168	достаточно ясно	1	1
169	в процессе	2	1
170	она должна	1	1
171	общее правило	1	1
172	данном случае	3	1
173	встречается у	1	1
174	но для	2	1
175	то есть	2	1
176	этот процесс	2	1
177	этого общего	1	1
178	того как	1	1
179	психики и	1	1
180	в таком	4	1
181	тех кто	5	1
182	необходимое но	1	1
183	то и	2	1
184	она не	2	1
185	быть в	1	1
186	в течение	4	1
187	но именно	1	1
188	до конца	1	1
189	является только	1	1
190	более внимательном	1	1
191	в своем	12	1
192	тогда когда	3	1
193	с тем	4	1
194	в наиболее	1	1
195	в значительной	1	1
196	входит в	1	1
197	для себя	2	1
198	тем в	1	1
199	что только	3	1
200	эволюции как	1	1
201	только при	2	1
202	одной стороны	2	1
203	не без	2	1
204	гораздо больше	3	1
205	что по	3	1
206	их в	2	1
207	при более	2	1
208	он может	1	1
209	в ней	3	1
210	но по	3	1
211	будет не	1	1
212	что такой	2	1
213	и так	2	1
214	же остается	1	1
215	много но	1	1
216	а это	2	1
217	в этот	1	1
218	встречаются с	1	1
219	для тех	1	1
220	не вполне	3	1
221	на то	9	1
222	он и	1	1
223	пути вся	1	1
224	было когда	1	1
225	работа его	1	1
226	строго говоря	1	1
227	но если	2	1
228	в большей	1	1
229	бы ни	1	1
230	только для	1	1
231	отсюда как	1	1
232	в которых	2	1
233	по мнению	1	1
234	была у	1	1
235	к этому	5	1
236	так и	10	1
237	что с	6	1
238	как элемент	1	1
239	сам автор	1	1
240	из которых	4	1
241	это впечатление	2	1
242	друг с	9	1
243	ее в	1	1
244	отнюдь не	2	1
245	о которой	2	1
246	месте в	1	1
247	в качестве	1	1
248	о котором	7	1
249	в нем	3	1
250	в пользу	5	1
251	именно этот	1	1
252	он не	4	1
253	независимо от	2	1
254	может служить	3	1
255	и истории	5	1
256	лучше и	3	1
257	все что	10	1
258	с каждым	1	1
259	ему приходится	3	1
260	на его	1	1
261	есть ли	1	1
262	и что	9	1
263	одно из	3	1
264	что для	4	1
265	и это	3	1
266	в различных	1	1
267	с одной	3	1
268	с другом	9	1
269	на своем	1	1
270	имеет свою	1	1
271	должно быть	5	1
272	что при	7	1
273	как всякая	1	1
274	не ставит	1	1
275	себя на	1	1
276	определяет собою	1	1
277	точно и	1	1
278	является одним	1	1
279	правда не	1	1
280	самое что	1	1
281	в виду	2	1
282	к которой	3	1
283	широком смысле	2	1
284	или менее	8	1
285	деле есть	1	1
286	тот же	3	1
287	уже не	1	1
288	о том	7	1
289	не то	3	1
290	слагается из	3	1
291	по его	2	1
292	произведения в	1	1
293	далеко не	5	1
294	тем более	3	1
295	того что	7	1
296	у него	5	1
297	друг другу	1	1
298	бы это	1	1
299	и видя	1	1
300	в котором	2	1
301	бы в	3	1
302	в виде	4	1
303	существование в	2	1
304	все черты	1	1
305	той же	2	1
306	приводит к	1	1
307	никогда не	4	1
