N	2gram	Tiupa_Disk	VLabPisa
1	таким образом	4	32
2	в этом	29	29
3	не только	36	26
4	и в	27	26
5	может быть	29	23
6	и не	25	20
7	хотя бы	3	20
8	объективной действительности	1	19
9	художественного творчества	1	19
10	не может	17	17
11	в процессе	6	17
12	в его	9	15
13	в том	29	15
14	этом отношении	4	14
15	в силу	5	14
16	все это	2	13
17	прежде всего	17	13
18	в качестве	45	12
19	в частности	18	12
20	как это	2	12
21	что в	8	11
22	представляет собою	1	11
23	с другой	14	11
24	из них	6	11
25	то же	12	10
26	не могут	2	10
27	о том	12	10
28	но и	22	10
29	реальной действительности	1	10
30	и др	3	10
31	для него	9	9
32	об этом	3	9
33	он пишет	1	9
34	к этому	4	9
35	могут быть	5	8
36	творчества в	1	8
37	говорит и	2	8
38	другой стороны	5	8
39	только в	9	8
40	по словам	4	8
41	все эти	2	8
42	вместе с	3	8
43	том что	27	8
44	ни один	1	8
45	было бы	1	8
46	не следует	4	8
47	в своем	11	8
48	в основном	1	7
49	это не	5	7
50	говорит о	1	7
51	в году	3	7
52	в конечном	2	7
53	не было	9	7
54	по отношению	13	7
55	очевидно что	1	7
56	как и	27	7
57	их в	2	7
58	во всех	6	7
59	а не	35	7
60	то что	10	7
61	произведения в	1	7
62	отношению к	13	7
63	же в	1	7
64	в нем	16	7
65	из этих	3	7
66	один из	3	6
67	произведения как	2	6
68	более или	2	6
69	все же	8	6
70	работе над	1	6
71	приводит к	4	6
72	это и	2	6
73	бы и	1	6
74	в искусстве	1	6
75	не в	8	6
76	между тем	5	6
77	так и	14	6
78	художественного произведения	1	6
79	в себе	22	6
80	или менее	2	6
81	том же	1	6
82	и его	4	6
83	в то	8	6
84	утверждать что	1	5
85	даже в	1	5
86	в результате	3	5
87	в их	5	5
88	в них	6	5
89	связи с	4	5
90	следует понимать	1	5
91	одним из	2	5
92	конечном счете	2	5
93	как говорит	1	5
94	к тому	6	5
95	перед нами	4	5
96	не является	5	5
97	он говорит	1	5
98	действующих лиц	1	5
99	и при	1	5
100	в одном	5	5
101	в пределах	4	5
102	же время	9	5
103	как бы	9	5
104	в целом	5	5
105	сказать что	4	5
106	и есть	2	5
107	никогда не	3	5
108	в самом	4	4
109	различного рода	3	4
110	ее в	1	4
111	вот как	1	4
112	в ее	4	4
113	как раз	1	4
114	можно сказать	7	4
115	в этой	5	4
116	следующим образом	1	4
117	что он	6	4
118	равно как	1	4
119	в виду	2	4
120	с тем	1	4
121	с ними	1	4
122	в своей	10	4
123	является не	2	4
124	одном из	2	4
125	роль в	10	4
126	должен быть	1	4
127	с его	9	4
128	в связи	1	4
129	в философии	1	4
130	когда он	3	4
131	в нашей	1	4
132	в творческой	1	4
133	творческой практике	1	4
134	из его	1	4
135	одна из	1	4
136	можно утверждать	1	4
137	отнюдь не	11	4
138	во время	1	4
139	и ее	5	4
140	познания в	1	4
141	и к	4	3
142	индивидуальной творческой	1	3
143	что они	1	3
144	и он	2	3
145	этот процесс	1	3
146	в дневнике	1	3
147	мы имеем	4	3
148	действительной жизни	1	3
149	а вот	1	3
150	того что	4	3
151	никак не	1	3
152	но как	2	3
153	видеть в	1	3
154	утверждает что	1	3
155	со своим	1	3
156	что и	5	3
157	творчество как	1	3
158	сводится к	7	3
159	подобно тому	4	3
160	его в	1	3
161	в форме	2	3
162	др в	1	3
163	если бы	1	3
164	или в	2	3
165	сил и	1	3
166	именно в	5	3
167	творчества на	1	3
168	в конце	1	3
169	или иная	1	3
170	например в	4	3
171	момент в	3	3
172	между ними	1	3
173	и как	9	3
174	в слове	1	3
175	же и	1	3
176	в которых	5	3
177	не столь	2	3
178	большей или	2	3
179	том как	1	3
180	и художественного	1	3
181	мира и	3	3
182	своем творчестве	1	3
183	вовсе не	1	3
184	с этим	3	3
185	и мир	1	3
186	а в	5	3
187	что не	4	3
188	некоторые из	1	3
189	как о	1	3
190	в котором	7	3
191	она не	1	3
192	в противоположность	6	3
193	говорить не	1	3
194	в значительной	3	3
195	его не	1	3
