N	2gram	Tiupa_Narr	Sovremen
1	не может	16	17
2	может быть	24	12
3	точки зрения	8	12
4	таким образом	5	11
5	мы не	5	9
6	в этом	23	7
7	и в	22	7
8	не можем	2	7
9	мы можем	2	6
10	в результате	4	6
11	как и	15	6
12	ничего не	8	6
13	и не	34	6
14	с точки	2	5
15	прежде всего	7	5
16	все эти	3	5
17	и наконец	2	5
18	а в	19	4
19	так как	1	4
20	вопрос о	1	4
21	это не	6	4
22	не только	50	4
23	мы должны	1	4
24	в развитии	1	4
25	с помощью	2	4
26	как бы	11	4
27	в зависимости	3	4
28	их в	4	4
29	жизни и	7	4
30	вместе с	3	4
31	в целом	5	4
32	в том	20	4
33	зависимости от	3	4
34	из них	4	4
35	точку зрения	3	4
36	мы видели	1	4
37	и к	7	3
38	и потому	2	3
39	и мы	1	3
40	уже в	1	3
41	то же	12	3
42	при этом	31	3
43	не в	12	3
44	а не	27	3
45	в системе	1	3
46	для нас	2	3
47	все это	1	3
48	как он	3	3
49	в одном	5	3
50	у нас	4	3
51	а все	1	3
52	в конце	4	3
53	и т.д	7	3
54	было бы	2	3
55	в первом	4	3
56	в этой	8	3
57	из двух	1	3
58	момент времени	1	3
59	и все	7	3
60	на две	2	3
61	в себе	14	3
62	следующим образом	1	3
63	ясно что	2	3
64	не подлежит	3	3
65	что она	3	3
66	он может	1	3
67	одна из	5	3
68	все же	10	3
69	при таком	1	3
70	в области	4	3
71	может не	1	3
72	отличается от	1	3
73	между собой	3	3
74	отнюдь не	6	3
75	в нем	9	3
76	но мы	1	3
77	но в	10	3
78	еще не	6	3
79	с этим	1	2
80	что в	6	2
81	этих двух	2	2
82	тем не	7	2
83	в самом	8	2
84	совершенно не	1	2
85	значение в	1	2
86	и что	1	2
87	для развития	1	2
88	отличие от	6	2
89	развития при	1	2
90	друг с	1	2
91	которой он	4	2
92	то и	3	2
93	с одной	5	2
94	теперь же	1	2
95	в отличие	6	2
96	это за	2	2
97	такого рода	17	2
98	в свою	4	2
99	из этих	6	2
100	в его	12	2
101	во всяком	2	2
102	еще более	1	2
103	можно назвать	2	2
104	то ни	1	2
105	с совершенно	1	2
106	что это	4	2
107	что при	1	2
108	быть и	3	2
109	по мнению	2	2
110	из которых	1	2
111	может иметь	1	2
112	если же	2	2
113	конечно в	1	2
114	в третьем	4	2
115	у него	13	2
116	для его	1	2
117	не могут	1	2
118	в виде	2	2
119	со всеми	3	2
120	а на	2	2
121	свою очередь	2	2
122	первые два	1	2
123	и даже	4	2
124	как известно	3	2
125	самом деле	4	2
126	в которой	2	2
127	но все	1	2
128	ни одна	1	2
129	к чему	3	2
130	же самое	3	2
131	как мы	3	2
