N	2gram	Medvedev_I	formyVre
1	и в	1	148
2	в этом	2	73
3	и не	2	37
4	жизни и	1	31
5	так и	1	29
6	все эти	1	21
7	и др	1	19
8	по существу	1	18
9	того же	1	16
10	в основе	1	16
11	в них	1	15
12	никогда не	1	15
13	и с	3	14
14	все это	1	14
15	для того	1	13
16	того чтобы	1	13
17	а в	1	13
18	он не	2	12
19	что в	2	12
20	ничего не	2	12
21	с другой	1	9
22	для него	1	9
23	со всеми	1	8
24	если бы	1	8
25	а также	1	8
26	отношению к	1	8
27	в целом	1	8
28	того что	1	7
29	для других	1	7
30	только для	1	6
31	тех же	1	6
32	автора и	1	6
33	тем что	1	5
34	от этого	1	5
35	произведения и	1	5
36	только что	1	4
37	другой стороны	1	4
38	и со	1	4
39	по отношению	1	4
40	с жизнью	1	4
41	и о	1	4
42	и еще	1	3
43	бы в	1	3
44	и ничего	1	3
45	в значительной	1	3
46	и идей	1	3
47	у всех	1	3
48	есть только	1	3
49	это было	1	3
50	вплоть до	1	3
51	и очень	1	2
52	как только	1	2
53	эпизод с	1	2
54	значительной мере	1	2
55	говорить о	1	2
56	на котором	1	2
57	видит в	1	2
58	я не	1	2
59	но когда	1	2
60	могло бы	1	2
61	и та	1	2
62	и тот	1	2
63	и сам	1	2
64	бы его	1	2
65	них не	1	2
66	от нее	1	2
67	утверждает что	1	2
68	нам в	1	2
69	и литература	1	2
70	то и	1	2
71	нее и	1	2
72	себя в	1	2
73	о жизни	1	2
74	должен быть	2	2
75	во многом	1	2
76	самого себя	2	1
77	бузина а	1	1
78	автор и	1	1
79	и творчества	1	1
80	в огороде	1	1
81	следующим образом	1	1
82	комплекс в	1	1
83	бы что	2	1
84	к отцу	1	1
85	братья карамазовы	1	1
86	человеке и	1	1
87	в эту	1	1
88	по поводу	1	1
89	понятий и	1	1
90	не дает	1	1
91	оба они	2	1
92	огороде бузина	1	1
93	в киеве	1	1
94	в материале	1	1
95	следовательно в	1	1
96	как о	1	1
97	стало быть	1	1
98	и широко	1	1
99	эти произведения	1	1
100	стороны он	1	1
101	это был	1	1
102	что роман	1	1
103	и без	1	1
104	нисколько не	1	1
105	еще одной	1	1
106	отметим только	1	1
107	этим и	1	1
108	же это	1	1
109	после смерти	1	1
110	он с	1	1
