N	2gram	Nazirov_Tv	IolandNe
1	и с	9	3
2	что в	17	2
3	оба они	1	2
4	записок из	4	2
5	самого себя	1	2
6	он не	10	2
7	должен быть	1	2
8	творчества достоевского	4	2
9	бы что	1	2
10	ничего не	3	2
11	о достоевском	1	2
12	и не	12	2
13	в этом	11	2
14	говорить о	1	1
15	и наказания	6	1
16	все эти	3	1
17	всего творчества	1	1
18	а в	10	1
19	и о	2	1
20	бы искать	1	1
21	же это	1	1
22	к нам	1	1
23	за границей	1	1
24	мертвого дома	2	1
25	утверждает что	1	1
26	это было	1	1
27	самого достоевского	4	1
28	и со	2	1
29	и та	2	1
30	и гоголь	1	1
31	нет есть	1	1
32	что для	3	1
33	из мертвого	1	1
34	для него	9	1
35	не остается	1	1
36	вплоть до	2	1
37	с героем	1	1
38	при такой	1	1
39	под редакцией	1	1
40	тем что	2	1
41	не случайно	6	1
42	сам писатель	1	1
43	только что	2	1
44	бы его	1	1
45	это сам	1	1
46	а если	1	1
47	ушел от	1	1
48	не слишком	1	1
49	того же	2	1
50	с а	1	1
51	первой жены	1	1
52	художественного творчества	1	1
53	не так	5	1
54	теперь я	2	1
55	введение в	1	1
56	и др	2	1
57	о жизни	4	1
58	первую очередь	1	1
59	преступления и	6	1
60	жизни и	3	1
61	пушкина и	1	1
62	с другой	4	1
63	но когда	2	1
64	и гоголя	2	1
65	в целом	7	1
66	он с	2	1
67	человеке и	1	1
68	в эту	1	1
69	другой стороны	2	1
70	я не	5	1
71	себя в	3	1
72	и оскорбленных	5	1
73	братья карамазовы	2	1
74	могло бы	1	1
75	то и	1	1
76	и еще	2	1
77	в первую	1	1
78	как только	1	1
79	если бы	4	1
80	отношению к	3	1
81	в руки	2	1
82	в художественном	1	1
83	и сам	5	1
84	того что	3	1
85	а с	4	1
86	ненависть к	1	1
87	только для	2	1
88	из подполья	19	1
89	по поводу	1	1
90	и многое	2	1
91	многое другое	2	1
92	так и	5	1
93	автора и	1	1
94	в основе	3	1
95	достоевского она	1	1
96	оказывается для	1	1
97	без этого	1	1
98	униженных и	5	1
99	и без	2	1
100	достоевского лежит	1	1
101	не дает	1	1
102	а по	3	1
103	достоевского с	12	1
104	есть только	1	1
105	зигмунд фрейд	1	1
106	и в	40	1
107	его личности	1	1
108	видит в	1	1
109	это был	4	1
110	никогда не	13	1
111	и и	1	1
112	все это	14	1
113	по отношению	3	1
114	со всеми	3	1
115	из униженных	1	1
116	как о	1	1
117	в них	1	1
118	во многом	8	1
