N	4gram	Vinokur_Vv	Myshleni
1	заключается в том что	2	43
2	одного и того же	2	17
3	состоит в том что	2	17
4	с этой точки зрения	2	16
5	одной и той же	2	15
6	в собственном смысле этого	1	14
7	собственном смысле этого слова	1	14
8	одно и то же	2	12
9	с одной стороны и	3	10
10	в собственном смысле слова	1	9
11	но вместе с тем	1	9
12	в том что в	1	8
13	только в том что	1	8
14	в том что он	1	8
15	заключается в том чтобы	1	7
16	то же самое что	2	7
17	по самой своей природе	2	6
18	не что иное как	5	6
19	одном и том же	1	6
20	точно так же как	1	6
21	но с точки зрения	1	5
22	в той мере в	6	5
23	на вопрос о том	4	5
24	ответ на этот вопрос	2	5
25	в том смысле что	1	5
26	приходит к выводу что	1	5
27	представление о том что	1	5
28	той мере в какой	6	4
29	для того чтобы сделать	1	4
30	в том виде как	1	4
31	сомнений в том что	2	4
32	если принять во внимание	1	4
33	есть не что иное	3	4
34	о чем говорится в	1	3
35	в связи с этим	1	3
36	мы имеем в виду	1	3
37	в том виде в	1	3
38	дело в том что	3	3
39	ответить на этот вопрос	1	3
40	том виде в каком	1	3
41	можно было бы назвать	1	3
42	бы то ни было	1	3
43	так как если бы	1	2
44	в зависимости от того	1	2
45	сомневаться в том что	1	2
46	в то же время	6	2
47	именно в этом пункте	1	2
48	в той или иной	1	2
49	все же в них	1	2
50	не иначе как через	1	2
51	в том же направлении	1	2
52	приводят к тому что	1	2
53	но в этом случае	1	2
54	именно в этом смысле	1	2
55	в гораздо большей мере	1	2
56	в самом деле как	1	2
57	с другой стороны как	1	2
58	мы имеем дело с	1	2
59	для того чтобы понять	3	2
60	по двум причинам во-первых	1	1
61	в том что такое	1	1
62	смысле этого слова как	1	1
63	в том отношении что	3	1
64	в чем же заключается	1	1
65	для того чтобы ее	1	1
66	того что находится у	1	1
67	во всяком случае не	2	1
68	заключается вовсе не в	1	1
69	можно было бы в	1	1
70	и до наших дней	1	1
71	собой одно и то	1	1
72	качестве примера можно было	1	1
73	мере в какой они	1	1
74	примера можно было бы	1	1
75	том или ином его	1	1
76	в заключение нашего исследования	1	1
77	здесь как и везде	1	1
78	только в одном отношении	1	1
79	для того чтобы он	2	1
80	и в самом деле	3	1
81	но во всяком случае	1	1
82	с теми или иными	1	1
83	как мы уже знаем	2	1
84	вопрос о том что	3	1
85	в этом смысле нельзя	2	1
86	в одном и том	1	1
87	которыми приходится иметь дело	1	1
88	в чем же заключаются	1	1
89	в том что если	1	1
90	не может быть никакой	1	1
91	не может быть в	1	1
92	отступают на задний план	1	1
93	и в конце концов	1	1
94	находящим свое выражение в	1	1
95	не может служить предметом	1	1
96	прийти к выводу что	1	1
97	к действительности а именно	1	1
98	ясность в этот вопрос	1	1
99	собой не что иное	1	1
100	возможно только потому что	1	1
101	в лучшем случае она	1	1
102	то же время в	1	1
103	всегда заключает в себе	1	1
104	по отношению к отдельным	1	1
105	но как мы уже	1	1
106	и в этом смысле	1	1
107	не прямо а опосредствованно	1	1
108	собственном смысле слова в	1	1
109	в каждой из этих	1	1
110	до тех пор пока	1	1
111	только после того как	2	1
112	в течение многих лет	1	1
113	языка по сравнению с	1	1
114	по своему значению для	1	1
115	приходим к выводу что	4	1
116	с которыми приходится иметь	1	1
117	не говоря уже о	1	1
118	самом деле представляет собой	1	1
119	говорить о том что	1	1
120	когда мы говорим о	1	1
121	в качестве примера можно	1	1
122	для того чтобы быть	1	1
123	того что представляет собой	1	1
124	в этом смысле и	1	1
125	представляет собой движение от	1	1
126	было бы сказать что	1	1
127	но с другой стороны	1	1
128	ему не остается ничего	1	1
129	это в свою очередь	1	1
130	совершенно то же самое	1	1
131	тем не менее не	1	1
132	же самое что и	1	1
133	к выводу что и	1	1
134	его можно было бы	1	1
135	в том что с	1	1
136	разница только в том	1	1
137	и в этом отношении	1	1
138	потому что в этом	1	1
139	и не потому что	1	1
140	в самом деле то	1	1
