N	4gram	Vygotskiy_	TeoriaLi
1	в то же время	1	8
2	состоит в том что	3	5
3	мы имеем в виду	1	3
4	в том числе и	3	2
5	ни в коем случае	1	2
6	с этой точки зрения	1	2
7	и в самом деле	1	2
8	в коем случае не	1	2
9	в том что он	1	2
10	одно и то же	2	2
11	бы то ни было	1	2
12	приводит к тому что	1	2
13	и в то же	1	2
14	в том что в	1	1
15	заключается в том что	6	1
16	речи состоит в том	1	1
17	здесь и теперь в	1	1
18	так же точно и	1	1
19	отношение человека к действительности	1	1
20	с одной стороны и	3	1
21	как раз в том	1	1
22	в одном и том	1	1
23	той или иной мере	1	1
24	а с другой стороны	3	1
25	одном и том же	1	1
26	дело в том что	2	1
27	раз в том что	1	1
28	не сама по себе	1	1
29	в той или иной	1	1
30	фонетической и семантической сторон	1	1
31	а по своей природе	1	1
32	с другой стороны изучение	1	1
33	во всей его сложности	1	1
34	точно так же как	1	1
