N	4gram	Losev_Prob	Problema
1	бы то ни было	4	2
2	ни в чем не	2	2
3	и в то же	2	2
4	на первый план в	1	1
5	то что не имеет	1	1
6	в том смысле что	4	1
7	дело в том что	3	1
8	не может обойтись без	2	1
9	на самом же деле	7	1
10	не что иное как	6	1
11	и т д мы	1	1
12	и с точки зрения	2	1
13	не чем иным как	2	1
14	и тем не менее	6	1
15	бы то ни стало	1	1
16	широком смысле слова и	1	1
17	во что бы то	1	1
18	ни в какой мере	1	1
19	то имеют в виду	1	1
20	то есть перестает быть	1	1
21	что бы то ни	1	1
22	и в других областях	1	1
23	в то время как	6	1
24	той или иной области	1	1
25	при созерцании художественного произведения	1	1
26	на самом деле и	1	1
27	не выходит за пределы	1	1
28	с одной стороны и	1	1
29	выходит и за пределы	1	1
30	таким образом и в	1	1
31	чего бы то ни	2	1
32	есть не что иное	6	1
