N	3gram	Tiupa_Hudo	Otkroven
1	у него в	1	5
2	для того чтобы	2	3
3	сказать что они	1	2
4	с тем что	1	2
5	а не в	1	2
6	ни у кого	1	2
7	как и все	1	2
8	не может быть	5	2
9	человека в его	1	2
10	это было бы	1	2
11	в этом он	1	2
12	и в этом	3	2
13	что у него	2	2
14	в самом начале	1	1
15	ошибочно было бы	1	1
16	так и не	3	1
17	в его жизни	2	1
18	о том что	14	1
19	в том что	15	1
20	не в том	2	1
21	друг с другом	1	1
22	не растворяется в	1	1
23	в том случае	2	1
24	что нет у	1	1
25	утра до вечера	1	1
26	все та же	2	1
27	и то что	1	1
28	и все что	1	1
29	в иных случаях	1	1
30	в этих словах	2	1
31	ли может быть	1	1
32	во внутренней своей	1	1
33	как и в	5	1
34	как например в	1	1
35	и все же	1	1
36	в самом деле	5	1
37	том случае если	2	1
38	как будто бы	3	1
39	ни с какой	2	1
40	во всяком случае	1	1
41	человека к богу	1	1
42	с утра до	1	1
43	и в самом	4	1
44	которым можно было	2	1
45	как бы в	2	1
46	как это часто	1	1
47	вместо того чтобы	2	1
48	мысли как это	1	1
49	о том как	4	1
50	я верю в	1	1
51	в этом отношении	4	1
52	между этими двумя	1	1
53	сказать про него	1	1
54	то что ведь	1	1
55	на то что	2	1
56	которого они в	1	1
57	человека а не	2	1
58	заключает в себе	1	1
59	развивал в своей	1	1
60	том что в	4	1
61	прежде всего в	1	1
62	нет у него	1	1
63	это часто случается	1	1
64	ничего не делает	1	1
65	что в центре	1	1
66	чем у его	1	1
67	приходит в голову	1	1
